installed,terminal_name,removal_date,install_date,locked,temporary,place_id,common_name
true,001020,,1278506700000,false,false,BikePoints_32,"Leonard Circus , Shoreditch"
true,003430,,1278506940000,false,false,BikePoints_33,"Central House, Aldgate"
true,003428,,1278507060000,false,false,BikePoints_34,"Pancras Road, King's Cross"
true,003446,,1278519900000,false,false,BikePoints_36,"De Vere Gardens, Kensington"
true,003444,,1278520020000,false,false,BikePoints_37,"Penywern Road, Earl's Court"
true,003442,,1278584880000,false,false,BikePoints_38,"Abingdon Villas, Kensington"
true,003445,,1278601740000,false,false,BikePoints_39,"Shoreditch High Street, Shoreditch"
true,001083,,1278601980000,false,false,BikePoints_40,"Commercial Street, Shoreditch"
true,001084,,1278602280000,false,false,BikePoints_41,"Pindar Street, Liverpool Street"
true,000979,,1278602700000,false,false,BikePoints_42,"Wenlock Road , Hoxton"
true,001036,,1278687720000,false,false,BikePoints_43,"Crawford Street, Marylebone"
true,001034,,1278687900000,false,false,BikePoints_44,"Bruton Street, Mayfair"
true,001035,,1278691320000,false,false,BikePoints_45,"Boston Place, Marylebone"
true,001031,,1278691800000,false,false,BikePoints_46,"Nesham Street, Wapping"
true,001027,,1278749160000,false,false,BikePoints_47,"Warwick Avenue Station, Maida Vale"
true,000971,,1278749460000,false,false,BikePoints_48,"Godliman Street, St. Paul's"
true,003437,,1278749940000,false,false,BikePoints_49,"Curzon Street, Mayfair"
true,001054,,1278750240000,false,false,BikePoints_50,"East Road, Hoxton"
true,000986,,1278750540000,false,false,BikePoints_51,"Finsbury Library , Finsbury"
true,001026,,1278750840000,false,false,BikePoints_52,"Roscoe Street, St. Luke's"
true,003431,,1278752580000,false,false,BikePoints_53,"Grafton Street, Mayfair"
true,000967,,1278766740000,false,false,BikePoints_54,"Golden Lane, Barbican"
true,000984,,1278766980000,false,false,BikePoints_55,"Finsbury Circus, Liverpool Street"
true,001033,,1278767220000,false,false,BikePoints_56,"Paddington Street, Marylebone"
true,000974,,1278767460000,false,false,BikePoints_57,"Guilford Street , Bloomsbury"
true,001032,,1278767700000,false,false,BikePoints_58,"New Inn Yard, Shoreditch"
true,001030,,1278769140000,false,false,BikePoints_60,"Lisson Grove, St. John's Wood"
true,001017,,1278773820000,false,false,BikePoints_61,"Great Dover Street, The Borough"
true,000990,,1278773940000,false,false,BikePoints_62,"Cotton Garden Estate, Kennington"
true,000989,,1278774120000,false,false,BikePoints_63,"Murray Grove , Hoxton"
true,001028,,1278774300000,false,false,BikePoints_64,"William IV Street, Strand"
true,000982,,1278845280000,false,false,BikePoints_66,"Holborn Circus, Holborn"
true,000985,,1278847440000,false,false,BikePoints_67,"Hatton Garden, Holborn"
true,000975,,1278857040000,false,false,BikePoints_68,"Theobald's Road , Holborn"
true,000983,,1278861540000,false,false,BikePoints_69,"Euston Road, Euston"
true,001066,,1278863340000,false,false,BikePoints_70,"Calshot Street , King's Cross"
true,001074,,1278924900000,false,false,BikePoints_71,"Newgate Street , St. Paul's"
true,003432,,1276948860000,false,false,BikePoints_72,"Farringdon Lane, Clerkenwell"
true,001064,,1278941040000,false,false,BikePoints_73,"Old Street Station, St. Luke's"
true,001000,,1278941160000,false,false,BikePoints_74,"Vauxhall Cross, Vauxhall"
true,001060,,1278945180000,false,false,BikePoints_75,"Torrens Street, Angel"
true,000976,,1278946560000,false,false,BikePoints_76,"Longford Street, The Regent's Park"
true,000978,,1278946860000,false,false,BikePoints_77,"Russell Square Station, Bloomsbury"
true,003433,,1278948480000,false,false,BikePoints_78,"Sadlers Sports Centre, Finsbury"
true,003455,,1509018360000,false,false,BikePoints_79,"Arundel Street, Temple"
true,003448,,1278952440000,false,false,BikePoints_80,"Webber Street , Southwark"
true,003450,,1279012980000,false,false,BikePoints_81,"Great Titchfield Street, Fitzrovia"
true,003453,,1279015680000,false,false,BikePoints_82,"Chancery Lane, Holborn"
true,003452,,1279015800000,false,false,BikePoints_83,"Panton Street, West End"
true,001202,,1280158740000,false,false,BikePoints_338,"Wellington Street , Strand"
true,001127,,1280160600000,false,false,BikePoints_339,"Risinghill Street, Angel"
true,001201,,1280248620000,false,false,BikePoints_340,"Bank of England Museum, Bank"
true,001160,,1280222160000,false,false,BikePoints_341,"Craven Street, Strand"
true,001188,,1280224260000,false,false,BikePoints_343,"London Zoo Car Park, The Regent's Park"
true,001222,,1280226120000,false,false,BikePoints_344,"Goswell Road (City Uni), Finsbury"
true,001218,,1280229720000,false,false,BikePoints_345,"Flood Street, Chelsea"
true,001219,,1283762460000,false,false,BikePoints_347,"Lower Marsh, Waterloo"
true,010627,,1284540540000,false,false,BikePoints_348,"Grosvenor Square, Mayfair"
true,001221,,1284543120000,false,false,BikePoints_349,"St. George Street, Mayfair"
true,001231,,1285756260000,false,false,BikePoints_350,"Queen's Gate, Kensington Gardens"
true,001226,,1286790480000,false,false,BikePoints_351,"Macclesfield Rd, St Lukes"
true,001224,,1286796360000,false,false,BikePoints_352,"Vauxhall Street, Vauxhall"
true,010623,,1287652080000,false,false,BikePoints_353,"Greycoat Street , Westminster"
true,001097,,,false,false,BikePoints_354,"Northumberland Avenue, Strand"
true,002694,,1287752460000,false,false,BikePoints_355,"Clapham Common Station, Clapham Common"
true,002685,,1288009080000,false,false,BikePoints_356,"South Kensington Station, South Kensington"
true,002691,,1288092420000,false,false,BikePoints_357,"Howland Street, Fitzrovia"
true,001229,,1290079860000,false,false,BikePoints_358,"High Holborn , Covent Garden"
true,002662,,1288950960000,false,false,BikePoints_359,"Butler Place, Westminster"
true,002666,,1288958160000,false,false,BikePoints_360,"Howick Place, Westminster"
true,002692,,1291902600000,false,false,BikePoints_361,"Waterloo Station 2, Waterloo"
true,002686,,1290080220000,false,false,BikePoints_362,"Royal College Street, Camden Town"
true,002665,,1289911800000,false,false,BikePoints_363,"Lord's, St. John's Wood"
true,003507,,1290080640000,false,false,BikePoints_364,"Store Street, Bloomsbury"
true,002690,,1290603600000,false,false,BikePoints_365,"City Road, Angel"
true,001230,,1290686880000,false,false,BikePoints_366,"Millennium Hotel, Mayfair"
true,002680,,,false,false,BikePoints_367,"Harrowby Street, Marylebone"
true,002681,,1291201680000,false,false,BikePoints_368,"Harriet Street, Knightsbridge"
true,002670,,1291647300000,false,false,BikePoints_370,"Paddington Green, Paddington"
true,002639,,1291712820000,false,false,BikePoints_371,"King Edward Walk, Waterloo"
true,002649,,1291713000000,false,false,BikePoints_372,"Sardinia Street, Holborn"
true,003499,,1295428320000,false,false,BikePoints_373,"Prince Consort Road, Knightsbridge"
true,002696,,1291725720000,false,false,BikePoints_374,"Waterloo Station 1, Waterloo"
true,010632,,1291805820000,false,false,BikePoints_375,"Kensington Town Hall, Kensington"
true,002683,,1294660980000,false,false,BikePoints_376,"Millbank Tower, Pimlico"
true,002648,,1295265420000,false,false,BikePoints_377,"Waterloo Bridge, South Bank"
true,002677,,1296121500000,false,false,BikePoints_378,"Natural History Museum, South Kensington"
true,002682,,1296121680000,false,false,BikePoints_379,"Turquoise Island, Notting Hill"
true,003506,,1296125400000,false,false,BikePoints_380,"Stanhope Gate, Mayfair"
true,002669,,1296203760000,false,false,BikePoints_381,"Charlotte Street, Fitzrovia"
true,002678,,1297159320000,false,false,BikePoints_382,"Farm Street, Mayfair"
true,002660,,1296649200000,false,false,BikePoints_383,"Frith Street, Soho"
