terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
300080,false,false,1386240360000,,BikePoints_750,"Culvert Road, Battersea",true
300074,false,false,1386250800000,,BikePoints_751,"Newton Street, Covent Garden",true
300079,false,false,1650364320000,,BikePoints_752,"London Street, Paddington",true
300067,false,false,1389003540000,,BikePoints_754,"Grenfell Road, Avondale",true
300058,false,false,1389008580000,,BikePoints_755,"The Vale, Chelsea",true
300073,false,false,1390223040000,,BikePoints_756,"Prince of Wales Drive, Battersea Park",true
300069,false,false,1389094260000,,BikePoints_757,"Harcourt Terrace, West Brompton",true
300057,false,false,1389178020000,,BikePoints_758,"Westbourne Park Road, Portobello",true
300072,false,false,1389627480000,,BikePoints_759,"Broadley Terrace, Marylebone",true
300068,false,false,1389781800000,,BikePoints_761,"Humbolt Road, Fulham",true
200202,false,false,1392039000000,,BikePoints_762,"Storey's Gate, Westminster",true
300027,false,false,1392043020000,,BikePoints_763,"Mile End Park Leisure Centre, Mile End",true
200185,false,false,1392633480000,,BikePoints_764,"St. John's Road, Clapham Junction",true
300064,false,false,1392986940000,,BikePoints_765,"Ranelagh Gardens, Fulham",true
200079,false,false,1392894840000,,BikePoints_766,"Ram Street, Wandsworth",true
200177,false,false,1393406280000,,BikePoints_767,"Santos Road, Wandsworth",true
300065,false,false,1393494060000,,BikePoints_768,"Clapham Common North Side, Clapham Common",true
300001,false,false,1393939560000,,BikePoints_769,"Sandilands Road, Walham Green",true
300097,false,false,1394099280000,,BikePoints_770,"Gwendwr Road, West Kensington",true
300007,false,false,1394018400000,,BikePoints_771,"Rifle Place, Avondale",true
300015,false,false,1396442100000,,BikePoints_772,"Binfield Road, Stockwell",true
300096,false,false,1396262520000,,BikePoints_773,"Tallis Street, Temple",true
300098,false,false,1396265880000,,BikePoints_774,"Hurlingham Park, Parsons Green",true
300101,false,false,1396270320000,,BikePoints_775,"Little Brook Green, Brook Green",true
300099,false,false,1396273320000,,BikePoints_776,"Abyssinia Close, Clapham Junction",true
300100,false,false,1406282940000,,BikePoints_777,"Limburg Road, Clapham Junction",true
200072,false,false,1435313700000,,BikePoints_779,"Houndsditch, Aldgate",true
300070,false,false,1439455200000,,BikePoints_780,"Imperial Wharf Station, Sands End",true
000994,false,false,1279026060000,,BikePoints_85,"Tanner Street, Bermondsey",true
003434,false,false,1279027140000,,BikePoints_86,"Sancroft Street, Vauxhall",true
003438,false,false,1279027680000,,BikePoints_87,"Devonshire Square, Liverpool Street",true
001006,false,false,1279028280000,,BikePoints_88,"Bayley Street , Bloomsbury",true
003439,false,false,1279029360000,,BikePoints_89,"Tavistock Place, Bloomsbury",true
001038,false,false,1279030020000,,BikePoints_90,"Harrington Square 1, Camden Town",true
001076,false,false,1279036740000,,BikePoints_91,"Walnut Tree Walk, Vauxhall",true
001082,false,false,1279037040000,,BikePoints_92,"Borough Road, Elephant & Castle",true
002586,false,false,1279037760000,,BikePoints_93,"Cloudesley Road, Angel",true
001070,false,false,1279038420000,,BikePoints_94,"Bricklayers Arms, Borough",true
001065,false,false,1279096560000,,BikePoints_95,"Aldersgate Street, Barbican",true
001047,false,false,1279096980000,,BikePoints_96,"Falkirk Street, Hoxton",true
003447,false,false,1279097580000,,BikePoints_97,"Gloucester Road (North), Kensington",true
000972,false,false,1279099080000,,BikePoints_98,"Hampstead Road, Euston",true
001085,false,false,1279099680000,,BikePoints_99,"Old Quebec Street, Marylebone",true
001059,false,false,1279099860000,,BikePoints_100,"Albert Embankment, Vauxhall",true
000999,false,false,1279102680000,,BikePoints_101,"Queen Street 1, Bank",true
001045,false,false,1279102860000,,BikePoints_102,"Jewry Street, Aldgate",true
003441,false,false,1279103520000,,BikePoints_103,"Vicarage Gate, Kensington",true
000991,false,false,1279103760000,,BikePoints_104,"Crosswall, Tower",true
001041,false,false,1279105320000,,BikePoints_105,"Westbourne Grove, Bayswater",true
001042,false,false,1279106880000,,BikePoints_106,"Woodstock Street, Mayfair",true
001049,false,false,1279107480000,,BikePoints_107,"Finsbury Leisure Centre, St. Luke's",true
003429,false,false,1279107720000,,BikePoints_108,"Abbey Orchard Street, Westminster",true
001052,false,false,1279108320000,,BikePoints_109,"Soho Square , Soho",true
001055,false,false,1279108920000,,BikePoints_110,"Wellington Road, St. John's Wood",true
001037,false,false,1279109160000,,BikePoints_111,"Park Lane , Hyde Park",true
003435,false,false,1279116600000,,BikePoints_113,"Gloucester Road (Central), South Kensington",true
001050,false,false,1279119900000,,BikePoints_114,"Park Road (Baker Street), The Regent's Park",true
001062,false,false,1279120680000,,BikePoints_115,"Braham Street, Aldgate",true
000995,false,false,1279122360000,,BikePoints_116,"Little Argyll Street, West End",true
000998,false,false,1279124220000,,BikePoints_117,"Lollard Street, Vauxhall",true
003457,false,false,1279124520000,,BikePoints_118,"Rochester Row, Westminster",true
000964,false,false,1279124760000,,BikePoints_119,"Bath Street, St. Luke's",true
001044,false,false,1279187040000,,BikePoints_120,"The Guildhall, Guildhall",true
001086,false,false,1279189200000,,BikePoints_121,"Baker Street, Marylebone",true
001068,false,false,1279190040000,,BikePoints_122,"Norton Folgate, Liverpool Street",true
000992,false,false,1279191300000,,BikePoints_123,"St. John Street, Finsbury",true
001069,false,false,1279191540000,,BikePoints_124,"Eaton Square, Belgravia",true
000996,false,false,1279192200000,,BikePoints_125,"Borough High Street, The Borough",true
001043,false,false,1279193340000,,BikePoints_126,"Museum of London, Barbican",true
001063,false,false,1279193520000,,BikePoints_127,"Wood Street, Guildhall",true
001116,false,false,1279194060000,,BikePoints_128,"Emperor's Gate, South Kensington",true
