locked,common_name,installed,removal_date,temporary,terminal_name,install_date,place_id
false,"Derry Street, Kensington",true,,false,003436,1279200240000,BikePoints_133
false,"Wapping High Street, Wapping",true,,false,001039,1279200900000,BikePoints_134
false,"Clerkenwell Green, Clerkenwell",true,,false,001053,1279201080000,BikePoints_135
false,"Queen Victoria Street, St. Paul's",true,,false,001048,1279201200000,BikePoints_136
false,"Green Street, Mayfair",true,,false,003464,1279205220000,BikePoints_138
false,"Lambeth Road, Vauxhall",true,,false,001078,1279205460000,BikePoints_139
false,"Finsbury Square , Moorgate",true,,false,001056,1279205580000,BikePoints_140
false,"Chapel Place, Marylebone",true,,false,001003,1279210980000,BikePoints_141
false,"West Cromwell Road, Earl's Court",true,,false,001001,1279211220000,BikePoints_142
false,"Pont Street, Knightsbridge",true,,false,001114,1279211400000,BikePoints_143
false,"Kennington Cross, Kennington",true,,false,001093,1279211580000,BikePoints_144
false,"Ilchester Place, Kensington",true,,false,001115,1279212180000,BikePoints_145
false,"Vauxhall Bridge , Pimlico",true,,false,001046,1279212360000,BikePoints_146
false,"Tachbrook Street, Victoria",true,,false,000965,,BikePoints_148
false,"Kennington Road Post Office, Oval",true,,false,001073,1279215360000,BikePoints_149
false,"Holy Trinity Brompton, Knightsbridge",true,,false,001002,1279215540000,BikePoints_150
false,"Hampton Street, Walworth",true,,false,001118,1279215900000,BikePoints_152
false,"Bayswater Road, Hyde Park",true,,false,001096,1279216080000,BikePoints_153
false,"Waterloo Station 3, Waterloo",true,,false,001072,,BikePoints_154
false,"Lexham Gardens, Kensington",true,,false,001121,1279272660000,BikePoints_155
false,"New Kent Road, The Borough",true,,false,000966,1279273080000,BikePoints_156
false,"Wright's Lane, Kensington",true,,false,001094,1279273200000,BikePoints_157
false,"Trebovir Road, Earl's Court",true,,false,001113,1279273320000,BikePoints_158
false,"Waterloo Place, St. James's",true,,false,003458,1279274280000,BikePoints_160
false,"Guildhouse Street, Victoria",true,,false,003478,1279286940000,BikePoints_161
false,"Southampton Place, Holborn",true,,false,001123,1279287120000,BikePoints_162
false,"Sloane Avenue, Knightsbridge",true,,false,003461,1279287300000,BikePoints_163
false,"Cleveland Gardens, Bayswater",true,,false,001178,1279287600000,BikePoints_164
false,"Orsett Terrace, Bayswater",true,,false,002585,1279287960000,BikePoints_165
false,"Seville Street, Knightsbridge",true,,false,001177,1279288140000,BikePoints_166
false,"Eccleston Place, Victoria",true,,false,003465,,BikePoints_167
false,"Argyll Road, Kensington",true,,false,003463,1279289400000,BikePoints_168
false,"Wren Street, Holborn",true,,false,022169,1323361560000,BikePoints_433
false,"Kennington Station, Kennington",true,,false,022170,1323346020000,BikePoints_435
false,"Red Lion Street, Holborn",true,,false,022171,1323350220000,BikePoints_436
false,"Vauxhall Walk, Vauxhall",true,,false,200056,1325746380000,BikePoints_437
false,"Killick Street, King's Cross",true,,false,200053,1325705460000,BikePoints_439
false,"Kennington Oval, Oval",true,,false,200032,1325708160000,BikePoints_440
