terminal_name,install_date,temporary,place_id,common_name,locked,installed,removal_date
300250,1600856400000,false,BikePoints_842,"Temple Gardens, Temple",false,true,
300252,1608298140000,false,BikePoints_844,"Canada Water Station, Rotherhithe",false,true,
300253,1608303660000,false,BikePoints_845,"Bermondsey Station, Bermondsey",false,true,
001023,1278947280000,false,BikePoints_1,"River Street , Clerkenwell",false,true,
001018,1278585780000,false,BikePoints_2,"Phillimore Gardens, Kensington",false,true,
001012,1278240360000,false,BikePoints_3,"Christopher Street, Liverpool Street",false,true,
001013,1278241080000,false,BikePoints_4,"St. Chad's Street, King's Cross",false,true,
003420,1278241440000,false,BikePoints_5,"Sedding Street, Sloane Square",false,true,
003424,1278241680000,false,BikePoints_6,"Broadcasting House, Marylebone",false,true,
003422,1278241800000,false,BikePoints_7,"Charlbert Street, St. John's Wood",false,true,
003423,1540984560000,false,BikePoints_8,"Maida Vale, Maida Vale",false,true,
001015,1278242340000,false,BikePoints_9,"New Globe Walk, Bankside",false,true,
001024,1278242460000,false,BikePoints_10,"Park Street, Bankside",false,true,
001022,1278340440000,false,BikePoints_11,"Brunswick Square, Bloomsbury",false,true,
000980,1278340620000,false,BikePoints_12,"Malet Street, Bloomsbury",false,true,
000970,1278340800000,false,BikePoints_13,"Scala Street, Fitzrovia",false,true,
001011,1278341040000,false,BikePoints_14,"Belgrove Street , King's Cross",false,true,
000988,1278341220000,false,BikePoints_15,"Great Russell Street, Bloomsbury",false,true,
001010,1278341400000,false,BikePoints_16,"Cartwright Gardens , Bloomsbury",false,true,
001008,1278423720000,false,BikePoints_17,"Hatton Wall, Holborn",false,true,
001007,1278426300000,false,BikePoints_18,"Drury Lane, Covent Garden",false,true,
001009,1278426720000,false,BikePoints_19,"Taviton Street, Bloomsbury",false,true,
000993,1544659200000,false,BikePoints_20,"Drummond Street , Euston",false,true,
003426,1278427740000,false,BikePoints_21,"Lansdowne Drive, Hackney Central",false,true,
003425,1278428880000,false,BikePoints_22,"Northington Street , Holborn",false,true,
003421,1278429300000,false,BikePoints_23,"Red Lion Square, Holborn",false,true,
000981,1278430140000,false,BikePoints_24,"British Museum, Bloomsbury",false,true,
001004,1278433200000,false,BikePoints_25,"Doric Way , Somers Town",false,true,
001019,1278434160000,false,BikePoints_26,"Ampton Street , Clerkenwell",false,true,
001021,1278500160000,false,BikePoints_27,"Bouverie Street, Temple",false,true,
001025,1278500460000,false,BikePoints_28,"Bolsover Street, Fitzrovia",false,true,
001016,1278501180000,false,BikePoints_29,"Hereford Road, Bayswater",false,true,
001029,1278501420000,false,BikePoints_30,"Windsor Terrace, Hoxton",false,true,
003427,1278501600000,false,BikePoints_31,"Fanshaw Street, Hoxton",false,true,
001020,1278506700000,false,BikePoints_32,"Leonard Circus , Shoreditch",false,true,
003430,1278506940000,false,BikePoints_33,"Central House, Aldgate",false,true,
003428,1278507060000,false,BikePoints_34,"Pancras Road, King's Cross",false,true,
003446,1278519900000,false,BikePoints_36,"De Vere Gardens, Kensington",false,true,
003444,1278520020000,false,BikePoints_37,"Penywern Road, Earl's Court",false,true,
003442,1278584880000,false,BikePoints_38,"Abingdon Villas, Kensington",false,true,
003445,1278601740000,false,BikePoints_39,"Shoreditch High Street, Shoreditch",false,true,
001083,1278601980000,false,BikePoints_40,"Commercial Street, Shoreditch",false,true,
001084,1278602280000,false,BikePoints_41,"Pindar Street, Liverpool Street",false,true,
000979,1278602700000,false,BikePoints_42,"Wenlock Road , Hoxton",false,true,
001036,1278687720000,false,BikePoints_43,"Crawford Street, Marylebone",false,true,
001034,1278687900000,false,BikePoints_44,"Bruton Street, Mayfair",false,true,
001035,1278691320000,false,BikePoints_45,"Boston Place, Marylebone",false,true,
001031,1278691800000,false,BikePoints_46,"Nesham Street, Wapping",false,true,
001027,1278749160000,false,BikePoints_47,"Warwick Avenue Station, Maida Vale",false,true,
000971,1278749460000,false,BikePoints_48,"Godliman Street, St. Paul's",false,true,
003437,1278749940000,false,BikePoints_49,"Curzon Street, Mayfair",false,true,
001054,1278750240000,false,BikePoints_50,"East Road, Hoxton",false,true,
000986,1278750540000,false,BikePoints_51,"Finsbury Library , Finsbury",false,true,
001026,1278750840000,false,BikePoints_52,"Roscoe Street, St. Luke's",false,true,
003431,1278752580000,false,BikePoints_53,"Grafton Street, Mayfair",false,true,
000967,1278766740000,false,BikePoints_54,"Golden Lane, Barbican",false,true,
000984,1278766980000,false,BikePoints_55,"Finsbury Circus, Liverpool Street",false,true,
001033,1278767220000,false,BikePoints_56,"Paddington Street, Marylebone",false,true,
000974,1278767460000,false,BikePoints_57,"Guilford Street , Bloomsbury",false,true,
001032,1278767700000,false,BikePoints_58,"New Inn Yard, Shoreditch",false,true,
001030,1278769140000,false,BikePoints_60,"Lisson Grove, St. John's Wood",false,true,
001017,1278773820000,false,BikePoints_61,"Great Dover Street, The Borough",false,true,
000990,1278773940000,false,BikePoints_62,"Cotton Garden Estate, Kennington",false,true,
000989,1278774120000,false,BikePoints_63,"Murray Grove , Hoxton",false,true,
001028,1278774300000,false,BikePoints_64,"William IV Street, Strand",false,true,
000969,1278840660000,false,BikePoints_65,"Gower Place , Euston",false,true,
000982,1278845280000,false,BikePoints_66,"Holborn Circus, Holborn",false,true,
000985,1278847440000,false,BikePoints_67,"Hatton Garden, Holborn",false,true,
000975,1278857040000,false,BikePoints_68,"Theobald's Road , Holborn",false,true,
000983,1278861540000,false,BikePoints_69,"Euston Road, Euston",false,true,
001066,1278863340000,false,BikePoints_70,"Calshot Street , King's Cross",false,true,
001074,1278924900000,false,BikePoints_71,"Newgate Street , St. Paul's",false,true,
003432,1276948860000,false,BikePoints_72,"Farringdon Lane, Clerkenwell",false,true,
001064,1278941040000,false,BikePoints_73,"Old Street Station, St. Luke's",false,true,
001000,1278941160000,false,BikePoints_74,"Vauxhall Cross, Vauxhall",false,true,
001060,1278945180000,false,BikePoints_75,"Torrens Street, Angel",false,true,
000976,1278946560000,false,BikePoints_76,"Longford Street, The Regent's Park",false,true,
000978,1278946860000,false,BikePoints_77,"Russell Square Station, Bloomsbury",false,true,
003433,1278948480000,false,BikePoints_78,"Sadlers Sports Centre, Finsbury",false,true,
003455,1509018360000,false,BikePoints_79,"Arundel Street, Temple",false,true,
003448,1278952440000,false,BikePoints_80,"Webber Street , Southwark",false,true,
003450,1279012980000,false,BikePoints_81,"Great Titchfield Street, Fitzrovia",false,true,
003453,1279015680000,false,BikePoints_82,"Chancery Lane, Holborn",false,true,
003452,1279015800000,false,BikePoints_83,"Panton Street, West End",false,true,
002635,1280147580000,false,BikePoints_334,"Concert Hall Approach 1, South Bank",false,true,
001207,1280152560000,false,BikePoints_335,"Tavistock Street, Covent Garden",false,true,
001212,1280152800000,false,BikePoints_336,"Concert Hall Approach 2, South Bank",false,true,
002589,1280153100000,false,BikePoints_337,"Pembridge Villas, Notting Hill",false,true,
001202,1280158740000,false,BikePoints_338,"Wellington Street , Strand",false,true,
001127,1280160600000,false,BikePoints_339,"Risinghill Street, Angel",false,true,
001201,1280248620000,false,BikePoints_340,"Bank of England Museum, Bank",false,true,
001160,1280222160000,false,BikePoints_341,"Craven Street, Strand",false,true,
001188,1280224260000,false,BikePoints_343,"London Zoo Car Park, The Regent's Park",false,true,
001222,1280226120000,false,BikePoints_344,"Goswell Road (City Uni), Finsbury",false,true,
001218,1280229720000,false,BikePoints_345,"Flood Street, Chelsea",false,true,
001219,1283762460000,false,BikePoints_347,"Lower Marsh, Waterloo",false,true,
010627,1284540540000,false,BikePoints_348,"Grosvenor Square, Mayfair",false,true,
001221,1284543120000,false,BikePoints_349,"St. George Street, Mayfair",false,true,
001231,1285756260000,false,BikePoints_350,"Queen's Gate, Kensington Gardens",false,true,
001226,1286790480000,false,BikePoints_351,"Macclesfield Rd, St Lukes",false,true,
