removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"St. Peter's Terrace, Fulham",1385391300000,false,BikePoints_729,true,false,300043
,"Bridge Avenue, Hammersmith",1385132580000,false,BikePoints_730,true,false,300082
,"Michael Road, Walham Green",1385394720000,false,BikePoints_731,true,false,300095
,"Duke Street Hill, London Bridge",1385458020000,false,BikePoints_732,true,false,300083
,"Park Lane, Mayfair",1385460840000,false,BikePoints_733,true,false,300093
,"Plough Terrace, Clapham Junction",1385464500000,false,BikePoints_734,true,false,300094
,"Grant Road East, Clapham Junction",1385383080000,false,BikePoints_735,true,false,200120
,"Queensdale Road, Shepherd's Bush",1385472900000,false,BikePoints_736,true,false,300088
,"Fulham Broadway, Walham Green",1385554620000,false,BikePoints_737,true,false,300086
,"Imperial Road, Sands End",1385563380000,false,BikePoints_738,true,false,300087
,"Hortensia Road, West Brompton",1385631000000,false,BikePoints_739,true,false,300091
,"Sirdar Road, Avondale",1385635440000,false,BikePoints_740,true,false,300084
,"Freston Road, Avondale",1385640120000,false,BikePoints_741,true,false,300085
,"Blenheim Crescent, Ladbroke Grove",1385649540000,false,BikePoints_742,true,false,300090
,"Oxford Road, Putney",1385723700000,false,BikePoints_743,true,false,300078
,"Ingrave Street, Clapham Junction",1385729760000,false,BikePoints_744,true,false,300077
,"Upcerne Road, West Chelsea",1385740020000,false,BikePoints_745,true,false,300075
,"Lots Road, West Chelsea",1385985720000,false,BikePoints_746,true,false,300076
,"Ormonde Gate, Chelsea",1385997240000,false,BikePoints_747,true,false,300089
,"Hertford Road, De Beauvoir Town",1386159900000,false,BikePoints_748,true,false,300092
,"Haggerston Road, Haggerston",1386172440000,false,BikePoints_749,true,false,300081
,"Culvert Road, Battersea",1386240360000,false,BikePoints_750,true,false,300080
,"Newton Street, Covent Garden",1386250800000,false,BikePoints_751,true,false,300074
,"London Street, Paddington",1650364320000,false,BikePoints_752,true,false,300079
,"Grenfell Road, Avondale",1389003540000,false,BikePoints_754,true,false,300067
,"The Vale, Chelsea",1389008580000,false,BikePoints_755,true,false,300058
,"Prince of Wales Drive, Battersea Park",1390223040000,false,BikePoints_756,true,false,300073
,"Harcourt Terrace, West Brompton",1389094260000,false,BikePoints_757,true,false,300069
,"Westbourne Park Road, Portobello",1389178020000,false,BikePoints_758,true,false,300057
,"Broadley Terrace, Marylebone",1389627480000,false,BikePoints_759,true,false,300072
,"Humbolt Road, Fulham",1389781800000,false,BikePoints_761,true,false,300068
,"Storey's Gate, Westminster",1392039000000,false,BikePoints_762,true,false,200202
,"Mile End Park Leisure Centre, Mile End",1392043020000,false,BikePoints_763,true,false,300027
,"St. John's Road, Clapham Junction",1392633480000,false,BikePoints_764,true,false,200185
,"Ranelagh Gardens, Fulham",1392986940000,false,BikePoints_765,true,false,300064
,"Ram Street, Wandsworth",1392894840000,false,BikePoints_766,true,false,200079
,"Santos Road, Wandsworth",1393406280000,false,BikePoints_767,true,false,200177
,"Clapham Common North Side, Clapham Common",1393494060000,false,BikePoints_768,true,false,300065
,"Sandilands Road, Walham Green",1393939560000,false,BikePoints_769,true,false,300001
,"Gwendwr Road, West Kensington",1394099280000,false,BikePoints_770,true,false,300097
,"Rifle Place, Avondale",1394018400000,false,BikePoints_771,true,false,300007
,"Binfield Road, Stockwell",1396442100000,false,BikePoints_772,true,false,300015
,"Tallis Street, Temple",1396262520000,false,BikePoints_773,true,false,300096
,"Hurlingham Park, Parsons Green",1396265880000,false,BikePoints_774,true,false,300098
,"Little Brook Green, Brook Green",1396270320000,false,BikePoints_775,true,false,300101
,"Abyssinia Close, Clapham Junction",1396273320000,false,BikePoints_776,true,false,300099
,"Limburg Road, Clapham Junction",1406282940000,false,BikePoints_777,true,false,300100
,"Houndsditch, Aldgate",1435313700000,false,BikePoints_779,true,false,200072
,"Imperial Wharf Station, Sands End",1439455200000,false,BikePoints_780,true,false,300070
,"Tanner Street, Bermondsey",1279026060000,false,BikePoints_85,true,false,000994
,"Sancroft Street, Vauxhall",1279027140000,false,BikePoints_86,true,false,003434
,"Devonshire Square, Liverpool Street",1279027680000,false,BikePoints_87,true,false,003438
,"Bayley Street , Bloomsbury",1279028280000,false,BikePoints_88,true,false,001006
,"Tavistock Place, Bloomsbury",1279029360000,false,BikePoints_89,true,false,003439
,"Harrington Square 1, Camden Town",1279030020000,false,BikePoints_90,true,false,001038
,"Walnut Tree Walk, Vauxhall",1279036740000,false,BikePoints_91,true,false,001076
,"Borough Road, Elephant & Castle",1279037040000,false,BikePoints_92,true,false,001082
,"Cloudesley Road, Angel",1279037760000,false,BikePoints_93,true,false,002586
,"Bricklayers Arms, Borough",1279038420000,false,BikePoints_94,true,false,001070
,"Aldersgate Street, Barbican",1279096560000,false,BikePoints_95,true,false,001065
,"Falkirk Street, Hoxton",1279096980000,false,BikePoints_96,true,false,001047
,"Gloucester Road (North), Kensington",1279097580000,false,BikePoints_97,true,false,003447
,"Hampstead Road, Euston",1279099080000,false,BikePoints_98,true,false,000972
,"Old Quebec Street, Marylebone",1279099680000,false,BikePoints_99,true,false,001085
,"Albert Embankment, Vauxhall",1279099860000,false,BikePoints_100,true,false,001059
,"Queen Street 1, Bank",1279102680000,false,BikePoints_101,true,false,000999
,"Jewry Street, Aldgate",1279102860000,false,BikePoints_102,true,false,001045
,"Vicarage Gate, Kensington",1279103520000,false,BikePoints_103,true,false,003441
,"Crosswall, Tower",1279103760000,false,BikePoints_104,true,false,000991
,"Westbourne Grove, Bayswater",1279105320000,false,BikePoints_105,true,false,001041
,"Woodstock Street, Mayfair",1279106880000,false,BikePoints_106,true,false,001042
,"Finsbury Leisure Centre, St. Luke's",1279107480000,false,BikePoints_107,true,false,001049
,"Abbey Orchard Street, Westminster",1279107720000,false,BikePoints_108,true,false,003429
,"Soho Square , Soho",1279108320000,false,BikePoints_109,true,false,001052
,"Wellington Road, St. John's Wood",1279108920000,false,BikePoints_110,true,false,001055
,"Park Lane , Hyde Park",1279109160000,false,BikePoints_111,true,false,001037
,"Gloucester Road (Central), South Kensington",1279116600000,false,BikePoints_113,true,false,003435
