common_name,temporary,removal_date,installed,install_date,locked,place_id,terminal_name
"East Village, Queen Elizabeth Olympic Park",false,,true,1452789240000,false,BikePoints_784,300200
"Aquatic Centre, Queen Elizabeth Olympic Park",false,,true,1451908440000,false,BikePoints_785,300233
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",false,,true,1451918160000,false,BikePoints_786,300029
"Timber Lodge, Queen Elizabeth Olympic Park",false,,true,1451900700000,false,BikePoints_787,300227
"Copper Box Arena, Queen Elizabeth Olympic Park",false,,true,1451906880000,false,BikePoints_788,300226
"Podium, Queen Elizabeth Olympic Park",false,,true,1452507000000,false,BikePoints_789,300021
"Stratford Station, Stratford",false,,true,1452687420000,false,BikePoints_790,300234
"Blackfriars Road, Southwark",false,,true,1454926380000,false,BikePoints_792,300214
"Cromer Street, Bloomsbury",false,,true,1459424760000,false,BikePoints_793,300205
"Victoria Rise, Clapham Common",false,,true,1456404240000,false,BikePoints_794,300204
"Euston Square Gardens, Euston",false,,true,1456744740000,false,BikePoints_795,300203
"Coram Street, Bloomsbury",false,,true,1456746420000,false,BikePoints_796,300201
"Ossulston Street, Somers Town",false,,true,1456839540000,false,BikePoints_797,300211
"Birkenhead Street, King's Cross",false,,true,1464787980000,false,BikePoints_798,300212
"Kings Gate House, Westminster",false,,true,1464876480000,false,BikePoints_799,300202
"Sopwith Way, Battersea Park",false,,true,1457107140000,false,BikePoints_800,300248
"Lavington Street, Bankside",false,,true,1458824640000,false,BikePoints_801,300208
"Albert Square, Stockwell",false,,true,1464865500000,false,BikePoints_802,300209
"Southwark Street, Bankside",false,,true,1464787860000,false,BikePoints_803,300238
"Good's Way, King's Cross",false,,true,1459410960000,false,BikePoints_804,300243
"The Metropolitan, Portobello",false,,true,1467626400000,false,BikePoints_805,300244
"Handyside Street, King's Cross",false,,true,1472723460000,false,BikePoints_806,300241
"Bevington Road West, North Kensington",false,,true,1466715600000,false,BikePoints_807,300236
"Gauden Road, Clapham",false,,true,1461753540000,false,BikePoints_808,300207
"Lincoln's Inn Fields, Holborn",false,,true,1467640800000,false,BikePoints_809,300240
"Tate Modern, Bankside",false,,true,1464943200000,false,BikePoints_810,300237
"Westferry Circus, Canary Wharf",false,,true,1469538960000,false,BikePoints_811,300228
"Here East North, Queen Elizabeth Olympic Park",false,,true,1469005200000,false,BikePoints_812,300217
"New Spring Gardens Walk, Vauxhall",false,,true,1467627120000,false,BikePoints_813,300224
"Clapham Road, Lingham Street, Stockwell",false,,true,1464870060000,false,BikePoints_814,300245
"Lambeth Palace Road, Waterloo",false,,true,1462357680000,false,BikePoints_815,300231
"Here East South, Queen Elizabeth Olympic Park",false,,true,1489065360000,false,BikePoints_816,300219
"Riverlight South, Nine Elms",false,,true,1464949140000,false,BikePoints_817,300232
"Westminster Pier, Westminster",false,,true,1563958740000,false,BikePoints_818,300249
"Belvedere Road 2, South Bank",false,,true,1476360120000,false,BikePoints_819,300246
"Victory Place, Walworth",false,,true,1481807940000,false,BikePoints_820,300239
"Battersea Power Station, Battersea Park",false,,true,1487335920000,false,BikePoints_821,300221
"Allington Street, Victoria",false,,true,1500554880000,false,BikePoints_826,300242
"Cranmer Road, Stockwell",false,,true,1517788800000,false,BikePoints_827,300247
"Normandy Road, Stockwell",false,,true,1517788800000,false,BikePoints_828,300225
"Wynne Road, Stockwell",false,,true,1517443200000,false,BikePoints_829,300230
"Sidney Road, Stockwell",false,,true,1517961600000,false,BikePoints_830,300229
"St John's Crescent, Brixton",false,,true,1517961600000,false,BikePoints_831,300215
"Ferndale Road, Brixton",false,,true,1517961600000,false,BikePoints_832,200240
"Saltoun Road, Brixton",false,,true,1517875200000,false,BikePoints_833,300206
"Gas Holders, Battersea Park",false,,true,1529449200000,false,BikePoints_834,300216
"Farringdon Street, Holborn",false,,true,,false,BikePoints_835,300220
"York Way, Kings Cross",false,,true,,false,BikePoints_836,300235
"Fore Street Avenue, Guildhall",false,,true,1539254700000,false,BikePoints_838,300222
"Sea Containers, South Bank",false,,true,1544611140000,false,BikePoints_839,200144
"George Row, Bermondsey",false,,true,1599752640000,false,BikePoints_840,002679
"Tower Wharf, Bermondsey",false,,true,,false,BikePoints_841,002667
"Temple Gardens, Temple",false,,true,1600856400000,false,BikePoints_842,300250
"Canada Water Station, Rotherhithe",false,,true,1608298140000,false,BikePoints_844,300252
"Bermondsey Station, Bermondsey",false,,true,1608303660000,false,BikePoints_845,300253
"River Street , Clerkenwell",false,,true,1278947280000,false,BikePoints_1,001023
"Phillimore Gardens, Kensington",false,,true,1278585780000,false,BikePoints_2,001018
"Christopher Street, Liverpool Street",false,,true,1278240360000,false,BikePoints_3,001012
"St. Chad's Street, King's Cross",false,,true,1278241080000,false,BikePoints_4,001013
"Sedding Street, Sloane Square",false,,true,1278241440000,false,BikePoints_5,003420
"Broadcasting House, Marylebone",false,,true,1278241680000,false,BikePoints_6,003424
"Charlbert Street, St. John's Wood",false,,true,1278241800000,false,BikePoints_7,003422
"Maida Vale, Maida Vale",false,,true,1540984560000,false,BikePoints_8,003423
"New Globe Walk, Bankside",false,,true,1278242340000,false,BikePoints_9,001015
"Park Street, Bankside",false,,true,1278242460000,false,BikePoints_10,001024
"Brunswick Square, Bloomsbury",false,,true,1278340440000,false,BikePoints_11,001022
"Malet Street, Bloomsbury",false,,true,1278340620000,false,BikePoints_12,000980
"Scala Street, Fitzrovia",false,,true,1278340800000,false,BikePoints_13,000970
"Belgrove Street , King's Cross",false,,true,1278341040000,false,BikePoints_14,001011
"Great Russell Street, Bloomsbury",false,,true,1278341220000,false,BikePoints_15,000988
"Cartwright Gardens , Bloomsbury",false,,true,1278341400000,false,BikePoints_16,001010
"Hatton Wall, Holborn",false,,true,1278423720000,false,BikePoints_17,001008
"Drury Lane, Covent Garden",false,,true,1278426300000,false,BikePoints_18,001007
"Taviton Street, Bloomsbury",false,,true,1278426720000,false,BikePoints_19,001009
"Drummond Street , Euston",false,,true,1544659200000,false,BikePoints_20,000993
"Lansdowne Drive, Hackney Central",false,,true,1278427740000,false,BikePoints_21,003426
"Northington Street , Holborn",false,,true,1278428880000,false,BikePoints_22,003425
"Red Lion Square, Holborn",false,,true,1278429300000,false,BikePoints_23,003421
"British Museum, Bloomsbury",false,,true,1278430140000,false,BikePoints_24,000981
"Doric Way , Somers Town",false,,true,1278433200000,false,BikePoints_25,001004
"Ampton Street , Clerkenwell",false,,true,1278434160000,false,BikePoints_26,001019
"Bouverie Street, Temple",false,,true,1278500160000,false,BikePoints_27,001021
"Bolsover Street, Fitzrovia",false,,true,1278500460000,false,BikePoints_28,001025
"Hereford Road, Bayswater",false,,true,1278501180000,false,BikePoints_29,001016
"Windsor Terrace, Hoxton",false,,true,1278501420000,false,BikePoints_30,001029
"Fanshaw Street, Hoxton",false,,true,1278501600000,false,BikePoints_31,003427
"Leonard Circus , Shoreditch",false,,true,1278506700000,false,BikePoints_32,001020
"Central House, Aldgate",false,,true,1278506940000,false,BikePoints_33,003430
"Pancras Road, King's Cross",false,,true,1278507060000,false,BikePoints_34,003428
"De Vere Gardens, Kensington",false,,true,1278519900000,false,BikePoints_36,003446
"Penywern Road, Earl's Court",false,,true,1278520020000,false,BikePoints_37,003444
"Abingdon Villas, Kensington",false,,true,1278584880000,false,BikePoints_38,003442
"Shoreditch High Street, Shoreditch",false,,true,1278601740000,false,BikePoints_39,003445
"Commercial Street, Shoreditch",false,,true,1278601980000,false,BikePoints_40,001083
"Pindar Street, Liverpool Street",false,,true,1278602280000,false,BikePoints_41,001084
"Wenlock Road , Hoxton",false,,true,1278602700000,false,BikePoints_42,000979
"Crawford Street, Marylebone",false,,true,1278687720000,false,BikePoints_43,001036
"Bruton Street, Mayfair",false,,true,1278687900000,false,BikePoints_44,001034
"Boston Place, Marylebone",false,,true,1278691320000,false,BikePoints_45,001035
"Nesham Street, Wapping",false,,true,1278691800000,false,BikePoints_46,001031
"Warwick Avenue Station, Maida Vale",false,,true,1278749160000,false,BikePoints_47,001027
"Godliman Street, St. Paul's",false,,true,1278749460000,false,BikePoints_48,000971
"Curzon Street, Mayfair",false,,true,1278749940000,false,BikePoints_49,003437
"East Road, Hoxton",false,,true,1278750240000,false,BikePoints_50,001054
"Finsbury Library , Finsbury",false,,true,1278750540000,false,BikePoints_51,000986
"Roscoe Street, St. Luke's",false,,true,1278750840000,false,BikePoints_52,001026
"Grafton Street, Mayfair",false,,true,1278752580000,false,BikePoints_53,003431
"Golden Lane, Barbican",false,,true,1278766740000,false,BikePoints_54,000967
"Finsbury Circus, Liverpool Street",false,,true,1278766980000,false,BikePoints_55,000984
"Paddington Street, Marylebone",false,,true,1278767220000,false,BikePoints_56,001033
"Guilford Street , Bloomsbury",false,,true,1278767460000,false,BikePoints_57,000974
"New Inn Yard, Shoreditch",false,,true,1278767700000,false,BikePoints_58,001032
"Lisson Grove, St. John's Wood",false,,true,1278769140000,false,BikePoints_60,001030
"Great Dover Street, The Borough",false,,true,1278773820000,false,BikePoints_61,001017
"Cotton Garden Estate, Kennington",false,,true,1278773940000,false,BikePoints_62,000990
"Murray Grove , Hoxton",false,,true,1278774120000,false,BikePoints_63,000989
"William IV Street, Strand",false,,true,1278774300000,false,BikePoints_64,001028
"Holborn Circus, Holborn",false,,true,1278845280000,false,BikePoints_66,000982
"Hatton Garden, Holborn",false,,true,1278847440000,false,BikePoints_67,000985
"Theobald's Road , Holborn",false,,true,1278857040000,false,BikePoints_68,000975
"Euston Road, Euston",false,,true,1278861540000,false,BikePoints_69,000983
"Calshot Street , King's Cross",false,,true,1278863340000,false,BikePoints_70,001066
"Newgate Street , St. Paul's",false,,true,1278924900000,false,BikePoints_71,001074
"Farringdon Lane, Clerkenwell",false,,true,1276948860000,false,BikePoints_72,003432
"Old Street Station, St. Luke's",false,,true,1278941040000,false,BikePoints_73,001064
"Vauxhall Cross, Vauxhall",false,,true,1278941160000,false,BikePoints_74,001000
"Torrens Street, Angel",false,,true,1278945180000,false,BikePoints_75,001060
"Longford Street, The Regent's Park",false,,true,1278946560000,false,BikePoints_76,000976
"Russell Square Station, Bloomsbury",false,,true,1278946860000,false,BikePoints_77,000978
"Sadlers Sports Centre, Finsbury",false,,true,1278948480000,false,BikePoints_78,003433
"Arundel Street, Temple",false,,true,1509018360000,false,BikePoints_79,003455
"Webber Street , Southwark",false,,true,1278952440000,false,BikePoints_80,003448
"Great Titchfield Street, Fitzrovia",false,,true,1279012980000,false,BikePoints_81,003450
"Chancery Lane, Holborn",false,,true,1279015680000,false,BikePoints_82,003453
"Panton Street, West End",false,,true,1279015800000,false,BikePoints_83,003452
"Breams Buildings, Holborn",false,,true,1279020240000,false,BikePoints_84,003449
"Concert Hall Approach 2, South Bank",false,,true,1280152800000,false,BikePoints_336,001212
