locked,install_date,terminal_name,removal_date,place_id,temporary,common_name,installed
false,1464949140000,300232,,BikePoints_817,false,"Riverlight South, Nine Elms",true
false,1563958740000,300249,,BikePoints_818,false,"Westminster Pier, Westminster",true
false,1476360120000,300246,,BikePoints_819,false,"Belvedere Road 2, South Bank",true
false,1481807940000,300239,,BikePoints_820,false,"Victory Place, Walworth",true
false,1487335920000,300221,,BikePoints_821,false,"Battersea Power Station, Battersea Park",true
false,1500554880000,300242,,BikePoints_826,false,"Allington Street, Victoria",true
false,1517788800000,300247,,BikePoints_827,false,"Cranmer Road, Stockwell",true
false,1517788800000,300225,,BikePoints_828,false,"Normandy Road, Stockwell",true
false,1517443200000,300230,,BikePoints_829,false,"Wynne Road, Stockwell",true
false,1517961600000,300229,,BikePoints_830,false,"Sidney Road, Stockwell",true
false,1517961600000,300215,,BikePoints_831,false,"St John's Crescent, Brixton",true
false,1517961600000,200240,,BikePoints_832,false,"Ferndale Road, Brixton",true
false,1517875200000,300206,,BikePoints_833,false,"Saltoun Road, Brixton",true
false,1529449200000,300216,,BikePoints_834,false,"Gas Holders, Battersea Park",true
false,,300220,,BikePoints_835,false,"Farringdon Street, Holborn",true
false,,300235,,BikePoints_836,false,"York Way, Kings Cross",true
false,1539254700000,300222,,BikePoints_838,false,"Fore Street Avenue, Guildhall",true
false,1544611140000,200144,,BikePoints_839,false,"Sea Containers, South Bank",true
false,1599752640000,002679,,BikePoints_840,false,"George Row, Bermondsey",true
false,,002667,,BikePoints_841,false,"Tower Wharf, Bermondsey",true
false,1600856400000,300250,,BikePoints_842,false,"Temple Gardens, Temple",true
false,1608298140000,300252,,BikePoints_844,false,"Canada Water Station, Rotherhithe",true
false,1608303660000,300253,,BikePoints_845,false,"Bermondsey Station, Bermondsey",true
false,1278947280000,001023,,BikePoints_1,false,"River Street , Clerkenwell",true
false,1278585780000,001018,,BikePoints_2,false,"Phillimore Gardens, Kensington",true
false,1278240360000,001012,,BikePoints_3,false,"Christopher Street, Liverpool Street",true
false,1278241080000,001013,,BikePoints_4,false,"St. Chad's Street, King's Cross",true
false,1278241440000,003420,,BikePoints_5,false,"Sedding Street, Sloane Square",true
false,1278241680000,003424,,BikePoints_6,false,"Broadcasting House, Marylebone",true
false,1278241800000,003422,,BikePoints_7,false,"Charlbert Street, St. John's Wood",true
false,1540984560000,003423,,BikePoints_8,false,"Maida Vale, Maida Vale",true
false,1278242340000,001015,,BikePoints_9,false,"New Globe Walk, Bankside",true
false,1278242460000,001024,,BikePoints_10,false,"Park Street, Bankside",true
false,1278340440000,001022,,BikePoints_11,false,"Brunswick Square, Bloomsbury",true
false,1278340620000,000980,,BikePoints_12,false,"Malet Street, Bloomsbury",true
false,1278340800000,000970,,BikePoints_13,false,"Scala Street, Fitzrovia",true
false,1278341040000,001011,,BikePoints_14,false,"Belgrove Street , King's Cross",true
false,1278341220000,000988,,BikePoints_15,false,"Great Russell Street, Bloomsbury",true
false,1278341400000,001010,,BikePoints_16,false,"Cartwright Gardens , Bloomsbury",true
false,1278423720000,001008,,BikePoints_17,false,"Hatton Wall, Holborn",true
false,1278426300000,001007,,BikePoints_18,false,"Drury Lane, Covent Garden",true
false,1278426720000,001009,,BikePoints_19,false,"Taviton Street, Bloomsbury",true
false,1544659200000,000993,,BikePoints_20,false,"Drummond Street , Euston",true
false,1278427740000,003426,,BikePoints_21,false,"Lansdowne Drive, Hackney Central",true
false,1278428880000,003425,,BikePoints_22,false,"Northington Street , Holborn",true
false,1278429300000,003421,,BikePoints_23,false,"Red Lion Square, Holborn",true
false,1278430140000,000981,,BikePoints_24,false,"British Museum, Bloomsbury",true
false,1278433200000,001004,,BikePoints_25,false,"Doric Way , Somers Town",true
false,1278434160000,001019,,BikePoints_26,false,"Ampton Street , Clerkenwell",true
false,1278500160000,001021,,BikePoints_27,false,"Bouverie Street, Temple",true
false,1278500460000,001025,,BikePoints_28,false,"Bolsover Street, Fitzrovia",true
false,1278501180000,001016,,BikePoints_29,false,"Hereford Road, Bayswater",true
false,1278501420000,001029,,BikePoints_30,false,"Windsor Terrace, Hoxton",true
false,1278501600000,003427,,BikePoints_31,false,"Fanshaw Street, Hoxton",true
false,1278506700000,001020,,BikePoints_32,false,"Leonard Circus , Shoreditch",true
false,1278506940000,003430,,BikePoints_33,false,"Central House, Aldgate",true
false,1278507060000,003428,,BikePoints_34,false,"Pancras Road, King's Cross",true
false,1278519900000,003446,,BikePoints_36,false,"De Vere Gardens, Kensington",true
false,1278520020000,003444,,BikePoints_37,false,"Penywern Road, Earl's Court",true
false,1278584880000,003442,,BikePoints_38,false,"Abingdon Villas, Kensington",true
false,1278601740000,003445,,BikePoints_39,false,"Shoreditch High Street, Shoreditch",true
false,1278601980000,001083,,BikePoints_40,false,"Commercial Street, Shoreditch",true
false,1278602280000,001084,,BikePoints_41,false,"Pindar Street, Liverpool Street",true
false,1278602700000,000979,,BikePoints_42,false,"Wenlock Road , Hoxton",true
false,1278687720000,001036,,BikePoints_43,false,"Crawford Street, Marylebone",true
false,1278687900000,001034,,BikePoints_44,false,"Bruton Street, Mayfair",true
false,1278691320000,001035,,BikePoints_45,false,"Boston Place, Marylebone",true
false,1278691800000,001031,,BikePoints_46,false,"Nesham Street, Wapping",true
false,1278749160000,001027,,BikePoints_47,false,"Warwick Avenue Station, Maida Vale",true
false,1278749460000,000971,,BikePoints_48,false,"Godliman Street, St. Paul's",true
false,1278749940000,003437,,BikePoints_49,false,"Curzon Street, Mayfair",true
false,1278750240000,001054,,BikePoints_50,false,"East Road, Hoxton",true
false,1278750540000,000986,,BikePoints_51,false,"Finsbury Library , Finsbury",true
false,1278750840000,001026,,BikePoints_52,false,"Roscoe Street, St. Luke's",true
false,1278752580000,003431,,BikePoints_53,false,"Grafton Street, Mayfair",true
false,1278766740000,000967,,BikePoints_54,false,"Golden Lane, Barbican",true
false,1278766980000,000984,,BikePoints_55,false,"Finsbury Circus, Liverpool Street",true
false,1278767220000,001033,,BikePoints_56,false,"Paddington Street, Marylebone",true
false,1278767460000,000974,,BikePoints_57,false,"Guilford Street , Bloomsbury",true
false,1278767700000,001032,,BikePoints_58,false,"New Inn Yard, Shoreditch",true
false,1278769140000,001030,,BikePoints_60,false,"Lisson Grove, St. John's Wood",true
false,1278773820000,001017,,BikePoints_61,false,"Great Dover Street, The Borough",true
false,1278773940000,000990,,BikePoints_62,false,"Cotton Garden Estate, Kennington",true
false,1278774120000,000989,,BikePoints_63,false,"Murray Grove , Hoxton",true
false,1278774300000,001028,,BikePoints_64,false,"William IV Street, Strand",true
false,1278840660000,000969,,BikePoints_65,false,"Gower Place , Euston",true
false,1278845280000,000982,,BikePoints_66,false,"Holborn Circus, Holborn",true
false,1278847440000,000985,,BikePoints_67,false,"Hatton Garden, Holborn",true
false,1278857040000,000975,,BikePoints_68,false,"Theobald's Road , Holborn",true
false,1278861540000,000983,,BikePoints_69,false,"Euston Road, Euston",true
false,1278863340000,001066,,BikePoints_70,false,"Calshot Street , King's Cross",true
false,1278924900000,001074,,BikePoints_71,false,"Newgate Street , St. Paul's",true
false,1276948860000,003432,,BikePoints_72,false,"Farringdon Lane, Clerkenwell",true
false,1278941040000,001064,,BikePoints_73,false,"Old Street Station, St. Luke's",true
false,1278941160000,001000,,BikePoints_74,false,"Vauxhall Cross, Vauxhall",true
false,1278945180000,001060,,BikePoints_75,false,"Torrens Street, Angel",true
false,1278946560000,000976,,BikePoints_76,false,"Longford Street, The Regent's Park",true
false,1278946860000,000978,,BikePoints_77,false,"Russell Square Station, Bloomsbury",true
false,1278948480000,003433,,BikePoints_78,false,"Sadlers Sports Centre, Finsbury",true
false,1509018360000,003455,,BikePoints_79,false,"Arundel Street, Temple",true
false,1278952440000,003448,,BikePoints_80,false,"Webber Street , Southwark",true
false,1279012980000,003450,,BikePoints_81,false,"Great Titchfield Street, Fitzrovia",true
false,1279015680000,003453,,BikePoints_82,false,"Chancery Lane, Holborn",true
false,1279015800000,003452,,BikePoints_83,false,"Panton Street, West End",true
false,1280147580000,002635,,BikePoints_334,false,"Concert Hall Approach 1, South Bank",true
false,1280152560000,001207,,BikePoints_335,false,"Tavistock Street, Covent Garden",true
false,1280152800000,001212,,BikePoints_336,false,"Concert Hall Approach 2, South Bank",true
false,1280153100000,002589,,BikePoints_337,false,"Pembridge Villas, Notting Hill",true
false,1280158740000,001202,,BikePoints_338,false,"Wellington Street , Strand",true
false,1280160600000,001127,,BikePoints_339,false,"Risinghill Street, Angel",true
false,1280248620000,001201,,BikePoints_340,false,"Bank of England Museum, Bank",true
false,1280222160000,001160,,BikePoints_341,false,"Craven Street, Strand",true
false,1280224260000,001188,,BikePoints_343,false,"London Zoo Car Park, The Regent's Park",true
false,1280226120000,001222,,BikePoints_344,false,"Goswell Road (City Uni), Finsbury",true
false,1280229720000,001218,,BikePoints_345,false,"Flood Street, Chelsea",true
false,1283762460000,001219,,BikePoints_347,false,"Lower Marsh, Waterloo",true
false,1284540540000,010627,,BikePoints_348,false,"Grosvenor Square, Mayfair",true
false,1284543120000,001221,,BikePoints_349,false,"St. George Street, Mayfair",true
false,1285756260000,001231,,BikePoints_350,false,"Queen's Gate, Kensington Gardens",true
false,1286790480000,001226,,BikePoints_351,false,"Macclesfield Rd, St Lukes",true
false,1286796360000,001224,,BikePoints_352,false,"Vauxhall Street, Vauxhall",true
false,1287652080000,010623,,BikePoints_353,false,"Greycoat Street , Westminster",true
false,,001097,,BikePoints_354,false,"Northumberland Avenue, Strand",true
