place_id,installed,temporary,terminal_name,removal_date,install_date,locked,common_name
BikePoints_660,true,false,300020,,1382705340000,false,"West Kensington Station, West Kensington"
BikePoints_661,true,false,300023,,1382887680000,false,"All Saints Church, Portobello"
BikePoints_662,true,false,200189,,1382866680000,false,"Phene Street, Chelsea"
BikePoints_663,true,false,200124,,1382870040000,false,"Clarendon Road, Avondale"
BikePoints_664,true,false,300013,,1382964300000,false,"Austin Road, Battersea Park"
BikePoints_665,true,false,200113,,1382975700000,false,"Smugglers Way, Wandsworth"
BikePoints_667,true,false,200209,,1383136140000,false,"Shepherd's Bush Road North, Shepherd's Bush"
BikePoints_668,true,false,300037,,1383143160000,false,"Ravenscourt Park Station, Hammersmith"
BikePoints_669,true,false,300036,,1383147660000,false,"Teversham Lane, Stockwell"
BikePoints_670,true,false,200169,,1383212640000,false,"Ashley Crescent, Battersea"
BikePoints_671,true,false,300052,,1383217920000,false,"Parsons Green Station, Parsons Green"
BikePoints_673,true,false,300051,,1383319500000,false,"Hibbert Street, Battersea"
BikePoints_674,true,false,300035,,,false,"Carnegie Street, King's Cross"
BikePoints_675,true,false,200126,,1383322320000,false,"Usk Road, Clapham Junction"
BikePoints_676,true,false,200207,,1383584400000,false,"Hartington Road, Stockwell"
BikePoints_677,true,false,200023,,1383476160000,false,"Heath Road, Battersea"
BikePoints_678,true,false,200170,,1383653580000,false,"Esmond Street, Putney"
BikePoints_679,true,false,200114,,1383661200000,false,"Orbel Street, Battersea"
BikePoints_680,true,false,200210,,1383657480000,false,"Westbridge Road, Battersea"
BikePoints_681,true,false,200043,,1383733440000,false,"Bishop's Avenue, Fulham"
BikePoints_682,true,false,200059,,1383738240000,false,"Crisp Road, Hammersmith"
BikePoints_683,true,false,200119,,1383750420000,false,"Dorothy Road, Clapham Junction"
BikePoints_684,true,false,200188,,1383823380000,false,"Neville Gill Close, Wandsworth"
BikePoints_685,true,false,200219,,1383827400000,false,"Osiers Road, Wandsworth"
BikePoints_686,true,false,200097,,1383835560000,false,"Beryl Road, Hammersmith"
BikePoints_688,true,false,200204,,1383915240000,false,"Northfields, Wandsworth"
BikePoints_689,true,false,200106,,1383918180000,false,"Spanish Road, Clapham Junction"
BikePoints_690,true,false,200199,,1383924660000,false,"Stanley Grove, Battersea"
BikePoints_691,true,false,200184,,1384763520000,false,"Erin Close, Walham Green"
BikePoints_692,true,false,200112,,1384166220000,false,"Cadogan Close, Victoria Park"
BikePoints_693,true,false,300019,,1384001160000,false,"Felsham Road, Putney"
BikePoints_694,true,false,300033,,1384004640000,false,"Putney Rail Station, Putney"
BikePoints_695,true,false,300031,,1384172820000,false,"Islington Green, Angel"
BikePoints_696,true,false,300018,,1384180020000,false,"Charing Cross Hospital, Hammersmith"
BikePoints_697,true,false,200129,,1384251120000,false,"Charlotte Terrace, Angel"
BikePoints_698,true,false,200121,,1384254300000,false,"Shoreditch Court, Haggerston"
BikePoints_699,true,false,200057,,1384256040000,false,"Belford House, Haggerston"
BikePoints_700,true,false,200201,,1384343280000,false,"Battersea Church Road, Battersea"
BikePoints_701,true,false,200077,,1384345080000,false,"Vicarage Crescent, Battersea"
BikePoints_702,true,false,200213,,1384345860000,false,"Durant Street, Bethnal Green"
BikePoints_703,true,false,200094,,1384357800000,false,"St. Bride Street, Holborn"
BikePoints_704,true,false,200063,,1384443480000,false,"Mexfield Road, East Putney"
BikePoints_705,true,true,300042,1539845700000,1384453020000,false,"Upper Richmond Road, Putney"
BikePoints_706,true,false,200193,,1384420920000,false,"Snowsfields, London Bridge"
BikePoints_707,true,false,200197,,1384435680000,false,"Barons Court Station, West Kensington"
BikePoints_708,true,false,200217,,1384530180000,false,"Disraeli Road, Putney"
BikePoints_709,true,false,200205,,1384510140000,false,"Montserrat Road , Putney"
BikePoints_710,true,false,300045,,1384520580000,false,"Albert Bridge Road, Battersea Park"
BikePoints_711,true,false,300028,,1384791540000,false,"Everington Street, Fulham"
BikePoints_712,true,false,300056,,1384797120000,false,"Mile End Stadium, Mile End"
BikePoints_713,true,false,200122,,1384774620000,false,"Hawley Crescent, Camden Town"
BikePoints_714,true,false,300055,,1384865400000,false,"Stewart's Road, Wandsworth Road"
BikePoints_715,true,false,300049,,1384868460000,false,"Aylward Street, Stepney"
BikePoints_717,true,false,300024,,1384952400000,false,"Dunston Road , Haggerston"
BikePoints_718,true,false,300040,,1384962840000,false,"Ada Street, Hackney Central"
BikePoints_719,true,false,300011,,1384968480000,false,"Victoria Park Road, Hackney Central"
BikePoints_720,true,false,300038,,1385025840000,false,"Star Road, West Kensington"
BikePoints_721,true,false,300039,,1385028480000,false,"Wendon Street, Old Ford"
BikePoints_722,true,false,300041,,1385028600000,false,"Finnis Street, Bethnal Green"
BikePoints_723,true,false,300053,,1385035380000,false,"Stephendale Road, Sands End"
BikePoints_724,true,false,300046,,1385125380000,false,"Alma Road, Wandsworth"
BikePoints_725,true,false,300050,,1563352500000,false,"Walworth Square, Walworth"
BikePoints_726,true,false,300047,,1385128740000,false,"Alfreda Street, Battersea Park"
BikePoints_727,true,false,300054,,1385132160000,false,"Chesilton Road, Fulham"
BikePoints_728,true,false,300044,,1385466780000,false,"Putney Bridge Road, East Putney"
BikePoints_729,true,false,300043,,1385391300000,false,"St. Peter's Terrace, Fulham"
BikePoints_730,true,false,300082,,1385132580000,false,"Bridge Avenue, Hammersmith"
BikePoints_86,true,false,003434,,1279027140000,false,"Sancroft Street, Vauxhall"
BikePoints_87,true,false,003438,,1279027680000,false,"Devonshire Square, Liverpool Street"
BikePoints_89,true,false,003439,,1279029360000,false,"Tavistock Place, Bloomsbury"
BikePoints_90,true,false,001038,,1279030020000,false,"Harrington Square 1, Camden Town"
BikePoints_93,true,false,002586,,1279037760000,false,"Cloudesley Road, Angel"
BikePoints_95,true,false,001065,,1279096560000,false,"Aldersgate Street, Barbican"
BikePoints_96,true,false,001047,,1279096980000,false,"Falkirk Street, Hoxton"
BikePoints_97,true,false,003447,,1279097580000,false,"Gloucester Road (North), Kensington"
BikePoints_101,true,false,000999,,1279102680000,false,"Queen Street 1, Bank"
BikePoints_102,true,false,001045,,1279102860000,false,"Jewry Street, Aldgate"
BikePoints_103,true,false,003441,,1279103520000,false,"Vicarage Gate, Kensington"
BikePoints_104,true,false,000991,,1279103760000,false,"Crosswall, Tower"
BikePoints_105,true,false,001041,,1279105320000,false,"Westbourne Grove, Bayswater"
BikePoints_106,true,false,001042,,1279106880000,false,"Woodstock Street, Mayfair"
BikePoints_107,true,false,001049,,1279107480000,false,"Finsbury Leisure Centre, St. Luke's"
BikePoints_108,true,false,003429,,1279107720000,false,"Abbey Orchard Street, Westminster"
BikePoints_109,true,false,001052,,1279108320000,false,"Soho Square , Soho"
BikePoints_110,true,false,001055,,1279108920000,false,"Wellington Road, St. John's Wood"
BikePoints_111,true,false,001037,,1279109160000,false,"Park Lane , Hyde Park"
BikePoints_113,true,false,003435,,1279116600000,false,"Gloucester Road (Central), South Kensington"
BikePoints_114,true,false,001050,,1279119900000,false,"Park Road (Baker Street), The Regent's Park"
BikePoints_116,true,false,000995,,1279122360000,false,"Little Argyll Street, West End"
BikePoints_118,true,false,003457,,1279124520000,false,"Rochester Row, Westminster"
BikePoints_120,true,false,001044,,1279187040000,false,"The Guildhall, Guildhall"
BikePoints_125,true,false,000996,,1279192200000,false,"Borough High Street, The Borough"
BikePoints_126,true,false,001043,,1279193340000,false,"Museum of London, Barbican"
BikePoints_128,true,false,001116,,1279194060000,false,"Emperor's Gate, South Kensington"
BikePoints_129,true,false,003451,,1279198500000,false,"Golden Square, Soho"
BikePoints_130,true,false,001071,,1279198800000,false,"Tower Gardens , Tower"
BikePoints_132,true,false,000973,,1279199520000,false,"Bethnal Green Road, Shoreditch"
BikePoints_133,true,false,003436,,1279200240000,false,"Derry Street, Kensington"
BikePoints_134,true,false,001039,,1279200900000,false,"Wapping High Street, Wapping"
BikePoints_135,true,false,001053,,1279201080000,false,"Clerkenwell Green, Clerkenwell"
