common_name,terminal_name,installed,install_date,locked,place_id,temporary,removal_date
"Gauden Road, Clapham",300207,true,1461753540000,false,BikePoints_808,false,
"Lincoln's Inn Fields, Holborn",300240,true,1467640800000,false,BikePoints_809,false,
"Tate Modern, Bankside",300237,true,1464943200000,false,BikePoints_810,false,
"Westferry Circus, Canary Wharf",300228,true,1469538960000,false,BikePoints_811,false,
"Here East North, Queen Elizabeth Olympic Park",300217,true,1469005200000,false,BikePoints_812,false,
"New Spring Gardens Walk, Vauxhall",300224,true,1467627120000,false,BikePoints_813,false,
"Clapham Road, Lingham Street, Stockwell",300245,true,1464870060000,false,BikePoints_814,false,
"Lambeth Palace Road, Waterloo",300231,true,1462357680000,false,BikePoints_815,false,
"Here East South, Queen Elizabeth Olympic Park",300219,true,1489065360000,false,BikePoints_816,false,
"Riverlight South, Nine Elms",300232,true,1464949140000,false,BikePoints_817,false,
"Westminster Pier, Westminster",300249,true,1563958740000,false,BikePoints_818,false,
"Belvedere Road 2, South Bank",300246,true,1476360120000,false,BikePoints_819,false,
"Victory Place, Walworth",300239,true,1481807940000,false,BikePoints_820,false,
"Battersea Power Station, Battersea Park",300221,true,1487335920000,false,BikePoints_821,false,
"Allington Street, Victoria",300242,true,1500554880000,false,BikePoints_826,false,
"Cranmer Road, Stockwell",300247,true,1517788800000,false,BikePoints_827,false,
"Normandy Road, Stockwell",300225,true,1517788800000,false,BikePoints_828,false,
"Wynne Road, Stockwell",300230,true,1517443200000,false,BikePoints_829,false,
"Sidney Road, Stockwell",300229,true,1517961600000,false,BikePoints_830,false,
"St John's Crescent, Brixton",300215,true,1517961600000,false,BikePoints_831,false,
"Ferndale Road, Brixton",200240,true,1517961600000,false,BikePoints_832,false,
"Saltoun Road, Brixton",300206,true,1517875200000,false,BikePoints_833,false,
"Gas Holders, Battersea Park",300216,true,1529449200000,false,BikePoints_834,false,
"Farringdon Street, Holborn",300220,true,,false,BikePoints_835,false,
"York Way, Kings Cross",300235,true,,false,BikePoints_836,false,
"Fore Street Avenue, Guildhall",300222,true,1539254700000,false,BikePoints_838,false,
"Sea Containers, South Bank",200144,true,1544611140000,false,BikePoints_839,false,
"George Row, Bermondsey",002679,true,1599752640000,false,BikePoints_840,false,
"Tower Wharf, Bermondsey",002667,true,,false,BikePoints_841,false,
"Canada Water Station, Rotherhithe",300252,true,1608298140000,false,BikePoints_844,false,
"Bermondsey Station, Bermondsey",300253,true,1608303660000,false,BikePoints_845,false,
"River Street , Clerkenwell",001023,true,1278947280000,false,BikePoints_1,false,
"Phillimore Gardens, Kensington",001018,true,1278585780000,false,BikePoints_2,false,
"Christopher Street, Liverpool Street",001012,true,1278240360000,false,BikePoints_3,false,
"St. Chad's Street, King's Cross",001013,true,1278241080000,false,BikePoints_4,false,
"Sedding Street, Sloane Square",003420,true,1278241440000,false,BikePoints_5,false,
"Broadcasting House, Marylebone",003424,true,1278241680000,false,BikePoints_6,false,
"Charlbert Street, St. John's Wood",003422,true,1278241800000,false,BikePoints_7,false,
"Maida Vale, Maida Vale",003423,true,1540984560000,false,BikePoints_8,false,
"New Globe Walk, Bankside",001015,true,1278242340000,false,BikePoints_9,false,
"Park Street, Bankside",001024,true,1278242460000,false,BikePoints_10,false,
"Brunswick Square, Bloomsbury",001022,true,1278340440000,false,BikePoints_11,false,
"Malet Street, Bloomsbury",000980,true,1278340620000,false,BikePoints_12,false,
"Scala Street, Fitzrovia",000970,true,1278340800000,false,BikePoints_13,false,
"Belgrove Street , King's Cross",001011,true,1278341040000,false,BikePoints_14,false,
"Great Russell Street, Bloomsbury",000988,true,1278341220000,false,BikePoints_15,false,
"Cartwright Gardens , Bloomsbury",001010,true,1278341400000,false,BikePoints_16,false,
"Hatton Wall, Holborn",001008,true,1278423720000,false,BikePoints_17,false,
"Drury Lane, Covent Garden",001007,true,1278426300000,false,BikePoints_18,false,
"Taviton Street, Bloomsbury",001009,true,1278426720000,false,BikePoints_19,false,
"Drummond Street , Euston",000993,true,1544659200000,false,BikePoints_20,false,
"Lansdowne Drive, Hackney Central",003426,true,1278427740000,false,BikePoints_21,false,
"Northington Street , Holborn",003425,true,1278428880000,false,BikePoints_22,false,
"Red Lion Square, Holborn",003421,true,1278429300000,false,BikePoints_23,false,
"British Museum, Bloomsbury",000981,true,1278430140000,false,BikePoints_24,false,
"Doric Way , Somers Town",001004,true,1278433200000,false,BikePoints_25,false,
"Ampton Street , Clerkenwell",001019,true,1278434160000,false,BikePoints_26,false,
"Bouverie Street, Temple",001021,true,1278500160000,false,BikePoints_27,false,
"Bolsover Street, Fitzrovia",001025,true,1278500460000,false,BikePoints_28,false,
"Hereford Road, Bayswater",001016,true,1278501180000,false,BikePoints_29,false,
"Windsor Terrace, Hoxton",001029,true,1278501420000,false,BikePoints_30,false,
"Fanshaw Street, Hoxton",003427,true,1278501600000,false,BikePoints_31,false,
"Leonard Circus , Shoreditch",001020,true,1278506700000,false,BikePoints_32,false,
"Central House, Aldgate",003430,true,1278506940000,false,BikePoints_33,false,
"Pancras Road, King's Cross",003428,true,1278507060000,false,BikePoints_34,false,
"De Vere Gardens, Kensington",003446,true,1278519900000,false,BikePoints_36,false,
"Penywern Road, Earl's Court",003444,true,1278520020000,false,BikePoints_37,false,
"Abingdon Villas, Kensington",003442,true,1278584880000,false,BikePoints_38,false,
"Shoreditch High Street, Shoreditch",003445,true,1278601740000,false,BikePoints_39,false,
"Commercial Street, Shoreditch",001083,true,1278601980000,false,BikePoints_40,false,
"Pindar Street, Liverpool Street",001084,true,1278602280000,false,BikePoints_41,false,
"Wenlock Road , Hoxton",000979,true,1278602700000,false,BikePoints_42,false,
