temporary,install_date,terminal_name,locked,common_name,installed,place_id,removal_date
false,1385125380000,300046,false,"Alma Road, Wandsworth",true,BikePoints_724,
false,1563352500000,300050,false,"Walworth Square, Walworth",true,BikePoints_725,
false,1385128740000,300047,false,"Alfreda Street, Battersea Park",true,BikePoints_726,
false,1385132160000,300054,false,"Chesilton Road, Fulham",true,BikePoints_727,
false,1385466780000,300044,false,"Putney Bridge Road, East Putney",true,BikePoints_728,
false,1385391300000,300043,false,"St. Peter's Terrace, Fulham",true,BikePoints_729,
false,1385132580000,300082,false,"Bridge Avenue, Hammersmith",true,BikePoints_730,
false,1385394720000,300095,false,"Michael Road, Walham Green",true,BikePoints_731,
false,1385458020000,300083,false,"Duke Street Hill, London Bridge",true,BikePoints_732,
false,1385460840000,300093,false,"Park Lane, Mayfair",true,BikePoints_733,
false,1385464500000,300094,false,"Plough Terrace, Clapham Junction",true,BikePoints_734,
false,1385383080000,200120,false,"Grant Road East, Clapham Junction",true,BikePoints_735,
false,1385472900000,300088,false,"Queensdale Road, Shepherd's Bush",true,BikePoints_736,
false,1385554620000,300086,false,"Fulham Broadway, Walham Green",true,BikePoints_737,
false,1385563380000,300087,false,"Imperial Road, Sands End",true,BikePoints_738,
false,1385631000000,300091,false,"Hortensia Road, West Brompton",true,BikePoints_739,
false,1385635440000,300084,false,"Sirdar Road, Avondale",true,BikePoints_740,
false,1385640120000,300085,false,"Freston Road, Avondale",true,BikePoints_741,
false,1385649540000,300090,false,"Blenheim Crescent, Ladbroke Grove",true,BikePoints_742,
false,1385723700000,300078,false,"Oxford Road, Putney",true,BikePoints_743,
false,1385729760000,300077,false,"Ingrave Street, Clapham Junction",true,BikePoints_744,
false,1385740020000,300075,false,"Upcerne Road, West Chelsea",true,BikePoints_745,
false,1385985720000,300076,false,"Lots Road, West Chelsea",true,BikePoints_746,
false,1385997240000,300089,false,"Ormonde Gate, Chelsea",true,BikePoints_747,
false,1386159900000,300092,false,"Hertford Road, De Beauvoir Town",true,BikePoints_748,
false,1386172440000,300081,false,"Haggerston Road, Haggerston",true,BikePoints_749,
false,1386240360000,300080,false,"Culvert Road, Battersea",true,BikePoints_750,
false,1386250800000,300074,false,"Newton Street, Covent Garden",true,BikePoints_751,
false,1650364320000,300079,false,"London Street, Paddington",true,BikePoints_752,
false,1389003540000,300067,false,"Grenfell Road, Avondale",true,BikePoints_754,
false,1389008580000,300058,false,"The Vale, Chelsea",true,BikePoints_755,
false,1390223040000,300073,false,"Prince of Wales Drive, Battersea Park",true,BikePoints_756,
false,1389094260000,300069,false,"Harcourt Terrace, West Brompton",true,BikePoints_757,
false,1389178020000,300057,false,"Westbourne Park Road, Portobello",true,BikePoints_758,
false,1389627480000,300072,false,"Broadley Terrace, Marylebone",true,BikePoints_759,
false,1389781800000,300068,false,"Humbolt Road, Fulham",true,BikePoints_761,
false,1392039000000,200202,false,"Storey's Gate, Westminster",true,BikePoints_762,
false,1392043020000,300027,false,"Mile End Park Leisure Centre, Mile End",true,BikePoints_763,
false,1392633480000,200185,false,"St. John's Road, Clapham Junction",true,BikePoints_764,
false,1392986940000,300064,false,"Ranelagh Gardens, Fulham",true,BikePoints_765,
false,1392894840000,200079,false,"Ram Street, Wandsworth",true,BikePoints_766,
false,1393406280000,200177,false,"Santos Road, Wandsworth",true,BikePoints_767,
false,1393494060000,300065,false,"Clapham Common North Side, Clapham Common",true,BikePoints_768,
false,1393939560000,300001,false,"Sandilands Road, Walham Green",true,BikePoints_769,
false,1394099280000,300097,false,"Gwendwr Road, West Kensington",true,BikePoints_770,
false,1394018400000,300007,false,"Rifle Place, Avondale",true,BikePoints_771,
false,1396442100000,300015,false,"Binfield Road, Stockwell",true,BikePoints_772,
false,1396262520000,300096,false,"Tallis Street, Temple",true,BikePoints_773,
false,1396265880000,300098,false,"Hurlingham Park, Parsons Green",true,BikePoints_774,
false,1396270320000,300101,false,"Little Brook Green, Brook Green",true,BikePoints_775,
false,1396273320000,300099,false,"Abyssinia Close, Clapham Junction",true,BikePoints_776,
false,1406282940000,300100,false,"Limburg Road, Clapham Junction",true,BikePoints_777,
false,1435313700000,200072,false,"Houndsditch, Aldgate",true,BikePoints_779,
false,1439455200000,300070,false,"Imperial Wharf Station, Sands End",true,BikePoints_780,
false,1446485340000,300032,false,"Victoria & Albert Museum, South Kensington",true,BikePoints_781,
false,1279026060000,000994,false,"Tanner Street, Bermondsey",true,BikePoints_85,
false,1279027140000,003434,false,"Sancroft Street, Vauxhall",true,BikePoints_86,
false,1279027680000,003438,false,"Devonshire Square, Liverpool Street",true,BikePoints_87,
false,1279028280000,001006,false,"Bayley Street , Bloomsbury",true,BikePoints_88,
false,1279029360000,003439,false,"Tavistock Place, Bloomsbury",true,BikePoints_89,
false,1279030020000,001038,false,"Harrington Square 1, Camden Town",true,BikePoints_90,
false,1279036740000,001076,false,"Walnut Tree Walk, Vauxhall",true,BikePoints_91,
false,1279037040000,001082,false,"Borough Road, Elephant & Castle",true,BikePoints_92,
false,1279037760000,002586,false,"Cloudesley Road, Angel",true,BikePoints_93,
false,1279038420000,001070,false,"Bricklayers Arms, Borough",true,BikePoints_94,
false,1279096560000,001065,false,"Aldersgate Street, Barbican",true,BikePoints_95,
false,1279096980000,001047,false,"Falkirk Street, Hoxton",true,BikePoints_96,
false,1279097580000,003447,false,"Gloucester Road (North), Kensington",true,BikePoints_97,
false,1279099080000,000972,false,"Hampstead Road, Euston",true,BikePoints_98,
