installed,temporary,place_id,terminal_name,common_name,removal_date,locked,install_date
true,false,BikePoints_688,200204,"Northfields, Wandsworth",,false,1383915240000
true,false,BikePoints_689,200106,"Spanish Road, Clapham Junction",,false,1383918180000
true,false,BikePoints_690,200199,"Stanley Grove, Battersea",,false,1383924660000
true,false,BikePoints_691,200184,"Erin Close, Walham Green",,false,1384763520000
true,false,BikePoints_692,200112,"Cadogan Close, Victoria Park",,false,1384166220000
true,false,BikePoints_693,300019,"Felsham Road, Putney",,false,1384001160000
true,false,BikePoints_694,300033,"Putney Rail Station, Putney",,false,1384004640000
true,false,BikePoints_695,300031,"Islington Green, Angel",,false,1384172820000
true,false,BikePoints_696,300018,"Charing Cross Hospital, Hammersmith",,false,1384180020000
true,false,BikePoints_697,200129,"Charlotte Terrace, Angel",,false,1384251120000
true,false,BikePoints_1,001023,"River Street , Clerkenwell",,false,1278947280000
true,false,BikePoints_2,001018,"Phillimore Gardens, Kensington",,false,1278585780000
true,false,BikePoints_3,001012,"Christopher Street, Liverpool Street",,false,1278240360000
true,false,BikePoints_4,001013,"St. Chad's Street, King's Cross",,false,1278241080000
true,false,BikePoints_5,003420,"Sedding Street, Sloane Square",,false,1278241440000
true,false,BikePoints_6,003424,"Broadcasting House, Marylebone",,false,1278241680000
true,false,BikePoints_7,003422,"Charlbert Street, St. John's Wood",,false,1278241800000
true,false,BikePoints_8,003423,"Maida Vale, Maida Vale",,false,1540984560000
true,false,BikePoints_9,001015,"New Globe Walk, Bankside",,false,1278242340000
true,false,BikePoints_10,001024,"Park Street, Bankside",,false,1278242460000
true,false,BikePoints_11,001022,"Brunswick Square, Bloomsbury",,false,1278340440000
true,false,BikePoints_12,000980,"Malet Street, Bloomsbury",,false,1278340620000
true,false,BikePoints_13,000970,"Scala Street, Fitzrovia",,false,1278340800000
true,false,BikePoints_14,001011,"Belgrove Street , King's Cross",,false,1278341040000
true,false,BikePoints_15,000988,"Great Russell Street, Bloomsbury",,false,1278341220000
true,false,BikePoints_16,001010,"Cartwright Gardens , Bloomsbury",,false,1278341400000
true,false,BikePoints_17,001008,"Hatton Wall, Holborn",,false,1278423720000
true,false,BikePoints_18,001007,"Drury Lane, Covent Garden",,false,1278426300000
true,false,BikePoints_19,001009,"Taviton Street, Bloomsbury",,false,1278426720000
true,false,BikePoints_20,000993,"Drummond Street , Euston",,false,1544659200000
true,false,BikePoints_21,003426,"Lansdowne Drive, Hackney Central",,false,1278427740000
true,false,BikePoints_22,003425,"Northington Street , Holborn",,false,1278428880000
true,false,BikePoints_23,003421,"Red Lion Square, Holborn",,false,1278429300000
true,false,BikePoints_24,000981,"British Museum, Bloomsbury",,false,1278430140000
true,false,BikePoints_25,001004,"Doric Way , Somers Town",,false,1278433200000
true,false,BikePoints_26,001019,"Ampton Street , Clerkenwell",,false,1278434160000
true,false,BikePoints_27,001021,"Bouverie Street, Temple",,false,1278500160000
true,false,BikePoints_28,001025,"Bolsover Street, Fitzrovia",,false,1278500460000
true,false,BikePoints_29,001016,"Hereford Road, Bayswater",,false,1278501180000
true,false,BikePoints_30,001029,"Windsor Terrace, Hoxton",,false,1278501420000
true,false,BikePoints_31,003427,"Fanshaw Street, Hoxton",,false,1278501600000
true,false,BikePoints_32,001020,"Leonard Circus , Shoreditch",,false,1278506700000
true,false,BikePoints_33,003430,"Central House, Aldgate",,false,1278506940000
true,false,BikePoints_34,003428,"Pancras Road, King's Cross",,false,1278507060000
true,false,BikePoints_36,003446,"De Vere Gardens, Kensington",,false,1278519900000
true,false,BikePoints_37,003444,"Penywern Road, Earl's Court",,false,1278520020000
true,false,BikePoints_38,003442,"Abingdon Villas, Kensington",,false,1278584880000
true,false,BikePoints_39,003445,"Shoreditch High Street, Shoreditch",,false,1278601740000
true,false,BikePoints_40,001083,"Commercial Street, Shoreditch",,false,1278601980000
true,false,BikePoints_41,001084,"Pindar Street, Liverpool Street",,false,1278602280000
true,false,BikePoints_42,000979,"Wenlock Road , Hoxton",,false,1278602700000
true,false,BikePoints_43,001036,"Crawford Street, Marylebone",,false,1278687720000
true,false,BikePoints_44,001034,"Bruton Street, Mayfair",,false,1278687900000
true,false,BikePoints_45,001035,"Boston Place, Marylebone",,false,1278691320000
true,false,BikePoints_46,001031,"Nesham Street, Wapping",,false,1278691800000
true,false,BikePoints_47,001027,"Warwick Avenue Station, Maida Vale",,false,1278749160000
true,false,BikePoints_48,000971,"Godliman Street, St. Paul's",,false,1278749460000
true,false,BikePoints_49,003437,"Curzon Street, Mayfair",,false,1278749940000
true,false,BikePoints_50,001054,"East Road, Hoxton",,false,1278750240000
true,false,BikePoints_51,000986,"Finsbury Library , Finsbury",,false,1278750540000
true,false,BikePoints_52,001026,"Roscoe Street, St. Luke's",,false,1278750840000
true,false,BikePoints_53,003431,"Grafton Street, Mayfair",,false,1278752580000
true,false,BikePoints_54,000967,"Golden Lane, Barbican",,false,1278766740000
true,false,BikePoints_55,000984,"Finsbury Circus, Liverpool Street",,false,1278766980000
true,false,BikePoints_56,001033,"Paddington Street, Marylebone",,false,1278767220000
true,false,BikePoints_57,000974,"Guilford Street , Bloomsbury",,false,1278767460000
true,false,BikePoints_58,001032,"New Inn Yard, Shoreditch",,false,1278767700000
true,false,BikePoints_60,001030,"Lisson Grove, St. John's Wood",,false,1278769140000
true,false,BikePoints_61,001017,"Great Dover Street, The Borough",,false,1278773820000
true,false,BikePoints_62,000990,"Cotton Garden Estate, Kennington",,false,1278773940000
true,false,BikePoints_63,000989,"Murray Grove , Hoxton",,false,1278774120000
true,false,BikePoints_64,001028,"William IV Street, Strand",,false,1278774300000
true,false,BikePoints_66,000982,"Holborn Circus, Holborn",,false,1278845280000
true,false,BikePoints_67,000985,"Hatton Garden, Holborn",,false,1278847440000
