removal_date,locked,install_date,place_id,temporary,common_name,installed,terminal_name
,false,1278506940000,BikePoints_33,false,"Central House, Aldgate",true,003430
,false,1278507060000,BikePoints_34,false,"Pancras Road, King's Cross",true,003428
,false,1278519900000,BikePoints_36,false,"De Vere Gardens, Kensington",true,003446
,false,1278520020000,BikePoints_37,false,"Penywern Road, Earl's Court",true,003444
,false,1278584880000,BikePoints_38,false,"Abingdon Villas, Kensington",true,003442
,false,1278601740000,BikePoints_39,false,"Shoreditch High Street, Shoreditch",true,003445
,false,1278601980000,BikePoints_40,false,"Commercial Street, Shoreditch",true,001083
,false,1278602280000,BikePoints_41,false,"Pindar Street, Liverpool Street",true,001084
,false,1278602700000,BikePoints_42,false,"Wenlock Road , Hoxton",true,000979
,false,1278687720000,BikePoints_43,false,"Crawford Street, Marylebone",true,001036
,false,1278687900000,BikePoints_44,false,"Bruton Street, Mayfair",true,001034
,false,1278691320000,BikePoints_45,false,"Boston Place, Marylebone",true,001035
,false,1278691800000,BikePoints_46,false,"Nesham Street, Wapping",true,001031
,false,1278749160000,BikePoints_47,false,"Warwick Avenue Station, Maida Vale",true,001027
,false,1278749460000,BikePoints_48,false,"Godliman Street, St. Paul's",true,000971
,false,1278749940000,BikePoints_49,false,"Curzon Street, Mayfair",true,003437
,false,1278750240000,BikePoints_50,false,"East Road, Hoxton",true,001054
,false,1278750540000,BikePoints_51,false,"Finsbury Library , Finsbury",true,000986
,false,1278750840000,BikePoints_52,false,"Roscoe Street, St. Luke's",true,001026
,false,1278752580000,BikePoints_53,false,"Grafton Street, Mayfair",true,003431
,false,1278766740000,BikePoints_54,false,"Golden Lane, Barbican",true,000967
,false,1278766980000,BikePoints_55,false,"Finsbury Circus, Liverpool Street",true,000984
,false,1278767220000,BikePoints_56,false,"Paddington Street, Marylebone",true,001033
,false,1278767460000,BikePoints_57,false,"Guilford Street , Bloomsbury",true,000974
,false,1278767700000,BikePoints_58,false,"New Inn Yard, Shoreditch",true,001032
,false,1278769140000,BikePoints_60,false,"Lisson Grove, St. John's Wood",true,001030
,false,1278773820000,BikePoints_61,false,"Great Dover Street, The Borough",true,001017
,false,1278773940000,BikePoints_62,false,"Cotton Garden Estate, Kennington",true,000990
,false,1278774120000,BikePoints_63,false,"Murray Grove , Hoxton",true,000989
,false,1278774300000,BikePoints_64,false,"William IV Street, Strand",true,001028
,false,1278845280000,BikePoints_66,false,"Holborn Circus, Holborn",true,000982
,false,1278847440000,BikePoints_67,false,"Hatton Garden, Holborn",true,000985
,false,1278857040000,BikePoints_68,false,"Theobald's Road , Holborn",true,000975
,false,1278861540000,BikePoints_69,false,"Euston Road, Euston",true,000983
,false,1278863340000,BikePoints_70,false,"Calshot Street , King's Cross",true,001066
,false,1278924900000,BikePoints_71,false,"Newgate Street , St. Paul's",true,001074
,false,1276948860000,BikePoints_72,false,"Farringdon Lane, Clerkenwell",true,003432
,false,1278941040000,BikePoints_73,false,"Old Street Station, St. Luke's",true,001064
,false,1278941160000,BikePoints_74,false,"Vauxhall Cross, Vauxhall",true,001000
,false,1278945180000,BikePoints_75,false,"Torrens Street, Angel",true,001060
,false,1278946560000,BikePoints_76,false,"Longford Street, The Regent's Park",true,000976
,false,1278946860000,BikePoints_77,false,"Russell Square Station, Bloomsbury",true,000978
,false,1278948480000,BikePoints_78,false,"Sadlers Sports Centre, Finsbury",true,003433
,false,1509018360000,BikePoints_79,false,"Arundel Street, Temple",true,003455
,false,1278952440000,BikePoints_80,false,"Webber Street , Southwark",true,003448
,false,1279012980000,BikePoints_81,false,"Great Titchfield Street, Fitzrovia",true,003450
,false,1279015680000,BikePoints_82,false,"Chancery Lane, Holborn",true,003453
,false,1279015800000,BikePoints_83,false,"Panton Street, West End",true,003452
,false,1279020240000,BikePoints_84,false,"Breams Buildings, Holborn",true,003449
,false,1280158740000,BikePoints_338,false,"Wellington Street , Strand",true,001202
,false,1280160600000,BikePoints_339,false,"Risinghill Street, Angel",true,001127
,false,1280248620000,BikePoints_340,false,"Bank of England Museum, Bank",true,001201
,false,1280222160000,BikePoints_341,false,"Craven Street, Strand",true,001160
,false,1280224260000,BikePoints_343,false,"London Zoo Car Park, The Regent's Park",true,001188
