install_date,locked,installed,common_name,terminal_name,removal_date,temporary,place_id
1278601740000,false,true,"Shoreditch High Street, Shoreditch",003445,,false,BikePoints_39
1278601980000,false,true,"Commercial Street, Shoreditch",001083,,false,BikePoints_40
1278602280000,false,true,"Pindar Street, Liverpool Street",001084,,false,BikePoints_41
1278602700000,false,true,"Wenlock Road , Hoxton",000979,,false,BikePoints_42
1278687720000,false,true,"Crawford Street, Marylebone",001036,,false,BikePoints_43
1278687900000,false,true,"Bruton Street, Mayfair",001034,,false,BikePoints_44
1278691320000,false,true,"Boston Place, Marylebone",001035,,false,BikePoints_45
1278691800000,false,true,"Nesham Street, Wapping",001031,,false,BikePoints_46
1278749160000,false,true,"Warwick Avenue Station, Maida Vale",001027,,false,BikePoints_47
1278749460000,false,true,"Godliman Street, St. Paul's",000971,,false,BikePoints_48
1278749940000,false,true,"Curzon Street, Mayfair",003437,,false,BikePoints_49
1278750240000,false,true,"East Road, Hoxton",001054,,false,BikePoints_50
1278750540000,false,true,"Finsbury Library , Finsbury",000986,,false,BikePoints_51
1278750840000,false,true,"Roscoe Street, St. Luke's",001026,,false,BikePoints_52
1278752580000,false,true,"Grafton Street, Mayfair",003431,,false,BikePoints_53
1278766740000,false,true,"Golden Lane, Barbican",000967,,false,BikePoints_54
1278766980000,false,true,"Finsbury Circus, Liverpool Street",000984,,false,BikePoints_55
1278767220000,false,true,"Paddington Street, Marylebone",001033,,false,BikePoints_56
1278767460000,false,true,"Guilford Street , Bloomsbury",000974,,false,BikePoints_57
1278767700000,false,true,"New Inn Yard, Shoreditch",001032,,false,BikePoints_58
1278769140000,false,true,"Lisson Grove, St. John's Wood",001030,,false,BikePoints_60
1278773820000,false,true,"Great Dover Street, The Borough",001017,,false,BikePoints_61
1278773940000,false,true,"Cotton Garden Estate, Kennington",000990,,false,BikePoints_62
1278774120000,false,true,"Murray Grove , Hoxton",000989,,false,BikePoints_63
1278774300000,false,true,"William IV Street, Strand",001028,,false,BikePoints_64
1278845280000,false,true,"Holborn Circus, Holborn",000982,,false,BikePoints_66
1278847440000,false,true,"Hatton Garden, Holborn",000985,,false,BikePoints_67
1278857040000,false,true,"Theobald's Road , Holborn",000975,,false,BikePoints_68
1278861540000,false,true,"Euston Road, Euston",000983,,false,BikePoints_69
1278863340000,false,true,"Calshot Street , King's Cross",001066,,false,BikePoints_70
1278924900000,false,true,"Newgate Street , St. Paul's",001074,,false,BikePoints_71
1276948860000,false,true,"Farringdon Lane, Clerkenwell",003432,,false,BikePoints_72
1278941040000,false,true,"Old Street Station, St. Luke's",001064,,false,BikePoints_73
1278941160000,false,true,"Vauxhall Cross, Vauxhall",001000,,false,BikePoints_74
1278945180000,false,true,"Torrens Street, Angel",001060,,false,BikePoints_75
1278946560000,false,true,"Longford Street, The Regent's Park",000976,,false,BikePoints_76
1278946860000,false,true,"Russell Square Station, Bloomsbury",000978,,false,BikePoints_77
1278948480000,false,true,"Sadlers Sports Centre, Finsbury",003433,,false,BikePoints_78
1509018360000,false,true,"Arundel Street, Temple",003455,,false,BikePoints_79
1278952440000,false,true,"Webber Street , Southwark",003448,,false,BikePoints_80
1279012980000,false,true,"Great Titchfield Street, Fitzrovia",003450,,false,BikePoints_81
1279015680000,false,true,"Chancery Lane, Holborn",003453,,false,BikePoints_82
1279015800000,false,true,"Panton Street, West End",003452,,false,BikePoints_83
1280158740000,false,true,"Wellington Street , Strand",001202,,false,BikePoints_338
1280160600000,false,true,"Risinghill Street, Angel",001127,,false,BikePoints_339
1280248620000,false,true,"Bank of England Museum, Bank",001201,,false,BikePoints_340
1280222160000,false,true,"Craven Street, Strand",001160,,false,BikePoints_341
1280224260000,false,true,"London Zoo Car Park, The Regent's Park",001188,,false,BikePoints_343
1280226120000,false,true,"Goswell Road (City Uni), Finsbury",001222,,false,BikePoints_344
1280229720000,false,true,"Flood Street, Chelsea",001218,,false,BikePoints_345
1283762460000,false,true,"Lower Marsh, Waterloo",001219,,false,BikePoints_347
1284540540000,false,true,"Grosvenor Square, Mayfair",010627,,false,BikePoints_348
1284543120000,false,true,"St. George Street, Mayfair",001221,,false,BikePoints_349
1285756260000,false,true,"Queen's Gate, Kensington Gardens",001231,,false,BikePoints_350
1286790480000,false,true,"Macclesfield Rd, St Lukes",001226,,false,BikePoints_351
1286796360000,false,true,"Vauxhall Street, Vauxhall",001224,,false,BikePoints_352
1287652080000,false,true,"Greycoat Street , Westminster",010623,,false,BikePoints_353
,false,true,"Northumberland Avenue, Strand",001097,,false,BikePoints_354
1287752460000,false,true,"Clapham Common Station, Clapham Common",002694,,false,BikePoints_355
1288009080000,false,true,"South Kensington Station, South Kensington",002685,,false,BikePoints_356
1288092420000,false,true,"Howland Street, Fitzrovia",002691,,false,BikePoints_357
1290079860000,false,true,"High Holborn , Covent Garden",001229,,false,BikePoints_358
1288950960000,false,true,"Butler Place, Westminster",002662,,false,BikePoints_359
1288958160000,false,true,"Howick Place, Westminster",002666,,false,BikePoints_360
1291902600000,false,true,"Waterloo Station 2, Waterloo",002692,,false,BikePoints_361
1290080220000,false,true,"Royal College Street, Camden Town",002686,,false,BikePoints_362
1289911800000,false,true,"Lord's, St. John's Wood",002665,,false,BikePoints_363
1290080640000,false,true,"Store Street, Bloomsbury",003507,,false,BikePoints_364
1290603600000,false,true,"City Road, Angel",002690,,false,BikePoints_365
1290686880000,false,true,"Millennium Hotel, Mayfair",001230,,false,BikePoints_366
,false,true,"Harrowby Street, Marylebone",002680,,false,BikePoints_367
1291201680000,false,true,"Harriet Street, Knightsbridge",002681,,false,BikePoints_368
1291647300000,false,true,"Paddington Green, Paddington",002670,,false,BikePoints_370
1291712820000,false,true,"King Edward Walk, Waterloo",002639,,false,BikePoints_371
1291713000000,false,true,"Sardinia Street, Holborn",002649,,false,BikePoints_372
1295428320000,false,true,"Prince Consort Road, Knightsbridge",003499,,false,BikePoints_373
1291725720000,false,true,"Waterloo Station 1, Waterloo",002696,,false,BikePoints_374
1291805820000,false,true,"Kensington Town Hall, Kensington",010632,,false,BikePoints_375
1294660980000,false,true,"Millbank Tower, Pimlico",002683,,false,BikePoints_376
1295265420000,false,true,"Waterloo Bridge, South Bank",002648,,false,BikePoints_377
1296121500000,false,true,"Natural History Museum, South Kensington",002677,,false,BikePoints_378
1296121680000,false,true,"Turquoise Island, Notting Hill",002682,,false,BikePoints_379
1296125400000,false,true,"Stanhope Gate, Mayfair",003506,,false,BikePoints_380
1296203760000,false,true,"Charlotte Street, Fitzrovia",002669,,false,BikePoints_381
1297159320000,false,true,"Farm Street, Mayfair",002678,,false,BikePoints_382
1296649200000,false,true,"Frith Street, Soho",002660,,false,BikePoints_383
1296731880000,false,true,"Marloes Road, Kensington",003505,,false,BikePoints_384
1296732540000,false,true,"Moor Street, Soho",003504,,false,BikePoints_386
1297077540000,false,true,"Fire Brigade Pier, Vauxhall",002703,,false,BikePoints_387
1297182180000,false,true,"Southampton Street, Strand",001228,,false,BikePoints_388
1297347960000,false,true,"Upper Grosvenor Street, Mayfair",010621,,false,BikePoints_389
1297764360000,false,true,"Buxton Street 1, Shoreditch",001223,,false,BikePoints_390
1297956480000,false,true,"Clifford Street, Mayfair",002688,1539846000000,false,BikePoints_391
1297958700000,false,true,"Imperial College, Knightsbridge",001220,,false,BikePoints_392
1298545440000,false,true,"Snow Hill, Farringdon",002699,,false,BikePoints_393
,false,true,"Aberdeen Place, St. John's Wood",002698,,false,BikePoints_394
1298908800000,false,true,"Cadogan Gardens, Chelsea",002695,,false,BikePoints_395
1299075120000,false,true,"Shouldham Street, Marylebone",002693,,false,BikePoints_396
1299075900000,false,true,"Devonshire Terrace, Bayswater",001227,,false,BikePoints_397
1299076440000,false,true,"Holland Park, Kensington",010631,,false,BikePoints_398
