locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,300091,,true,false,BikePoints_739,"Hortensia Road, West Brompton",1385631000000
false,300084,,true,false,BikePoints_740,"Sirdar Road, Avondale",1385635440000
false,300085,,true,false,BikePoints_741,"Freston Road, Avondale",1385640120000
false,300090,,true,false,BikePoints_742,"Blenheim Crescent, Ladbroke Grove",1385649540000
false,300078,,true,false,BikePoints_743,"Oxford Road, Putney",1385723700000
false,300077,,true,false,BikePoints_744,"Ingrave Street, Clapham Junction",1385729760000
false,300075,,true,false,BikePoints_745,"Upcerne Road, West Chelsea",1385740020000
false,300076,,true,false,BikePoints_746,"Lots Road, West Chelsea",1385985720000
false,300089,,true,false,BikePoints_747,"Ormonde Gate, Chelsea",1385997240000
false,300092,,true,false,BikePoints_748,"Hertford Road, De Beauvoir Town",1386159900000
false,300081,,true,false,BikePoints_749,"Haggerston Road, Haggerston",1386172440000
false,300080,,true,false,BikePoints_750,"Culvert Road, Battersea",1386240360000
false,300074,,true,false,BikePoints_751,"Newton Street, Covent Garden",1386250800000
false,300079,,true,false,BikePoints_752,"London Street, Paddington",1650364320000
false,300067,,true,false,BikePoints_754,"Grenfell Road, Avondale",1389003540000
false,300058,,true,false,BikePoints_755,"The Vale, Chelsea",1389008580000
false,300073,,true,false,BikePoints_756,"Prince of Wales Drive, Battersea Park",1390223040000
false,300069,,true,false,BikePoints_757,"Harcourt Terrace, West Brompton",1389094260000
false,300057,,true,false,BikePoints_758,"Westbourne Park Road, Portobello",1389178020000
false,300072,,true,false,BikePoints_759,"Broadley Terrace, Marylebone",1389627480000
false,300068,,true,false,BikePoints_761,"Humbolt Road, Fulham",1389781800000
false,200202,,true,false,BikePoints_762,"Storey's Gate, Westminster",1392039000000
false,300027,,true,false,BikePoints_763,"Mile End Park Leisure Centre, Mile End",1392043020000
false,200185,,true,false,BikePoints_764,"St. John's Road, Clapham Junction",1392633480000
false,300064,,true,false,BikePoints_765,"Ranelagh Gardens, Fulham",1392986940000
false,200079,,true,false,BikePoints_766,"Ram Street, Wandsworth",1392894840000
false,200177,,true,false,BikePoints_767,"Santos Road, Wandsworth",1393406280000
false,300065,,true,false,BikePoints_768,"Clapham Common North Side, Clapham Common",1393494060000
false,300001,,true,false,BikePoints_769,"Sandilands Road, Walham Green",1393939560000
false,300097,,true,false,BikePoints_770,"Gwendwr Road, West Kensington",1394099280000
false,300007,,true,false,BikePoints_771,"Rifle Place, Avondale",1394018400000
false,300015,,true,false,BikePoints_772,"Binfield Road, Stockwell",1396442100000
false,300096,,true,false,BikePoints_773,"Tallis Street, Temple",1396262520000
false,300098,,true,false,BikePoints_774,"Hurlingham Park, Parsons Green",1396265880000
false,300101,,true,false,BikePoints_775,"Little Brook Green, Brook Green",1396270320000
false,300099,,true,false,BikePoints_776,"Abyssinia Close, Clapham Junction",1396273320000
false,300100,,true,false,BikePoints_777,"Limburg Road, Clapham Junction",1406282940000
false,200072,,true,false,BikePoints_779,"Houndsditch, Aldgate",1435313700000
false,300070,,true,false,BikePoints_780,"Imperial Wharf Station, Sands End",1439455200000
false,000994,,true,false,BikePoints_85,"Tanner Street, Bermondsey",1279026060000
false,003434,,true,false,BikePoints_86,"Sancroft Street, Vauxhall",1279027140000
false,003438,,true,false,BikePoints_87,"Devonshire Square, Liverpool Street",1279027680000
false,001006,,true,false,BikePoints_88,"Bayley Street , Bloomsbury",1279028280000
false,003439,,true,false,BikePoints_89,"Tavistock Place, Bloomsbury",1279029360000
false,001038,,true,false,BikePoints_90,"Harrington Square 1, Camden Town",1279030020000
false,001076,,true,false,BikePoints_91,"Walnut Tree Walk, Vauxhall",1279036740000
false,001082,,true,false,BikePoints_92,"Borough Road, Elephant & Castle",1279037040000
