temporary,installed,terminal_name,install_date,locked,removal_date,common_name,place_id
false,true,001069,1279191540000,false,,"Eaton Square, Belgravia",BikePoints_124
false,true,000996,1279192200000,false,,"Borough High Street, The Borough",BikePoints_125
false,true,001043,1279193340000,false,,"Museum of London, Barbican",BikePoints_126
false,true,001063,1279193520000,false,,"Wood Street, Guildhall",BikePoints_127
false,true,001116,1279194060000,false,,"Emperor's Gate, South Kensington",BikePoints_128
false,true,003451,1279198500000,false,,"Golden Square, Soho",BikePoints_129
false,true,001071,1279198800000,false,,"Tower Gardens , Tower",BikePoints_130
false,true,001005,1279199280000,false,,"Eversholt Street , Camden Town",BikePoints_131
false,true,000973,1279199520000,false,,"Bethnal Green Road, Shoreditch",BikePoints_132
false,true,003436,1279200240000,false,,"Derry Street, Kensington",BikePoints_133
false,true,001039,1279200900000,false,,"Wapping High Street, Wapping",BikePoints_134
false,true,001053,1279201080000,false,,"Clerkenwell Green, Clerkenwell",BikePoints_135
false,true,001048,1279201200000,false,,"Queen Victoria Street, St. Paul's",BikePoints_136
false,true,003464,1279205220000,false,,"Green Street, Mayfair",BikePoints_138
false,true,001078,1279205460000,false,,"Lambeth Road, Vauxhall",BikePoints_139
false,true,001056,1279205580000,false,,"Finsbury Square , Moorgate",BikePoints_140
false,true,001003,1279210980000,false,,"Chapel Place, Marylebone",BikePoints_141
false,true,001001,1279211220000,false,,"West Cromwell Road, Earl's Court",BikePoints_142
false,true,001114,1279211400000,false,,"Pont Street, Knightsbridge",BikePoints_143
false,true,001093,1279211580000,false,,"Kennington Cross, Kennington",BikePoints_144
false,true,001115,1279212180000,false,,"Ilchester Place, Kensington",BikePoints_145
false,true,001046,1279212360000,false,,"Vauxhall Bridge , Pimlico",BikePoints_146
false,true,000965,,false,,"Tachbrook Street, Victoria",BikePoints_148
false,true,001073,1279215360000,false,,"Kennington Road Post Office, Oval",BikePoints_149
false,true,001002,1279215540000,false,,"Holy Trinity Brompton, Knightsbridge",BikePoints_150
false,true,001120,1279215720000,false,,"Chepstow Villas, Notting Hill",BikePoints_151
false,true,001118,1279215900000,false,,"Hampton Street, Walworth",BikePoints_152
false,true,001096,1279216080000,false,,"Bayswater Road, Hyde Park",BikePoints_153
false,true,001072,,false,,"Waterloo Station 3, Waterloo",BikePoints_154
false,true,001121,1279272660000,false,,"Lexham Gardens, Kensington",BikePoints_155
false,true,000966,1279273080000,false,,"New Kent Road, The Borough",BikePoints_156
false,true,001094,1279273200000,false,,"Wright's Lane, Kensington",BikePoints_157
false,true,001113,1279273320000,false,,"Trebovir Road, Earl's Court",BikePoints_158
false,true,003458,1279274280000,false,,"Waterloo Place, St. James's",BikePoints_160
false,true,003478,1279286940000,false,,"Guildhouse Street, Victoria",BikePoints_161
false,true,001123,1279287120000,false,,"Southampton Place, Holborn",BikePoints_162
false,true,003461,1279287300000,false,,"Sloane Avenue, Knightsbridge",BikePoints_163
false,true,001178,1279287600000,false,,"Cleveland Gardens, Bayswater",BikePoints_164
false,true,002585,1279287960000,false,,"Orsett Terrace, Bayswater",BikePoints_165
false,true,001177,1279288140000,false,,"Seville Street, Knightsbridge",BikePoints_166
false,true,003465,,false,,"Eccleston Place, Victoria",BikePoints_167
false,true,003463,1279289400000,false,,"Argyll Road, Kensington",BikePoints_168
false,true,003477,1279289760000,false,,"Porchester Place, Paddington",BikePoints_169
false,true,022170,1323346020000,false,,"Kennington Station, Kennington",BikePoints_435
false,true,022171,1323350220000,false,,"Red Lion Street, Holborn",BikePoints_436
false,true,200056,1325746380000,false,,"Vauxhall Walk, Vauxhall",BikePoints_437
false,true,200053,1325705460000,false,,"Killick Street, King's Cross",BikePoints_439
false,true,200032,1325708160000,false,,"Kennington Oval, Oval",BikePoints_440
false,true,200039,1325711220000,false,,"Sail Street, Vauxhall",BikePoints_441
false,true,200035,1325940420000,false,,"Walmer Road, Avondale",BikePoints_442
false,true,200033,1325941800000,false,,"Philpot Street, Whitechapel",BikePoints_443
false,true,200047,1325944680000,false,,"Bethnal Green Garden, Bethnal Green",BikePoints_444
false,true,200003,1325945820000,false,,"Cheshire Street, Bethnal Green",BikePoints_445
false,true,200042,1325948880000,false,,"York Hall, Bethnal Green",BikePoints_446
false,true,200054,1325949000000,false,,"Jubilee Crescent, Cubitt Town",BikePoints_447
false,true,022165,1325952660000,false,,"Fisherman's Walk West, Canary Wharf",BikePoints_448
false,true,200020,1325952900000,false,,"Shadwell Station, Shadwell",BikePoints_449
false,true,200002,1326105240000,false,,"Jubilee Street, Stepney",BikePoints_450
false,true,200021,1325501400000,false,,"Hermitage Court, Wapping",BikePoints_451
false,true,200049,1326109140000,false,,"St. Katharine's Way, Tower",BikePoints_452
false,true,200045,1326111060000,false,,"Garnet Street, Shadwell",BikePoints_453
false,true,200046,1326115380000,false,,"Napier Avenue, Millwall",BikePoints_454
false,true,200031,1326117780000,false,,"East Ferry Road, Cubitt Town",BikePoints_455
false,true,200118,1326197580000,false,,"Parkway, Camden Town",BikePoints_456
false,true,200016,1326203280000,false,,"Castlehaven Road, Camden Town",BikePoints_457
false,true,200034,1326294780000,false,,"Wapping Lane, Wapping",BikePoints_458
false,true,200014,,false,,"Gunmakers Lane, Old Ford",BikePoints_459
false,true,200123,1326284820000,false,,"Burdett Road, Mile End",BikePoints_460
true,true,200013,1326293640000,false,,"Aston Street, Stepney",BikePoints_461
false,true,200105,1326294600000,false,,"Bonny Street, Camden Town",BikePoints_462
false,true,200093,,false,,"Thurtle Road, Haggerston",BikePoints_463
false,true,200082,1326304980000,false,,"St. Mary & St. Michael Church, Stepney",BikePoints_464
false,true,200152,1333613280000,false,,"Pitfield Street North,Hoxton",BikePoints_465
false,true,200158,1326360000000,false,,"Whiston Road, Haggerston",BikePoints_466
false,true,200168,1326374040000,false,,"Southern Grove, Bow",BikePoints_467
false,true,200150,1326375720000,false,,"Cantrell Road, Bow",BikePoints_468
false,true,022178,1326381060000,false,,"Lindfield Street, Poplar",BikePoints_469
false,true,200174,1326790620000,false,,"Mostyn Grove, Bow",BikePoints_470
