common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"Humbolt Road, Fulham",300068,,false,false,BikePoints_761,true,1389781800000
"Storey's Gate, Westminster",200202,,false,false,BikePoints_762,true,1392039000000
"Mile End Park Leisure Centre, Mile End",300027,,false,false,BikePoints_763,true,1392043020000
"St. John's Road, Clapham Junction",200185,,false,false,BikePoints_764,true,1392633480000
"Ranelagh Gardens, Fulham",300064,,false,false,BikePoints_765,true,1392986940000
"Ram Street, Wandsworth",200079,,false,false,BikePoints_766,true,1392894840000
"Santos Road, Wandsworth",200177,,false,false,BikePoints_767,true,1393406280000
"Clapham Common North Side, Clapham Common",300065,,false,false,BikePoints_768,true,1393494060000
"Sandilands Road, Walham Green",300001,,false,false,BikePoints_769,true,1393939560000
"Gwendwr Road, West Kensington",300097,,false,false,BikePoints_770,true,1394099280000
"Rifle Place, Avondale",300007,,false,false,BikePoints_771,true,1394018400000
"Binfield Road, Stockwell",300015,,false,false,BikePoints_772,true,1396442100000
"Tallis Street, Temple",300096,,false,false,BikePoints_773,true,1396262520000
"Hurlingham Park, Parsons Green",300098,,false,false,BikePoints_774,true,1396265880000
"Little Brook Green, Brook Green",300101,,false,false,BikePoints_775,true,1396270320000
"Abyssinia Close, Clapham Junction",300099,,false,false,BikePoints_776,true,1396273320000
"Limburg Road, Clapham Junction",300100,,false,false,BikePoints_777,true,1406282940000
"Houndsditch, Aldgate",200072,,false,false,BikePoints_779,true,1435313700000
"Imperial Wharf Station, Sands End",300070,,false,false,BikePoints_780,true,1439455200000
"Tanner Street, Bermondsey",000994,,false,false,BikePoints_85,true,1279026060000
"Sancroft Street, Vauxhall",003434,,false,false,BikePoints_86,true,1279027140000
"Devonshire Square, Liverpool Street",003438,,false,false,BikePoints_87,true,1279027680000
"Bayley Street , Bloomsbury",001006,,false,false,BikePoints_88,true,1279028280000
"Tavistock Place, Bloomsbury",003439,,false,false,BikePoints_89,true,1279029360000
"Harrington Square 1, Camden Town",001038,,false,false,BikePoints_90,true,1279030020000
"Walnut Tree Walk, Vauxhall",001076,,false,false,BikePoints_91,true,1279036740000
"Borough Road, Elephant & Castle",001082,,false,false,BikePoints_92,true,1279037040000
"Cloudesley Road, Angel",002586,,false,false,BikePoints_93,true,1279037760000
"Bricklayers Arms, Borough",001070,,false,false,BikePoints_94,true,1279038420000
"Aldersgate Street, Barbican",001065,,false,false,BikePoints_95,true,1279096560000
"Falkirk Street, Hoxton",001047,,false,false,BikePoints_96,true,1279096980000
"Gloucester Road (North), Kensington",003447,,false,false,BikePoints_97,true,1279097580000
"Hampstead Road, Euston",000972,,false,false,BikePoints_98,true,1279099080000
"Old Quebec Street, Marylebone",001085,,false,false,BikePoints_99,true,1279099680000
"Albert Embankment, Vauxhall",001059,,false,false,BikePoints_100,true,1279099860000
"Queen Street 1, Bank",000999,,false,false,BikePoints_101,true,1279102680000
"Jewry Street, Aldgate",001045,,false,false,BikePoints_102,true,1279102860000
"Vicarage Gate, Kensington",003441,,false,false,BikePoints_103,true,1279103520000
"Crosswall, Tower",000991,,false,false,BikePoints_104,true,1279103760000
"Westbourne Grove, Bayswater",001041,,false,false,BikePoints_105,true,1279105320000
"Woodstock Street, Mayfair",001042,,false,false,BikePoints_106,true,1279106880000
"Finsbury Leisure Centre, St. Luke's",001049,,false,false,BikePoints_107,true,1279107480000
"Abbey Orchard Street, Westminster",003429,,false,false,BikePoints_108,true,1279107720000
"Soho Square , Soho",001052,,false,false,BikePoints_109,true,1279108320000
"Wellington Road, St. John's Wood",001055,,false,false,BikePoints_110,true,1279108920000
"Park Lane , Hyde Park",001037,,false,false,BikePoints_111,true,1279109160000
"Gloucester Road (Central), South Kensington",003435,,false,false,BikePoints_113,true,1279116600000
"Park Road (Baker Street), The Regent's Park",001050,,false,false,BikePoints_114,true,1279119900000
"Braham Street, Aldgate",001062,,false,false,BikePoints_115,true,1279120680000
"Little Argyll Street, West End",000995,,false,false,BikePoints_116,true,1279122360000
"Lollard Street, Vauxhall",000998,,false,false,BikePoints_117,true,1279124220000
"Rochester Row, Westminster",003457,,false,false,BikePoints_118,true,1279124520000
"Bath Street, St. Luke's",000964,,false,false,BikePoints_119,true,1279124760000
"The Guildhall, Guildhall",001044,,false,false,BikePoints_120,true,1279187040000
"Baker Street, Marylebone",001086,,false,false,BikePoints_121,true,1279189200000
"Norton Folgate, Liverpool Street",001068,,false,false,BikePoints_122,true,1279190040000
"St. John Street, Finsbury",000992,,false,false,BikePoints_123,true,1279191300000
"Eaton Square, Belgravia",001069,,false,false,BikePoints_124,true,1279191540000
"Borough High Street, The Borough",000996,,false,false,BikePoints_125,true,1279192200000
"Museum of London, Barbican",001043,,false,false,BikePoints_126,true,1279193340000
"Wood Street, Guildhall",001063,,false,false,BikePoints_127,true,1279193520000
"Emperor's Gate, South Kensington",001116,,false,false,BikePoints_128,true,1279194060000
"Golden Square, Soho",003451,,false,false,BikePoints_129,true,1279198500000
"Tower Gardens , Tower",001071,,false,false,BikePoints_130,true,1279198800000
"Eversholt Street , Camden Town",001005,,false,false,BikePoints_131,true,1279199280000
"Bethnal Green Road, Shoreditch",000973,,false,false,BikePoints_132,true,1279199520000
"Derry Street, Kensington",003436,,false,false,BikePoints_133,true,1279200240000
"Wapping High Street, Wapping",001039,,false,false,BikePoints_134,true,1279200900000
"Clerkenwell Green, Clerkenwell",001053,,false,false,BikePoints_135,true,1279201080000
"Queen Victoria Street, St. Paul's",001048,,false,false,BikePoints_136,true,1279201200000
"Green Street, Mayfair",003464,,false,false,BikePoints_138,true,1279205220000
"Lambeth Road, Vauxhall",001078,,false,false,BikePoints_139,true,1279205460000
"Finsbury Square , Moorgate",001056,,false,false,BikePoints_140,true,1279205580000
"Chapel Place, Marylebone",001003,,false,false,BikePoints_141,true,1279210980000
"West Cromwell Road, Earl's Court",001001,,false,false,BikePoints_142,true,1279211220000
"Pont Street, Knightsbridge",001114,,false,false,BikePoints_143,true,1279211400000
"Kennington Cross, Kennington",001093,,false,false,BikePoints_144,true,1279211580000
"Ilchester Place, Kensington",001115,,false,false,BikePoints_145,true,1279212180000
"Vauxhall Bridge , Pimlico",001046,,false,false,BikePoints_146,true,1279212360000
"Tachbrook Street, Victoria",000965,,false,false,BikePoints_148,true,
"Kennington Road Post Office, Oval",001073,,false,false,BikePoints_149,true,1279215360000
