temporary,common_name,terminal_name,place_id,installed,install_date,locked,removal_date
false,"Russell Gardens, Olympia",200080,BikePoints_515,true,,false,
false,"Chrisp Street Market, Poplar",200089,BikePoints_516,true,1328202420000,false,
false,"Ford Road, Old Ford",200027,BikePoints_517,true,1326790860000,false,
false,"Antill Road, Mile End",200041,BikePoints_518,true,,false,
false,"Teviot Street, Poplar",200254,BikePoints_519,true,,false,
false,"Bancroft Road, Bethnal Green",200234,BikePoints_520,true,,false,
false,"Victoria & Albert Museum, South Kensington",300032,BikePoints_781,true,1446485340000,false,
false,"Halford Road, West Kensington",300210,BikePoints_782,true,1446485820000,false,
false,"Monier Road, Hackney Wick",300213,BikePoints_783,true,1448529660000,false,
false,"East Village, Queen Elizabeth Olympic Park",300200,BikePoints_784,true,1452789240000,false,
false,"Aquatic Centre, Queen Elizabeth Olympic Park",300233,BikePoints_785,true,1451908440000,false,
false,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300029,BikePoints_786,true,1451918160000,false,
false,"Timber Lodge, Queen Elizabeth Olympic Park",300227,BikePoints_787,true,1451900700000,false,
false,"Copper Box Arena, Queen Elizabeth Olympic Park",300226,BikePoints_788,true,1451906880000,false,
false,"Podium, Queen Elizabeth Olympic Park",300021,BikePoints_789,true,1452507000000,false,
false,"Stratford Station, Stratford",300234,BikePoints_790,true,1452687420000,false,
false,"Blackfriars Road, Southwark",300214,BikePoints_792,true,1454926380000,false,
false,"Cromer Street, Bloomsbury",300205,BikePoints_793,true,1459424760000,false,
false,"Victoria Rise, Clapham Common",300204,BikePoints_794,true,1456404240000,false,
false,"Euston Square Gardens, Euston",300203,BikePoints_795,true,1456744740000,false,
false,"Coram Street, Bloomsbury",300201,BikePoints_796,true,1456746420000,false,
false,"Ossulston Street, Somers Town",300211,BikePoints_797,true,1456839540000,false,
false,"Birkenhead Street, King's Cross",300212,BikePoints_798,true,1464787980000,false,
false,"Kings Gate House, Westminster",300202,BikePoints_799,true,1464876480000,false,
false,"Sopwith Way, Battersea Park",300248,BikePoints_800,true,1457107140000,false,
false,"Lavington Street, Bankside",300208,BikePoints_801,true,1458824640000,false,
false,"Albert Square, Stockwell",300209,BikePoints_802,true,1464865500000,false,
false,"Southwark Street, Bankside",300238,BikePoints_803,true,1464787860000,false,
false,"Good's Way, King's Cross",300243,BikePoints_804,true,1459410960000,false,
false,"The Metropolitan, Portobello",300244,BikePoints_805,true,1467626400000,false,
false,"Handyside Street, King's Cross",300241,BikePoints_806,true,1472723460000,false,
false,"Bevington Road West, North Kensington",300236,BikePoints_807,true,1466715600000,false,
false,"Gauden Road, Clapham",300207,BikePoints_808,true,1461753540000,false,
false,"Lincoln's Inn Fields, Holborn",300240,BikePoints_809,true,1467640800000,false,
false,"Tate Modern, Bankside",300237,BikePoints_810,true,1464943200000,false,
false,"Westferry Circus, Canary Wharf",300228,BikePoints_811,true,1469538960000,false,
false,"Here East North, Queen Elizabeth Olympic Park",300217,BikePoints_812,true,1469005200000,false,
false,"New Spring Gardens Walk, Vauxhall",300224,BikePoints_813,true,1467627120000,false,
