locked,temporary,installed,common_name,place_id,install_date,removal_date,terminal_name
false,false,true,"Victoria Park Road, Hackney Central",BikePoints_719,1384968480000,,300011
false,false,true,"Star Road, West Kensington",BikePoints_720,1385025840000,,300038
false,false,true,"Wendon Street, Old Ford",BikePoints_721,1385028480000,,300039
false,false,true,"Finnis Street, Bethnal Green",BikePoints_722,1385028600000,,300041
false,false,true,"Stephendale Road, Sands End",BikePoints_723,1385035380000,,300053
false,false,true,"Alma Road, Wandsworth",BikePoints_724,1385125380000,,300046
false,false,true,"Walworth Square, Walworth",BikePoints_725,1563352500000,,300050
false,false,true,"Alfreda Street, Battersea Park",BikePoints_726,1385128740000,,300047
false,false,true,"Chesilton Road, Fulham",BikePoints_727,1385132160000,,300054
false,false,true,"Putney Bridge Road, East Putney",BikePoints_728,1385466780000,,300044
false,false,true,"St. Peter's Terrace, Fulham",BikePoints_729,1385391300000,,300043
false,false,true,"Bridge Avenue, Hammersmith",BikePoints_730,1385132580000,,300082
false,false,true,"Michael Road, Walham Green",BikePoints_731,1385394720000,,300095
false,false,true,"Duke Street Hill, London Bridge",BikePoints_732,1385458020000,,300083
false,false,true,"Park Lane, Mayfair",BikePoints_733,1385460840000,,300093
false,false,true,"Plough Terrace, Clapham Junction",BikePoints_734,1385464500000,,300094
false,false,true,"Grant Road East, Clapham Junction",BikePoints_735,1385383080000,,200120
false,false,true,"Queensdale Road, Shepherd's Bush",BikePoints_736,1385472900000,,300088
false,false,true,"Fulham Broadway, Walham Green",BikePoints_737,1385554620000,,300086
false,false,true,"Imperial Road, Sands End",BikePoints_738,1385563380000,,300087
false,false,true,"Hortensia Road, West Brompton",BikePoints_739,1385631000000,,300091
false,false,true,"Sirdar Road, Avondale",BikePoints_740,1385635440000,,300084
false,false,true,"Freston Road, Avondale",BikePoints_741,1385640120000,,300085
false,false,true,"Blenheim Crescent, Ladbroke Grove",BikePoints_742,1385649540000,,300090
false,false,true,"Oxford Road, Putney",BikePoints_743,1385723700000,,300078
false,false,true,"Ingrave Street, Clapham Junction",BikePoints_744,1385729760000,,300077
false,false,true,"Upcerne Road, West Chelsea",BikePoints_745,1385740020000,,300075
false,false,true,"Lots Road, West Chelsea",BikePoints_746,1385985720000,,300076
false,false,true,"Ormonde Gate, Chelsea",BikePoints_747,1385997240000,,300089
false,false,true,"Hertford Road, De Beauvoir Town",BikePoints_748,1386159900000,,300092
false,false,true,"Haggerston Road, Haggerston",BikePoints_749,1386172440000,,300081
false,false,true,"Culvert Road, Battersea",BikePoints_750,1386240360000,,300080
false,false,true,"Newton Street, Covent Garden",BikePoints_751,1386250800000,,300074
false,false,true,"London Street, Paddington",BikePoints_752,1650364320000,,300079
false,false,true,"Grenfell Road, Avondale",BikePoints_754,1389003540000,,300067
false,false,true,"The Vale, Chelsea",BikePoints_755,1389008580000,,300058
false,false,true,"Prince of Wales Drive, Battersea Park",BikePoints_756,1390223040000,,300073
false,false,true,"Harcourt Terrace, West Brompton",BikePoints_757,1389094260000,,300069
false,false,true,"Westbourne Park Road, Portobello",BikePoints_758,1389178020000,,300057
false,false,true,"Broadley Terrace, Marylebone",BikePoints_759,1389627480000,,300072
false,false,true,"Humbolt Road, Fulham",BikePoints_761,1389781800000,,300068
false,false,true,"Storey's Gate, Westminster",BikePoints_762,1392039000000,,200202
false,false,true,"Mile End Park Leisure Centre, Mile End",BikePoints_763,1392043020000,,300027
false,false,true,"St. John's Road, Clapham Junction",BikePoints_764,1392633480000,,200185
false,false,true,"Ranelagh Gardens, Fulham",BikePoints_765,1392986940000,,300064
false,false,true,"Ram Street, Wandsworth",BikePoints_766,1392894840000,,200079
false,false,true,"Santos Road, Wandsworth",BikePoints_767,1393406280000,,200177
false,false,true,"Clapham Common North Side, Clapham Common",BikePoints_768,1393494060000,,300065
false,false,true,"Sandilands Road, Walham Green",BikePoints_769,1393939560000,,300001
false,false,true,"Gwendwr Road, West Kensington",BikePoints_770,1394099280000,,300097
false,false,true,"Rifle Place, Avondale",BikePoints_771,1394018400000,,300007
false,false,true,"Binfield Road, Stockwell",BikePoints_772,1396442100000,,300015
false,false,true,"Tallis Street, Temple",BikePoints_773,1396262520000,,300096
false,false,true,"Hurlingham Park, Parsons Green",BikePoints_774,1396265880000,,300098
false,false,true,"Little Brook Green, Brook Green",BikePoints_775,1396270320000,,300101
false,false,true,"Abyssinia Close, Clapham Junction",BikePoints_776,1396273320000,,300099
false,false,true,"Limburg Road, Clapham Junction",BikePoints_777,1406282940000,,300100
false,false,true,"Houndsditch, Aldgate",BikePoints_779,1435313700000,,200072
false,false,true,"Imperial Wharf Station, Sands End",BikePoints_780,1439455200000,,300070
false,false,true,"Victoria & Albert Museum, South Kensington",BikePoints_781,1446485340000,,300032
false,false,true,"Tanner Street, Bermondsey",BikePoints_85,1279026060000,,000994
false,false,true,"Sancroft Street, Vauxhall",BikePoints_86,1279027140000,,003434
false,false,true,"Devonshire Square, Liverpool Street",BikePoints_87,1279027680000,,003438
false,false,true,"Bayley Street , Bloomsbury",BikePoints_88,1279028280000,,001006
false,false,true,"Tavistock Place, Bloomsbury",BikePoints_89,1279029360000,,003439
false,false,true,"Harrington Square 1, Camden Town",BikePoints_90,1279030020000,,001038
false,false,true,"Walnut Tree Walk, Vauxhall",BikePoints_91,1279036740000,,001076
false,false,true,"Borough Road, Elephant & Castle",BikePoints_92,1279037040000,,001082
false,false,true,"Cloudesley Road, Angel",BikePoints_93,1279037760000,,002586
false,false,true,"Bricklayers Arms, Borough",BikePoints_94,1279038420000,,001070
false,false,true,"Aldersgate Street, Barbican",BikePoints_95,1279096560000,,001065
false,false,true,"Falkirk Street, Hoxton",BikePoints_96,1279096980000,,001047
false,false,true,"Gloucester Road (North), Kensington",BikePoints_97,1279097580000,,003447
false,false,true,"Hampstead Road, Euston",BikePoints_98,1279099080000,,000972
false,false,true,"Old Quebec Street, Marylebone",BikePoints_99,1279099680000,,001085
false,false,true,"Albert Embankment, Vauxhall",BikePoints_100,1279099860000,,001059
false,false,true,"Queen Street 1, Bank",BikePoints_101,1279102680000,,000999
false,false,true,"Jewry Street, Aldgate",BikePoints_102,1279102860000,,001045
false,false,true,"Vicarage Gate, Kensington",BikePoints_103,1279103520000,,003441
false,false,true,"Crosswall, Tower",BikePoints_104,1279103760000,,000991
false,false,true,"Westbourne Grove, Bayswater",BikePoints_105,1279105320000,,001041
false,false,true,"Woodstock Street, Mayfair",BikePoints_106,1279106880000,,001042
false,false,true,"Finsbury Leisure Centre, St. Luke's",BikePoints_107,1279107480000,,001049
