terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
000993,true,1544659200000,"Drummond Street , Euston",false,BikePoints_20,false,
003426,true,1278427740000,"Lansdowne Drive, Hackney Central",false,BikePoints_21,false,
003425,true,1278428880000,"Northington Street , Holborn",false,BikePoints_22,false,
003421,true,1278429300000,"Red Lion Square, Holborn",false,BikePoints_23,false,
000981,true,1278430140000,"British Museum, Bloomsbury",false,BikePoints_24,false,
001004,true,1278433200000,"Doric Way , Somers Town",false,BikePoints_25,false,
001019,true,1278434160000,"Ampton Street , Clerkenwell",false,BikePoints_26,false,
001021,true,1278500160000,"Bouverie Street, Temple",false,BikePoints_27,false,
001025,true,1278500460000,"Bolsover Street, Fitzrovia",false,BikePoints_28,false,
001016,true,1278501180000,"Hereford Road, Bayswater",false,BikePoints_29,false,
001029,true,1278501420000,"Windsor Terrace, Hoxton",false,BikePoints_30,false,
003427,true,1278501600000,"Fanshaw Street, Hoxton",false,BikePoints_31,false,
001020,true,1278506700000,"Leonard Circus , Shoreditch",false,BikePoints_32,false,
003430,true,1278506940000,"Central House, Aldgate",false,BikePoints_33,false,
003428,true,1278507060000,"Pancras Road, King's Cross",false,BikePoints_34,false,
003446,true,1278519900000,"De Vere Gardens, Kensington",false,BikePoints_36,false,
003444,true,1278520020000,"Penywern Road, Earl's Court",false,BikePoints_37,false,
003442,true,1278584880000,"Abingdon Villas, Kensington",false,BikePoints_38,false,
003445,true,1278601740000,"Shoreditch High Street, Shoreditch",false,BikePoints_39,false,
001083,true,1278601980000,"Commercial Street, Shoreditch",false,BikePoints_40,false,
001084,true,1278602280000,"Pindar Street, Liverpool Street",false,BikePoints_41,false,
000979,true,1278602700000,"Wenlock Road , Hoxton",false,BikePoints_42,false,
001036,true,1278687720000,"Crawford Street, Marylebone",false,BikePoints_43,false,
001034,true,1278687900000,"Bruton Street, Mayfair",false,BikePoints_44,false,
001035,true,1278691320000,"Boston Place, Marylebone",false,BikePoints_45,false,
001031,true,1278691800000,"Nesham Street, Wapping",false,BikePoints_46,false,
001027,true,1278749160000,"Warwick Avenue Station, Maida Vale",false,BikePoints_47,false,
000971,true,1278749460000,"Godliman Street, St. Paul's",false,BikePoints_48,false,
003437,true,1278749940000,"Curzon Street, Mayfair",false,BikePoints_49,false,
001054,true,1278750240000,"East Road, Hoxton",false,BikePoints_50,false,
000986,true,1278750540000,"Finsbury Library , Finsbury",false,BikePoints_51,false,
001026,true,1278750840000,"Roscoe Street, St. Luke's",false,BikePoints_52,false,
003431,true,1278752580000,"Grafton Street, Mayfair",false,BikePoints_53,false,
000967,true,1278766740000,"Golden Lane, Barbican",false,BikePoints_54,false,
000984,true,1278766980000,"Finsbury Circus, Liverpool Street",false,BikePoints_55,false,
001033,true,1278767220000,"Paddington Street, Marylebone",false,BikePoints_56,false,
000974,true,1278767460000,"Guilford Street , Bloomsbury",false,BikePoints_57,false,
001032,true,1278767700000,"New Inn Yard, Shoreditch",false,BikePoints_58,false,
001030,true,1278769140000,"Lisson Grove, St. John's Wood",false,BikePoints_60,false,
001017,true,1278773820000,"Great Dover Street, The Borough",false,BikePoints_61,false,
000990,true,1278773940000,"Cotton Garden Estate, Kennington",false,BikePoints_62,false,
000989,true,1278774120000,"Murray Grove , Hoxton",false,BikePoints_63,false,
001028,true,1278774300000,"William IV Street, Strand",false,BikePoints_64,false,
000982,true,1278845280000,"Holborn Circus, Holborn",false,BikePoints_66,false,
000985,true,1278847440000,"Hatton Garden, Holborn",false,BikePoints_67,false,
000975,true,1278857040000,"Theobald's Road , Holborn",false,BikePoints_68,false,
000983,true,1278861540000,"Euston Road, Euston",false,BikePoints_69,false,
001066,true,1278863340000,"Calshot Street , King's Cross",false,BikePoints_70,false,
001074,true,1278924900000,"Newgate Street , St. Paul's",false,BikePoints_71,false,
003432,true,1276948860000,"Farringdon Lane, Clerkenwell",false,BikePoints_72,false,
001064,true,1278941040000,"Old Street Station, St. Luke's",false,BikePoints_73,false,
001000,true,1278941160000,"Vauxhall Cross, Vauxhall",false,BikePoints_74,false,
001060,true,1278945180000,"Torrens Street, Angel",false,BikePoints_75,false,
000976,true,1278946560000,"Longford Street, The Regent's Park",false,BikePoints_76,false,
000978,true,1278946860000,"Russell Square Station, Bloomsbury",false,BikePoints_77,false,
003433,true,1278948480000,"Sadlers Sports Centre, Finsbury",false,BikePoints_78,false,
003455,true,1509018360000,"Arundel Street, Temple",false,BikePoints_79,false,
003448,true,1278952440000,"Webber Street , Southwark",false,BikePoints_80,false,
003450,true,1279012980000,"Great Titchfield Street, Fitzrovia",false,BikePoints_81,false,
003453,true,1279015680000,"Chancery Lane, Holborn",false,BikePoints_82,false,
003452,true,1279015800000,"Panton Street, West End",false,BikePoints_83,false,
003449,true,1279020240000,"Breams Buildings, Holborn",false,BikePoints_84,false,
001201,true,1280248620000,"Bank of England Museum, Bank",false,BikePoints_340,false,
