temporary,locked,removal_date,terminal_name,install_date,place_id,common_name,installed
false,false,,001055,1279108920000,BikePoints_110,"Wellington Road, St. John's Wood",true
false,false,,001037,1279109160000,BikePoints_111,"Park Lane , Hyde Park",true
false,false,,003435,1279116600000,BikePoints_113,"Gloucester Road (Central), South Kensington",true
false,false,,001050,1279119900000,BikePoints_114,"Park Road (Baker Street), The Regent's Park",true
false,false,,001062,1279120680000,BikePoints_115,"Braham Street, Aldgate",true
false,false,,000995,1279122360000,BikePoints_116,"Little Argyll Street, West End",true
false,false,,000998,1279124220000,BikePoints_117,"Lollard Street, Vauxhall",true
false,false,,003457,1279124520000,BikePoints_118,"Rochester Row, Westminster",true
false,false,,000964,1279124760000,BikePoints_119,"Bath Street, St. Luke's",true
false,false,,001044,1279187040000,BikePoints_120,"The Guildhall, Guildhall",true
false,false,,001086,1279189200000,BikePoints_121,"Baker Street, Marylebone",true
false,false,,001068,1279190040000,BikePoints_122,"Norton Folgate, Liverpool Street",true
false,false,,000992,1279191300000,BikePoints_123,"St. John Street, Finsbury",true
false,false,,001069,1279191540000,BikePoints_124,"Eaton Square, Belgravia",true
false,false,,000996,1279192200000,BikePoints_125,"Borough High Street, The Borough",true
false,false,,001043,1279193340000,BikePoints_126,"Museum of London, Barbican",true
false,false,,001063,1279193520000,BikePoints_127,"Wood Street, Guildhall",true
false,false,,001116,1279194060000,BikePoints_128,"Emperor's Gate, South Kensington",true
false,false,,003451,1279198500000,BikePoints_129,"Golden Square, Soho",true
false,false,,001071,1279198800000,BikePoints_130,"Tower Gardens , Tower",true
false,false,,001005,1279199280000,BikePoints_131,"Eversholt Street , Camden Town",true
false,false,,000973,1279199520000,BikePoints_132,"Bethnal Green Road, Shoreditch",true
false,false,,003436,1279200240000,BikePoints_133,"Derry Street, Kensington",true
false,false,,001039,1279200900000,BikePoints_134,"Wapping High Street, Wapping",true
false,false,,001053,1279201080000,BikePoints_135,"Clerkenwell Green, Clerkenwell",true
false,false,,001048,1279201200000,BikePoints_136,"Queen Victoria Street, St. Paul's",true
false,false,,003464,1279205220000,BikePoints_138,"Green Street, Mayfair",true
false,false,,001078,1279205460000,BikePoints_139,"Lambeth Road, Vauxhall",true
false,false,,001056,1279205580000,BikePoints_140,"Finsbury Square , Moorgate",true
false,false,,001003,1279210980000,BikePoints_141,"Chapel Place, Marylebone",true
false,false,,001001,1279211220000,BikePoints_142,"West Cromwell Road, Earl's Court",true
false,false,,001114,1279211400000,BikePoints_143,"Pont Street, Knightsbridge",true
false,false,,001093,1279211580000,BikePoints_144,"Kennington Cross, Kennington",true
false,false,,001115,1279212180000,BikePoints_145,"Ilchester Place, Kensington",true
false,false,,001046,1279212360000,BikePoints_146,"Vauxhall Bridge , Pimlico",true
false,false,,000965,,BikePoints_148,"Tachbrook Street, Victoria",true
false,false,,001073,1279215360000,BikePoints_149,"Kennington Road Post Office, Oval",true
false,false,,001002,1279215540000,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",true
false,false,,001120,1279215720000,BikePoints_151,"Chepstow Villas, Notting Hill",true
false,false,,001118,1279215900000,BikePoints_152,"Hampton Street, Walworth",true
false,false,,001096,1279216080000,BikePoints_153,"Bayswater Road, Hyde Park",true
false,false,,001072,,BikePoints_154,"Waterloo Station 3, Waterloo",true
false,false,,001121,1279272660000,BikePoints_155,"Lexham Gardens, Kensington",true
false,false,,000966,1279273080000,BikePoints_156,"New Kent Road, The Borough",true
false,false,,001094,1279273200000,BikePoints_157,"Wright's Lane, Kensington",true
false,false,,001113,1279273320000,BikePoints_158,"Trebovir Road, Earl's Court",true
false,false,,003458,1279274280000,BikePoints_160,"Waterloo Place, St. James's",true
false,false,,003478,1279286940000,BikePoints_161,"Guildhouse Street, Victoria",true
false,false,,001123,1279287120000,BikePoints_162,"Southampton Place, Holborn",true
false,false,,003461,1279287300000,BikePoints_163,"Sloane Avenue, Knightsbridge",true
false,false,,001178,1279287600000,BikePoints_164,"Cleveland Gardens, Bayswater",true
false,false,,002585,1279287960000,BikePoints_165,"Orsett Terrace, Bayswater",true
