temporary,terminal_name,locked,common_name,install_date,place_id,installed,removal_date
false,300098,false,"Hurlingham Park, Parsons Green",1396265880000,BikePoints_774,true,
false,300101,false,"Little Brook Green, Brook Green",1396270320000,BikePoints_775,true,
false,300099,false,"Abyssinia Close, Clapham Junction",1396273320000,BikePoints_776,true,
false,300100,false,"Limburg Road, Clapham Junction",1406282940000,BikePoints_777,true,
false,200072,false,"Houndsditch, Aldgate",1435313700000,BikePoints_779,true,
false,300070,false,"Imperial Wharf Station, Sands End",1439455200000,BikePoints_780,true,
false,300032,false,"Victoria & Albert Museum, South Kensington",1446485340000,BikePoints_781,true,
false,000994,false,"Tanner Street, Bermondsey",1279026060000,BikePoints_85,true,
false,003434,false,"Sancroft Street, Vauxhall",1279027140000,BikePoints_86,true,
false,003438,false,"Devonshire Square, Liverpool Street",1279027680000,BikePoints_87,true,
false,001006,false,"Bayley Street , Bloomsbury",1279028280000,BikePoints_88,true,
false,003439,false,"Tavistock Place, Bloomsbury",1279029360000,BikePoints_89,true,
false,001038,false,"Harrington Square 1, Camden Town",1279030020000,BikePoints_90,true,
false,001076,false,"Walnut Tree Walk, Vauxhall",1279036740000,BikePoints_91,true,
false,001082,false,"Borough Road, Elephant & Castle",1279037040000,BikePoints_92,true,
false,002586,false,"Cloudesley Road, Angel",1279037760000,BikePoints_93,true,
false,001070,false,"Bricklayers Arms, Borough",1279038420000,BikePoints_94,true,
false,001065,false,"Aldersgate Street, Barbican",1279096560000,BikePoints_95,true,
false,001047,false,"Falkirk Street, Hoxton",1279096980000,BikePoints_96,true,
false,003447,false,"Gloucester Road (North), Kensington",1279097580000,BikePoints_97,true,
false,000972,false,"Hampstead Road, Euston",1279099080000,BikePoints_98,true,
false,001085,false,"Old Quebec Street, Marylebone",1279099680000,BikePoints_99,true,
false,001059,false,"Albert Embankment, Vauxhall",1279099860000,BikePoints_100,true,
false,000999,false,"Queen Street 1, Bank",1279102680000,BikePoints_101,true,
false,001045,false,"Jewry Street, Aldgate",1279102860000,BikePoints_102,true,
false,003441,false,"Vicarage Gate, Kensington",1279103520000,BikePoints_103,true,
false,000991,false,"Crosswall, Tower",1279103760000,BikePoints_104,true,
false,001041,false,"Westbourne Grove, Bayswater",1279105320000,BikePoints_105,true,
false,001042,false,"Woodstock Street, Mayfair",1279106880000,BikePoints_106,true,
false,001049,false,"Finsbury Leisure Centre, St. Luke's",1279107480000,BikePoints_107,true,
false,003429,false,"Abbey Orchard Street, Westminster",1279107720000,BikePoints_108,true,
false,001052,false,"Soho Square , Soho",1279108320000,BikePoints_109,true,
false,001055,false,"Wellington Road, St. John's Wood",1279108920000,BikePoints_110,true,
false,001037,false,"Park Lane , Hyde Park",1279109160000,BikePoints_111,true,
false,003435,false,"Gloucester Road (Central), South Kensington",1279116600000,BikePoints_113,true,
false,001050,false,"Park Road (Baker Street), The Regent's Park",1279119900000,BikePoints_114,true,
false,001062,false,"Braham Street, Aldgate",1279120680000,BikePoints_115,true,
false,000995,false,"Little Argyll Street, West End",1279122360000,BikePoints_116,true,
false,000998,false,"Lollard Street, Vauxhall",1279124220000,BikePoints_117,true,
false,003457,false,"Rochester Row, Westminster",1279124520000,BikePoints_118,true,
false,000964,false,"Bath Street, St. Luke's",1279124760000,BikePoints_119,true,
false,001044,false,"The Guildhall, Guildhall",1279187040000,BikePoints_120,true,
false,001086,false,"Baker Street, Marylebone",1279189200000,BikePoints_121,true,
false,001068,false,"Norton Folgate, Liverpool Street",1279190040000,BikePoints_122,true,
false,000992,false,"St. John Street, Finsbury",1279191300000,BikePoints_123,true,
false,001069,false,"Eaton Square, Belgravia",1279191540000,BikePoints_124,true,
false,000996,false,"Borough High Street, The Borough",1279192200000,BikePoints_125,true,
false,001043,false,"Museum of London, Barbican",1279193340000,BikePoints_126,true,
false,001063,false,"Wood Street, Guildhall",1279193520000,BikePoints_127,true,
false,001116,false,"Emperor's Gate, South Kensington",1279194060000,BikePoints_128,true,
false,003451,false,"Golden Square, Soho",1279198500000,BikePoints_129,true,
false,001071,false,"Tower Gardens , Tower",1279198800000,BikePoints_130,true,
false,001005,false,"Eversholt Street , Camden Town",1279199280000,BikePoints_131,true,
false,000973,false,"Bethnal Green Road, Shoreditch",1279199520000,BikePoints_132,true,
false,003436,false,"Derry Street, Kensington",1279200240000,BikePoints_133,true,
false,001039,false,"Wapping High Street, Wapping",1279200900000,BikePoints_134,true,
false,001053,false,"Clerkenwell Green, Clerkenwell",1279201080000,BikePoints_135,true,
false,001048,false,"Queen Victoria Street, St. Paul's",1279201200000,BikePoints_136,true,
false,003464,false,"Green Street, Mayfair",1279205220000,BikePoints_138,true,
false,001078,false,"Lambeth Road, Vauxhall",1279205460000,BikePoints_139,true,
false,001056,false,"Finsbury Square , Moorgate",1279205580000,BikePoints_140,true,
false,001003,false,"Chapel Place, Marylebone",1279210980000,BikePoints_141,true,
false,001001,false,"West Cromwell Road, Earl's Court",1279211220000,BikePoints_142,true,
false,001114,false,"Pont Street, Knightsbridge",1279211400000,BikePoints_143,true,
false,001093,false,"Kennington Cross, Kennington",1279211580000,BikePoints_144,true,
false,001115,false,"Ilchester Place, Kensington",1279212180000,BikePoints_145,true,
false,001046,false,"Vauxhall Bridge , Pimlico",1279212360000,BikePoints_146,true,
false,000965,false,"Tachbrook Street, Victoria",,BikePoints_148,true,
false,001073,false,"Kennington Road Post Office, Oval",1279215360000,BikePoints_149,true,
false,001002,false,"Holy Trinity Brompton, Knightsbridge",1279215540000,BikePoints_150,true,
false,001120,false,"Chepstow Villas, Notting Hill",1279215720000,BikePoints_151,true,
false,001118,false,"Hampton Street, Walworth",1279215900000,BikePoints_152,true,
false,001096,false,"Bayswater Road, Hyde Park",1279216080000,BikePoints_153,true,
false,001072,false,"Waterloo Station 3, Waterloo",,BikePoints_154,true,
false,001121,false,"Lexham Gardens, Kensington",1279272660000,BikePoints_155,true,
false,000966,false,"New Kent Road, The Borough",1279273080000,BikePoints_156,true,
false,001094,false,"Wright's Lane, Kensington",1279273200000,BikePoints_157,true,
false,001113,false,"Trebovir Road, Earl's Court",1279273320000,BikePoints_158,true,
false,003458,false,"Waterloo Place, St. James's",1279274280000,BikePoints_160,true,
false,003478,false,"Guildhouse Street, Victoria",1279286940000,BikePoints_161,true,
false,001123,false,"Southampton Place, Holborn",1279287120000,BikePoints_162,true,
false,003461,false,"Sloane Avenue, Knightsbridge",1279287300000,BikePoints_163,true,
false,001178,false,"Cleveland Gardens, Bayswater",1279287600000,BikePoints_164,true,
false,002585,false,"Orsett Terrace, Bayswater",1279287960000,BikePoints_165,true,
false,001177,false,"Seville Street, Knightsbridge",1279288140000,BikePoints_166,true,
false,003465,false,"Eccleston Place, Victoria",,BikePoints_167,true,
false,003463,false,"Argyll Road, Kensington",1279289400000,BikePoints_168,true,
false,022171,false,"Red Lion Street, Holborn",1323350220000,BikePoints_436,true,
false,200056,false,"Vauxhall Walk, Vauxhall",1325746380000,BikePoints_437,true,
false,200053,false,"Killick Street, King's Cross",1325705460000,BikePoints_439,true,
false,200032,false,"Kennington Oval, Oval",1325708160000,BikePoints_440,true,
false,200039,false,"Sail Street, Vauxhall",1325711220000,BikePoints_441,true,
false,200035,false,"Walmer Road, Avondale",1325940420000,BikePoints_442,true,
false,200033,false,"Philpot Street, Whitechapel",1325941800000,BikePoints_443,true,
false,200047,false,"Bethnal Green Garden, Bethnal Green",1325944680000,BikePoints_444,true,
false,200003,false,"Cheshire Street, Bethnal Green",1325945820000,BikePoints_445,true,
false,200042,false,"York Hall, Bethnal Green",1325948880000,BikePoints_446,true,
false,200054,false,"Jubilee Crescent, Cubitt Town",1325949000000,BikePoints_447,true,
false,022165,false,"Fisherman's Walk West, Canary Wharf",1325952660000,BikePoints_448,true,
false,200020,false,"Shadwell Station, Shadwell",1325952900000,BikePoints_449,true,
false,200002,false,"Jubilee Street, Stepney",1326105240000,BikePoints_450,true,
false,200021,false,"Hermitage Court, Wapping",1325501400000,BikePoints_451,true,
false,200049,false,"St. Katharine's Way, Tower",1326109140000,BikePoints_452,true,
false,200045,false,"Garnet Street, Shadwell",1326111060000,BikePoints_453,true,
false,200046,false,"Napier Avenue, Millwall",1326115380000,BikePoints_454,true,
false,200031,false,"East Ferry Road, Cubitt Town",1326117780000,BikePoints_455,true,
false,200118,false,"Parkway, Camden Town",1326197580000,BikePoints_456,true,
false,200016,false,"Castlehaven Road, Camden Town",1326203280000,BikePoints_457,true,
false,200034,false,"Wapping Lane, Wapping",1326294780000,BikePoints_458,true,
false,200014,false,"Gunmakers Lane, Old Ford",,BikePoints_459,true,
false,200123,false,"Burdett Road, Mile End",1326284820000,BikePoints_460,true,
true,200013,false,"Aston Street, Stepney",1326293640000,BikePoints_461,true,
false,200105,false,"Bonny Street, Camden Town",1326294600000,BikePoints_462,true,
false,200093,false,"Thurtle Road, Haggerston",,BikePoints_463,true,
false,200082,false,"St. Mary & St. Michael Church, Stepney",1326304980000,BikePoints_464,true,
false,200152,false,"Pitfield Street North,Hoxton",1333613280000,BikePoints_465,true,
false,200158,false,"Whiston Road, Haggerston",1326360000000,BikePoints_466,true,
false,200168,false,"Southern Grove, Bow",1326374040000,BikePoints_467,true,
false,200150,false,"Cantrell Road, Bow",1326375720000,BikePoints_468,true,
false,022178,false,"Lindfield Street, Poplar",1326381060000,BikePoints_469,true,
false,200174,false,"Mostyn Grove, Bow",1326790620000,BikePoints_470,true,
false,200006,false,"Hewison Street, Old Ford",1326790860000,BikePoints_471,true,
false,200019,false,"Malmesbury Road, Bow",1326791160000,BikePoints_472,true,
