locked,common_name,install_date,temporary,place_id,terminal_name,removal_date,installed
false,"Albert Bridge Road, Battersea Park",1384520580000,false,BikePoints_710,300045,,true
false,"Everington Street, Fulham",1384791540000,false,BikePoints_711,300028,,true
false,"Mile End Stadium, Mile End",1384797120000,false,BikePoints_712,300056,,true
false,"Hawley Crescent, Camden Town",1384774620000,false,BikePoints_713,200122,,true
false,"Stewart's Road, Wandsworth Road",1384865400000,false,BikePoints_714,300055,,true
false,"Aylward Street, Stepney",1384868460000,false,BikePoints_715,300049,,true
false,"Dunston Road , Haggerston",1384952400000,false,BikePoints_717,300024,,true
false,"Ada Street, Hackney Central",1384962840000,false,BikePoints_718,300040,,true
false,"Victoria Park Road, Hackney Central",1384968480000,false,BikePoints_719,300011,,true
false,"Star Road, West Kensington",1385025840000,false,BikePoints_720,300038,,true
false,"Wendon Street, Old Ford",1385028480000,false,BikePoints_721,300039,,true
false,"Finnis Street, Bethnal Green",1385028600000,false,BikePoints_722,300041,,true
false,"Stephendale Road, Sands End",1385035380000,false,BikePoints_723,300053,,true
false,"Alma Road, Wandsworth",1385125380000,false,BikePoints_724,300046,,true
false,"Walworth Square, Walworth",1563352500000,false,BikePoints_725,300050,,true
false,"Alfreda Street, Battersea Park",1385128740000,false,BikePoints_726,300047,,true
false,"Chesilton Road, Fulham",1385132160000,false,BikePoints_727,300054,,true
false,"Putney Bridge Road, East Putney",1385466780000,false,BikePoints_728,300044,,true
false,"St. Peter's Terrace, Fulham",1385391300000,false,BikePoints_729,300043,,true
false,"Bridge Avenue, Hammersmith",1385132580000,false,BikePoints_730,300082,,true
false,"Michael Road, Walham Green",1385394720000,false,BikePoints_731,300095,,true
false,"Duke Street Hill, London Bridge",1385458020000,false,BikePoints_732,300083,,true
false,"Park Lane, Mayfair",1385460840000,false,BikePoints_733,300093,,true
false,"Plough Terrace, Clapham Junction",1385464500000,false,BikePoints_734,300094,,true
false,"Grant Road East, Clapham Junction",1385383080000,false,BikePoints_735,200120,,true
false,"Queensdale Road, Shepherd's Bush",1385472900000,false,BikePoints_736,300088,,true
false,"Fulham Broadway, Walham Green",1385554620000,false,BikePoints_737,300086,,true
false,"Imperial Road, Sands End",1385563380000,false,BikePoints_738,300087,,true
false,"Hortensia Road, West Brompton",1385631000000,false,BikePoints_739,300091,,true
false,"Sirdar Road, Avondale",1385635440000,false,BikePoints_740,300084,,true
false,"Freston Road, Avondale",1385640120000,false,BikePoints_741,300085,,true
false,"Blenheim Crescent, Ladbroke Grove",1385649540000,false,BikePoints_742,300090,,true
false,"Oxford Road, Putney",1385723700000,false,BikePoints_743,300078,,true
false,"Ingrave Street, Clapham Junction",1385729760000,false,BikePoints_744,300077,,true
false,"Upcerne Road, West Chelsea",1385740020000,false,BikePoints_745,300075,,true
false,"Lots Road, West Chelsea",1385985720000,false,BikePoints_746,300076,,true
false,"Ormonde Gate, Chelsea",1385997240000,false,BikePoints_747,300089,,true
false,"Hertford Road, De Beauvoir Town",1386159900000,false,BikePoints_748,300092,,true
false,"Haggerston Road, Haggerston",1386172440000,false,BikePoints_749,300081,,true
false,"Culvert Road, Battersea",1386240360000,false,BikePoints_750,300080,,true
false,"Newton Street, Covent Garden",1386250800000,false,BikePoints_751,300074,,true
false,"London Street, Paddington",1650364320000,false,BikePoints_752,300079,,true
false,"Grenfell Road, Avondale",1389003540000,false,BikePoints_754,300067,,true
false,"The Vale, Chelsea",1389008580000,false,BikePoints_755,300058,,true
false,"Prince of Wales Drive, Battersea Park",1390223040000,false,BikePoints_756,300073,,true
false,"Harcourt Terrace, West Brompton",1389094260000,false,BikePoints_757,300069,,true
false,"Westbourne Park Road, Portobello",1389178020000,false,BikePoints_758,300057,,true
false,"Broadley Terrace, Marylebone",1389627480000,false,BikePoints_759,300072,,true
false,"Humbolt Road, Fulham",1389781800000,false,BikePoints_761,300068,,true
false,"Storey's Gate, Westminster",1392039000000,false,BikePoints_762,200202,,true
false,"Mile End Park Leisure Centre, Mile End",1392043020000,false,BikePoints_763,300027,,true
false,"St. John's Road, Clapham Junction",1392633480000,false,BikePoints_764,200185,,true
false,"Ranelagh Gardens, Fulham",1392986940000,false,BikePoints_765,300064,,true
false,"Ram Street, Wandsworth",1392894840000,false,BikePoints_766,200079,,true
false,"Santos Road, Wandsworth",1393406280000,false,BikePoints_767,200177,,true
