temporary,terminal_name,common_name,locked,place_id,install_date,installed,removal_date
false,300250,"Temple Gardens, Temple",false,BikePoints_842,1600856400000,true,
false,300252,"Canada Water Station, Rotherhithe",false,BikePoints_844,1608298140000,true,
false,300253,"Bermondsey Station, Bermondsey",false,BikePoints_845,1608303660000,true,
false,001023,"River Street , Clerkenwell",false,BikePoints_1,1278947280000,true,
false,001018,"Phillimore Gardens, Kensington",false,BikePoints_2,1278585780000,true,
false,001012,"Christopher Street, Liverpool Street",false,BikePoints_3,1278240360000,true,
false,001013,"St. Chad's Street, King's Cross",false,BikePoints_4,1278241080000,true,
false,003420,"Sedding Street, Sloane Square",false,BikePoints_5,1278241440000,true,
false,003424,"Broadcasting House, Marylebone",false,BikePoints_6,1278241680000,true,
false,003422,"Charlbert Street, St. John's Wood",false,BikePoints_7,1278241800000,true,
false,003423,"Maida Vale, Maida Vale",false,BikePoints_8,1540984560000,true,
false,001015,"New Globe Walk, Bankside",false,BikePoints_9,1278242340000,true,
false,001024,"Park Street, Bankside",false,BikePoints_10,1278242460000,true,
false,001022,"Brunswick Square, Bloomsbury",false,BikePoints_11,1278340440000,true,
false,000980,"Malet Street, Bloomsbury",false,BikePoints_12,1278340620000,true,
false,000970,"Scala Street, Fitzrovia",false,BikePoints_13,1278340800000,true,
false,001011,"Belgrove Street , King's Cross",false,BikePoints_14,1278341040000,true,
false,000988,"Great Russell Street, Bloomsbury",false,BikePoints_15,1278341220000,true,
false,001010,"Cartwright Gardens , Bloomsbury",false,BikePoints_16,1278341400000,true,
false,001008,"Hatton Wall, Holborn",false,BikePoints_17,1278423720000,true,
false,001007,"Drury Lane, Covent Garden",false,BikePoints_18,1278426300000,true,
false,001009,"Taviton Street, Bloomsbury",false,BikePoints_19,1278426720000,true,
false,000993,"Drummond Street , Euston",false,BikePoints_20,1544659200000,true,
false,003426,"Lansdowne Drive, Hackney Central",false,BikePoints_21,1278427740000,true,
false,003425,"Northington Street , Holborn",false,BikePoints_22,1278428880000,true,
false,003421,"Red Lion Square, Holborn",false,BikePoints_23,1278429300000,true,
