place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_77,000978,false,"Russell Square Station, Bloomsbury",true,1278946860000,,false
BikePoints_78,003433,false,"Sadlers Sports Centre, Finsbury",true,1278948480000,,false
BikePoints_79,003455,false,"Arundel Street, Temple",true,1509018360000,,false
BikePoints_80,003448,false,"Webber Street , Southwark",true,1278952440000,,false
BikePoints_81,003450,false,"Great Titchfield Street, Fitzrovia",true,1279012980000,,false
BikePoints_82,003453,false,"Chancery Lane, Holborn",true,1279015680000,,false
BikePoints_83,003452,false,"Panton Street, West End",true,1279015800000,,false
BikePoints_84,003449,false,"Breams Buildings, Holborn",true,1279020240000,,false
BikePoints_261,003491,false,"Princes Square, Bayswater",true,1279711200000,,false
BikePoints_264,001146,false,"Tysoe Street, Clerkenwell",true,1279712520000,,false
BikePoints_265,003490,false,"Southwick Street, Paddington",true,1279714320000,,false
BikePoints_267,001155,false,"Regency Street, Westminster",true,1279714740000,,false
BikePoints_269,001209,false,"Empire Square, The Borough",true,1279715100000,,false
BikePoints_271,001136,false,"London Zoo,  The Regent's Park",true,1279720920000,,false
BikePoints_274,001134,false,"Warwick Road, Olympia",true,1279721580000,,false
BikePoints_276,001098,false,"Lower Thames Street, Monument",true,1279723200000,,false
BikePoints_277,001143,false,"Kensington Church Street, Kensington",true,1279723320000,,false
BikePoints_279,001108,false,"North Wharf Road, Paddington",true,1279723740000,,false
BikePoints_280,003462,false,"Royal Avenue 2, Chelsea",true,1279726440000,,false
BikePoints_281,003480,false,"Smith Square, Westminster",true,1279726620000,,false
BikePoints_283,001141,false,"Kingsway, Covent Garden",true,1279727220000,,false
BikePoints_284,001117,false,"Lambeth North Station, Waterloo",true,1279727580000,,false
BikePoints_287,001156,false,"Bedford Way, Bloomsbury",true,1279728060000,,false
BikePoints_288,001138,false,"Elizabeth Bridge, Victoria",true,1279793820000,,false
BikePoints_289,003493,false,"South Audley Street, Mayfair",true,1279794060000,,false
BikePoints_291,001135,false,"Claverton Street, Pimlico",true,1279800420000,,false
BikePoints_293,001214,false,"Kensington Olympia Station, Olympia",true,1279800780000,,false
BikePoints_295,001216,false,"Swan Street, The Borough",true,1279801080000,,false
BikePoints_296,200069,false,"Knaresborough Place, Earl's Court",true,1377258960000,,false
BikePoints_297,003498,false,"Geraldine Street, Elephant & Castle",true,1279801560000,,false
BikePoints_298,001213,false,"Curlew Street, Shad Thames",true,1279805640000,,false
BikePoints_301,001152,false,"Marylebone Lane, Marylebone",true,1279809000000,,false
BikePoints_302,003492,false,"Putney Pier, Wandsworth",true,1279812360000,,false
BikePoints_306,003497,false,"Rathbone Street, Fitzrovia",true,1279816260000,,false
BikePoints_311,003494,false,"Foley Street, Fitzrovia",true,1279880100000,,false
BikePoints_312,001130,false,"Grove End Road, St. John's Wood",true,1279880340000,,false
BikePoints_313,003495,false,"Wells Street, Fitzrovia",true,1279880520000,,false
BikePoints_314,003485,false,"Tyers Gate, Bermondsey",true,1279884480000,,false
BikePoints_317,001208,false,"Dickens Square, Borough",true,1279885080000,,false
BikePoints_319,003500,false,"Baldwin Street, St. Luke's",true,1279890360000,,false
BikePoints_320,001148,false,"Queen Mother Sports Centre, Victoria",true,1279890840000,,false
BikePoints_321,002637,false,"Bermondsey Street, Bermondsey",true,1279891020000,,false
BikePoints_322,003502,false,"Palissy Street, Shoreditch",true,1279891920000,,false
BikePoints_323,003501,false,"Clifton Street, Shoreditch",true,1279892040000,,false
BikePoints_326,001131,false,"Graham Street, Angel",true,1279896840000,,false
BikePoints_327,001128,false,"New North Road 1, Hoxton",true,1280133420000,,false
BikePoints_328,002641,false,"New North Road 2, Hoxton",true,1280133540000,,false
BikePoints_329,002636,false,"Prince Albert Road, The Regent's Park",true,1280133720000,,false
BikePoints_331,001211,false,"Bunhill Row, Moorgate",true,1280141460000,,false
BikePoints_332,001210,false,"Nevern Place, Earl's Court",true,1280142360000,,false
BikePoints_337,002589,false,"Pembridge Villas, Notting Hill",true,1280153100000,,false
BikePoints_339,001127,false,"Risinghill Street, Angel",true,1280160600000,,false
BikePoints_344,001222,false,"Goswell Road (City Uni), Finsbury",true,1280226120000,,false
BikePoints_345,001218,false,"Flood Street, Chelsea",true,1280229720000,,false
BikePoints_347,001219,false,"Lower Marsh, Waterloo",true,1283762460000,,false
BikePoints_348,010627,false,"Grosvenor Square, Mayfair",true,1284540540000,,false
BikePoints_350,001231,false,"Queen's Gate, Kensington Gardens",true,1285756260000,,false
BikePoints_351,001226,false,"Macclesfield Rd, St Lukes",true,1286790480000,,false
BikePoints_352,001224,false,"Vauxhall Street, Vauxhall",true,1286796360000,,false
BikePoints_353,010623,false,"Greycoat Street , Westminster",true,1287652080000,,false
BikePoints_358,001229,false,"High Holborn , Covent Garden",true,1290079860000,,false
BikePoints_647,200181,false,"Richmond Way, Shepherd's Bush",true,1382347140000,,false
BikePoints_648,200171,false,"Peterborough Road, Sands End",true,1382352840000,,false
BikePoints_649,300009,false,"World's End Place, West Chelsea",true,1382348400000,,false
BikePoints_650,300034,false,"St. Mark's Road, North Kensington",true,1382438520000,,false
BikePoints_651,300030,false,"Thorndike Close, West Chelsea",true,1382441580000,,false
BikePoints_652,300022,false,"Evesham Street, Avondale",true,1381848540000,,false
BikePoints_653,200196,false,"Simpson Street, Clapham Junction",true,1382539860000,,false
BikePoints_654,200223,false,"Ashmole Estate, Oval",true,1382520000000,,false
BikePoints_655,200221,false,"Crabtree Lane, Fulham",true,1382611200000,,false
BikePoints_656,200040,false,"Broomhouse Lane, Parsons Green",true,1382614560000,,false
BikePoints_657,200220,false,"Blythe Road West, Shepherd's Bush",true,1382621400000,,false
BikePoints_658,300005,false,"Ethelburga Estate, Battersea Park",true,1383731100000,,false
BikePoints_659,200212,false,"Blackfriars Station, St. Paul's",true,1382697060000,,false
BikePoints_660,300020,false,"West Kensington Station, West Kensington",true,1382705340000,,false
BikePoints_661,300023,false,"All Saints Church, Portobello",true,1382887680000,,false
BikePoints_662,200189,false,"Phene Street, Chelsea",true,1382866680000,,false
BikePoints_663,200124,false,"Clarendon Road, Avondale",true,1382870040000,,false
BikePoints_664,300013,false,"Austin Road, Battersea Park",true,1382964300000,,false
BikePoints_665,200113,false,"Smugglers Way, Wandsworth",true,1382975700000,,false
BikePoints_667,200209,false,"Shepherd's Bush Road North, Shepherd's Bush",true,1383136140000,,false
BikePoints_668,300037,false,"Ravenscourt Park Station, Hammersmith",true,1383143160000,,false
BikePoints_669,300036,false,"Teversham Lane, Stockwell",true,1383147660000,,false
BikePoints_670,200169,false,"Ashley Crescent, Battersea",true,1383212640000,,false
BikePoints_671,300052,false,"Parsons Green Station, Parsons Green",true,1383217920000,,false
BikePoints_673,300051,false,"Hibbert Street, Battersea",true,1383319500000,,false
BikePoints_674,300035,false,"Carnegie Street, King's Cross",true,,,false
BikePoints_675,200126,false,"Usk Road, Clapham Junction",true,1383322320000,,false
BikePoints_676,200207,false,"Hartington Road, Stockwell",true,1383584400000,,false
BikePoints_677,200023,false,"Heath Road, Battersea",true,1383476160000,,false
BikePoints_678,200170,false,"Esmond Street, Putney",true,1383653580000,,false
BikePoints_679,200114,false,"Orbel Street, Battersea",true,1383661200000,,false
BikePoints_680,200210,false,"Westbridge Road, Battersea",true,1383657480000,,false
BikePoints_681,200043,false,"Bishop's Avenue, Fulham",true,1383733440000,,false
BikePoints_682,200059,false,"Crisp Road, Hammersmith",true,1383738240000,,false
BikePoints_683,200119,false,"Dorothy Road, Clapham Junction",true,1383750420000,,false
BikePoints_684,200188,false,"Neville Gill Close, Wandsworth",true,1383823380000,,false
BikePoints_685,200219,false,"Osiers Road, Wandsworth",true,1383827400000,,false
BikePoints_686,200097,false,"Beryl Road, Hammersmith",true,1383835560000,,false
BikePoints_688,200204,false,"Northfields, Wandsworth",true,1383915240000,,false
BikePoints_689,200106,false,"Spanish Road, Clapham Junction",true,1383918180000,,false
BikePoints_690,200199,false,"Stanley Grove, Battersea",true,1383924660000,,false
BikePoints_691,200184,false,"Erin Close, Walham Green",true,1384763520000,,false
BikePoints_692,200112,false,"Cadogan Close, Victoria Park",true,1384166220000,,false
BikePoints_693,300019,false,"Felsham Road, Putney",true,1384001160000,,false
BikePoints_694,300033,false,"Putney Rail Station, Putney",true,1384004640000,,false
BikePoints_695,300031,false,"Islington Green, Angel",true,1384172820000,,false
BikePoints_696,300018,false,"Charing Cross Hospital, Hammersmith",true,1384180020000,,false
BikePoints_697,200129,false,"Charlotte Terrace, Angel",true,1384251120000,,false
BikePoints_698,200121,false,"Shoreditch Court, Haggerston",true,1384254300000,,false
BikePoints_699,200057,false,"Belford House, Haggerston",true,1384256040000,,false
BikePoints_700,200201,false,"Battersea Church Road, Battersea",true,1384343280000,,false
BikePoints_701,200077,false,"Vicarage Crescent, Battersea",true,1384345080000,,false
BikePoints_702,200213,false,"Durant Street, Bethnal Green",true,1384345860000,,false
BikePoints_703,200094,false,"St. Bride Street, Holborn",true,1384357800000,,false
BikePoints_704,200063,false,"Mexfield Road, East Putney",true,1384443480000,,false
BikePoints_705,300042,true,"Upper Richmond Road, Putney",true,1384453020000,1539845700000,false
BikePoints_706,200193,false,"Snowsfields, London Bridge",true,1384420920000,,false
BikePoints_707,200197,false,"Barons Court Station, West Kensington",true,1384435680000,,false
BikePoints_708,200217,false,"Disraeli Road, Putney",true,1384530180000,,false
BikePoints_709,200205,false,"Montserrat Road , Putney",true,1384510140000,,false
BikePoints_710,300045,false,"Albert Bridge Road, Battersea Park",true,1384520580000,,false
BikePoints_711,300028,false,"Everington Street, Fulham",true,1384791540000,,false
BikePoints_712,300056,false,"Mile End Stadium, Mile End",true,1384797120000,,false
BikePoints_713,200122,false,"Hawley Crescent, Camden Town",true,1384774620000,,false
BikePoints_714,300055,false,"Stewart's Road, Wandsworth Road",true,1384865400000,,false
BikePoints_715,300049,false,"Aylward Street, Stepney",true,1384868460000,,false
BikePoints_717,300024,false,"Dunston Road , Haggerston",true,1384952400000,,false
BikePoints_718,300040,false,"Ada Street, Hackney Central",true,1384962840000,,false
BikePoints_719,300011,false,"Victoria Park Road, Hackney Central",true,1384968480000,,false
BikePoints_720,300038,false,"Star Road, West Kensington",true,1385025840000,,false
BikePoints_721,300039,false,"Wendon Street, Old Ford",true,1385028480000,,false
BikePoints_722,300041,false,"Finnis Street, Bethnal Green",true,1385028600000,,false
