locked,temporary,install_date,installed,removal_date,common_name,place_id,terminal_name
false,false,1278241440000,true,,"Sedding Street, Sloane Square",BikePoints_5,003420
false,false,1278241680000,true,,"Broadcasting House, Marylebone",BikePoints_6,003424
false,false,1278241800000,true,,"Charlbert Street, St. John's Wood",BikePoints_7,003422
false,false,1540984560000,true,,"Maida Vale, Maida Vale",BikePoints_8,003423
false,false,1278242340000,true,,"New Globe Walk, Bankside",BikePoints_9,001015
false,false,1278242460000,true,,"Park Street, Bankside",BikePoints_10,001024
false,false,1278340440000,true,,"Brunswick Square, Bloomsbury",BikePoints_11,001022
false,false,1278340620000,true,,"Malet Street, Bloomsbury",BikePoints_12,000980
false,false,1278340800000,true,,"Scala Street, Fitzrovia",BikePoints_13,000970
false,false,1278341040000,true,,"Belgrove Street , King's Cross",BikePoints_14,001011
false,false,1278341220000,true,,"Great Russell Street, Bloomsbury",BikePoints_15,000988
false,false,1278341400000,true,,"Cartwright Gardens , Bloomsbury",BikePoints_16,001010
false,false,1278423720000,true,,"Hatton Wall, Holborn",BikePoints_17,001008
false,false,1278426300000,true,,"Drury Lane, Covent Garden",BikePoints_18,001007
false,false,1278426720000,true,,"Taviton Street, Bloomsbury",BikePoints_19,001009
false,false,1544659200000,true,,"Drummond Street , Euston",BikePoints_20,000993
false,false,1278427740000,true,,"Lansdowne Drive, Hackney Central",BikePoints_21,003426
false,false,1278428880000,true,,"Northington Street , Holborn",BikePoints_22,003425
false,false,1278429300000,true,,"Red Lion Square, Holborn",BikePoints_23,003421
false,false,1278430140000,true,,"British Museum, Bloomsbury",BikePoints_24,000981
false,false,1278433200000,true,,"Doric Way , Somers Town",BikePoints_25,001004
false,false,1278434160000,true,,"Ampton Street , Clerkenwell",BikePoints_26,001019
false,false,1278500160000,true,,"Bouverie Street, Temple",BikePoints_27,001021
false,false,1278500460000,true,,"Bolsover Street, Fitzrovia",BikePoints_28,001025
false,false,1278501180000,true,,"Hereford Road, Bayswater",BikePoints_29,001016
false,false,1278501420000,true,,"Windsor Terrace, Hoxton",BikePoints_30,001029
false,false,1278501600000,true,,"Fanshaw Street, Hoxton",BikePoints_31,003427
false,false,1278506700000,true,,"Leonard Circus , Shoreditch",BikePoints_32,001020
false,false,1278506940000,true,,"Central House, Aldgate",BikePoints_33,003430
false,false,1278507060000,true,,"Pancras Road, King's Cross",BikePoints_34,003428
false,false,1278519900000,true,,"De Vere Gardens, Kensington",BikePoints_36,003446
false,false,1278520020000,true,,"Penywern Road, Earl's Court",BikePoints_37,003444
false,false,1278584880000,true,,"Abingdon Villas, Kensington",BikePoints_38,003442
false,false,1278601740000,true,,"Shoreditch High Street, Shoreditch",BikePoints_39,003445
false,false,1278601980000,true,,"Commercial Street, Shoreditch",BikePoints_40,001083
false,false,1278602280000,true,,"Pindar Street, Liverpool Street",BikePoints_41,001084
false,false,1278602700000,true,,"Wenlock Road , Hoxton",BikePoints_42,000979
false,false,1278687720000,true,,"Crawford Street, Marylebone",BikePoints_43,001036
false,false,1278687900000,true,,"Bruton Street, Mayfair",BikePoints_44,001034
false,false,1278691320000,true,,"Boston Place, Marylebone",BikePoints_45,001035
false,false,1278691800000,true,,"Nesham Street, Wapping",BikePoints_46,001031
false,false,1278749160000,true,,"Warwick Avenue Station, Maida Vale",BikePoints_47,001027
false,false,1278749460000,true,,"Godliman Street, St. Paul's",BikePoints_48,000971
false,false,1278749940000,true,,"Curzon Street, Mayfair",BikePoints_49,003437
false,false,1278750240000,true,,"East Road, Hoxton",BikePoints_50,001054
false,false,1278750540000,true,,"Finsbury Library , Finsbury",BikePoints_51,000986
false,false,1278750840000,true,,"Roscoe Street, St. Luke's",BikePoints_52,001026
false,false,1278752580000,true,,"Grafton Street, Mayfair",BikePoints_53,003431
false,false,1278766740000,true,,"Golden Lane, Barbican",BikePoints_54,000967
false,false,1278766980000,true,,"Finsbury Circus, Liverpool Street",BikePoints_55,000984
false,false,1278767460000,true,,"Guilford Street , Bloomsbury",BikePoints_57,000974
false,false,1278767700000,true,,"New Inn Yard, Shoreditch",BikePoints_58,001032
false,false,1278769140000,true,,"Lisson Grove, St. John's Wood",BikePoints_60,001030
false,false,1278773820000,true,,"Great Dover Street, The Borough",BikePoints_61,001017
false,false,1278773940000,true,,"Cotton Garden Estate, Kennington",BikePoints_62,000990
false,false,1278774120000,true,,"Murray Grove , Hoxton",BikePoints_63,000989
false,false,1278774300000,true,,"William IV Street, Strand",BikePoints_64,001028
false,false,1278840660000,true,,"Gower Place , Euston",BikePoints_65,000969
false,false,1278845280000,true,,"Holborn Circus, Holborn",BikePoints_66,000982
false,false,1278847440000,true,,"Hatton Garden, Holborn",BikePoints_67,000985
false,false,1278857040000,true,,"Theobald's Road , Holborn",BikePoints_68,000975
false,false,1278861540000,true,,"Euston Road, Euston",BikePoints_69,000983
false,false,1278863340000,true,,"Calshot Street , King's Cross",BikePoints_70,001066
false,false,1278924900000,true,,"Newgate Street , St. Paul's",BikePoints_71,001074
false,false,1276948860000,true,,"Farringdon Lane, Clerkenwell",BikePoints_72,003432
false,false,1278941040000,true,,"Old Street Station, St. Luke's",BikePoints_73,001064
false,false,1278941160000,true,,"Vauxhall Cross, Vauxhall",BikePoints_74,001000
false,false,1278945180000,true,,"Torrens Street, Angel",BikePoints_75,001060
false,false,1278946560000,true,,"Longford Street, The Regent's Park",BikePoints_76,000976
false,false,1278946860000,true,,"Russell Square Station, Bloomsbury",BikePoints_77,000978
false,false,1278948480000,true,,"Sadlers Sports Centre, Finsbury",BikePoints_78,003433
false,false,1509018360000,true,,"Arundel Street, Temple",BikePoints_79,003455
false,false,1278952440000,true,,"Webber Street , Southwark",BikePoints_80,003448
false,false,1279012980000,true,,"Great Titchfield Street, Fitzrovia",BikePoints_81,003450
