installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"Victoria Rise, Clapham Common",1456404240000,,BikePoints_794,300204
true,false,false,"Euston Square Gardens, Euston",1456744740000,,BikePoints_795,300203
true,false,false,"Coram Street, Bloomsbury",1456746420000,,BikePoints_796,300201
true,false,false,"Ossulston Street, Somers Town",1456839540000,,BikePoints_797,300211
true,false,false,"Birkenhead Street, King's Cross",1464787980000,,BikePoints_798,300212
true,false,false,"Kings Gate House, Westminster",1464876480000,,BikePoints_799,300202
true,false,false,"Sopwith Way, Battersea Park",1457107140000,,BikePoints_800,300248
true,false,false,"Lavington Street, Bankside",1458824640000,,BikePoints_801,300208
true,false,false,"Albert Square, Stockwell",1464865500000,,BikePoints_802,300209
true,false,false,"Southwark Street, Bankside",1464787860000,,BikePoints_803,300238
true,false,false,"Good's Way, King's Cross",1459410960000,,BikePoints_804,300243
true,false,false,"The Metropolitan, Portobello",1467626400000,,BikePoints_805,300244
true,false,false,"Handyside Street, King's Cross",1472723460000,,BikePoints_806,300241
true,false,false,"Bevington Road West, North Kensington",1466715600000,,BikePoints_807,300236
true,false,false,"Gauden Road, Clapham",1461753540000,,BikePoints_808,300207
true,false,false,"Lincoln's Inn Fields, Holborn",1467640800000,,BikePoints_809,300240
true,false,false,"Tate Modern, Bankside",1464943200000,,BikePoints_810,300237
true,false,false,"Westferry Circus, Canary Wharf",1469538960000,,BikePoints_811,300228
true,false,false,"Here East North, Queen Elizabeth Olympic Park",1469005200000,,BikePoints_812,300217
true,false,false,"New Spring Gardens Walk, Vauxhall",1467627120000,,BikePoints_813,300224
true,false,false,"Clapham Road, Lingham Street, Stockwell",1464870060000,,BikePoints_814,300245
true,false,false,"Lambeth Palace Road, Waterloo",1462357680000,,BikePoints_815,300231
true,false,false,"Here East South, Queen Elizabeth Olympic Park",1489065360000,,BikePoints_816,300219
true,false,false,"Riverlight South, Nine Elms",1464949140000,,BikePoints_817,300232
true,false,false,"Westminster Pier, Westminster",1563958740000,,BikePoints_818,300249
true,false,false,"Belvedere Road 2, South Bank",1476360120000,,BikePoints_819,300246
true,false,false,"Victory Place, Walworth",1481807940000,,BikePoints_820,300239
true,false,false,"Battersea Power Station, Battersea Park",1487335920000,,BikePoints_821,300221
true,false,false,"Allington Street, Victoria",1500554880000,,BikePoints_826,300242
true,false,false,"Cranmer Road, Stockwell",1517788800000,,BikePoints_827,300247
true,false,false,"Normandy Road, Stockwell",1517788800000,,BikePoints_828,300225
true,false,false,"Wynne Road, Stockwell",1517443200000,,BikePoints_829,300230
true,false,false,"Sidney Road, Stockwell",1517961600000,,BikePoints_830,300229
