common_name,place_id,locked,temporary,terminal_name,install_date,installed,removal_date
"Victoria & Albert Museum, South Kensington",BikePoints_781,false,false,300032,1446485340000,true,
"Halford Road, West Kensington",BikePoints_782,false,false,300210,1446485820000,true,
"Monier Road, Hackney Wick",BikePoints_783,false,false,300213,1448529660000,true,
"East Village, Queen Elizabeth Olympic Park",BikePoints_784,false,false,300200,1452789240000,true,
"Aquatic Centre, Queen Elizabeth Olympic Park",BikePoints_785,false,false,300233,1451908440000,true,
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",BikePoints_786,false,false,300029,1451918160000,true,
"Timber Lodge, Queen Elizabeth Olympic Park",BikePoints_787,false,false,300227,1451900700000,true,
"Copper Box Arena, Queen Elizabeth Olympic Park",BikePoints_788,false,false,300226,1451906880000,true,
"Podium, Queen Elizabeth Olympic Park",BikePoints_789,false,false,300021,1452507000000,true,
"Stratford Station, Stratford",BikePoints_790,false,false,300234,1452687420000,true,
"Blackfriars Road, Southwark",BikePoints_792,false,false,300214,1454926380000,true,
"Cromer Street, Bloomsbury",BikePoints_793,false,false,300205,1459424760000,true,
"Victoria Rise, Clapham Common",BikePoints_794,false,false,300204,1456404240000,true,
"Euston Square Gardens, Euston",BikePoints_795,false,false,300203,1456744740000,true,
"Coram Street, Bloomsbury",BikePoints_796,false,false,300201,1456746420000,true,
"Ossulston Street, Somers Town",BikePoints_797,false,false,300211,1456839540000,true,
"Birkenhead Street, King's Cross",BikePoints_798,false,false,300212,1464787980000,true,
"Kings Gate House, Westminster",BikePoints_799,false,false,300202,1464876480000,true,
"Sopwith Way, Battersea Park",BikePoints_800,false,false,300248,1457107140000,true,
"Lavington Street, Bankside",BikePoints_801,false,false,300208,1458824640000,true,
"Albert Square, Stockwell",BikePoints_802,false,false,300209,1464865500000,true,
"Southwark Street, Bankside",BikePoints_803,false,false,300238,1464787860000,true,
"Good's Way, King's Cross",BikePoints_804,false,false,300243,1459410960000,true,
"The Metropolitan, Portobello",BikePoints_805,false,false,300244,1467626400000,true,
"Handyside Street, King's Cross",BikePoints_806,false,false,300241,1472723460000,true,
"Bevington Road West, North Kensington",BikePoints_807,false,false,300236,1466715600000,true,
"Gauden Road, Clapham",BikePoints_808,false,false,300207,1461753540000,true,
"Lincoln's Inn Fields, Holborn",BikePoints_809,false,false,300240,1467640800000,true,
"Tate Modern, Bankside",BikePoints_810,false,false,300237,1464943200000,true,
"Westferry Circus, Canary Wharf",BikePoints_811,false,false,300228,1469538960000,true,
"Here East North, Queen Elizabeth Olympic Park",BikePoints_812,false,false,300217,1469005200000,true,
"New Spring Gardens Walk, Vauxhall",BikePoints_813,false,false,300224,1467627120000,true,
"Clapham Road, Lingham Street, Stockwell",BikePoints_814,false,false,300245,1464870060000,true,
"Lambeth Palace Road, Waterloo",BikePoints_815,false,false,300231,1462357680000,true,
"Here East South, Queen Elizabeth Olympic Park",BikePoints_816,false,false,300219,1489065360000,true,
"Riverlight South, Nine Elms",BikePoints_817,false,false,300232,1464949140000,true,
"Westminster Pier, Westminster",BikePoints_818,false,false,300249,1563958740000,true,
"Belvedere Road 2, South Bank",BikePoints_819,false,false,300246,1476360120000,true,
"Victory Place, Walworth",BikePoints_820,false,false,300239,1481807940000,true,
"Battersea Power Station, Battersea Park",BikePoints_821,false,false,300221,1487335920000,true,
"Allington Street, Victoria",BikePoints_826,false,false,300242,1500554880000,true,
"Cranmer Road, Stockwell",BikePoints_827,false,false,300247,1517788800000,true,
"Normandy Road, Stockwell",BikePoints_828,false,false,300225,1517788800000,true,
"Wynne Road, Stockwell",BikePoints_829,false,false,300230,1517443200000,true,
"Sidney Road, Stockwell",BikePoints_830,false,false,300229,1517961600000,true,
"St John's Crescent, Brixton",BikePoints_831,false,false,300215,1517961600000,true,
"Ferndale Road, Brixton",BikePoints_832,false,false,200240,1517961600000,true,
"Saltoun Road, Brixton",BikePoints_833,false,false,300206,1517875200000,true,
"Gas Holders, Battersea Park",BikePoints_834,false,false,300216,1529449200000,true,
"Farringdon Street, Holborn",BikePoints_835,false,false,300220,,true,
"York Way, Kings Cross",BikePoints_836,false,false,300235,,true,
"Fore Street Avenue, Guildhall",BikePoints_838,false,false,300222,1539254700000,true,
"Sea Containers, South Bank",BikePoints_839,false,false,200144,1544611140000,true,
"George Row, Bermondsey",BikePoints_840,false,false,002679,1599752640000,true,
"Tower Wharf, Bermondsey",BikePoints_841,false,false,002667,,true,
"Temple Gardens, Temple",BikePoints_842,false,false,300250,1600856400000,true,
"Canada Water Station, Rotherhithe",BikePoints_844,false,false,300252,1608298140000,true,
"Bermondsey Station, Bermondsey",BikePoints_845,false,false,300253,1608303660000,true,
"River Street , Clerkenwell",BikePoints_1,false,false,001023,1278947280000,true,
"Phillimore Gardens, Kensington",BikePoints_2,false,false,001018,1278585780000,true,
"Christopher Street, Liverpool Street",BikePoints_3,false,false,001012,1278240360000,true,
"St. Chad's Street, King's Cross",BikePoints_4,false,false,001013,1278241080000,true,
"Sedding Street, Sloane Square",BikePoints_5,false,false,003420,1278241440000,true,
"Broadcasting House, Marylebone",BikePoints_6,false,false,003424,1278241680000,true,
"Charlbert Street, St. John's Wood",BikePoints_7,false,false,003422,1278241800000,true,
"Maida Vale, Maida Vale",BikePoints_8,false,false,003423,1540984560000,true,
"New Globe Walk, Bankside",BikePoints_9,false,false,001015,1278242340000,true,
"Park Street, Bankside",BikePoints_10,false,false,001024,1278242460000,true,
"Brunswick Square, Bloomsbury",BikePoints_11,false,false,001022,1278340440000,true,
"Malet Street, Bloomsbury",BikePoints_12,false,false,000980,1278340620000,true,
"Scala Street, Fitzrovia",BikePoints_13,false,false,000970,1278340800000,true,
"Belgrove Street , King's Cross",BikePoints_14,false,false,001011,1278341040000,true,
"Great Russell Street, Bloomsbury",BikePoints_15,false,false,000988,1278341220000,true,
"Cartwright Gardens , Bloomsbury",BikePoints_16,false,false,001010,1278341400000,true,
"Hatton Wall, Holborn",BikePoints_17,false,false,001008,1278423720000,true,
"Drury Lane, Covent Garden",BikePoints_18,false,false,001007,1278426300000,true,
"Taviton Street, Bloomsbury",BikePoints_19,false,false,001009,1278426720000,true,
"Drummond Street , Euston",BikePoints_20,false,false,000993,1544659200000,true,
"Lansdowne Drive, Hackney Central",BikePoints_21,false,false,003426,1278427740000,true,
"Northington Street , Holborn",BikePoints_22,false,false,003425,1278428880000,true,
"Red Lion Square, Holborn",BikePoints_23,false,false,003421,1278429300000,true,
"British Museum, Bloomsbury",BikePoints_24,false,false,000981,1278430140000,true,
"Doric Way , Somers Town",BikePoints_25,false,false,001004,1278433200000,true,
"Ampton Street , Clerkenwell",BikePoints_26,false,false,001019,1278434160000,true,
"Bouverie Street, Temple",BikePoints_27,false,false,001021,1278500160000,true,
"Bolsover Street, Fitzrovia",BikePoints_28,false,false,001025,1278500460000,true,
"Hereford Road, Bayswater",BikePoints_29,false,false,001016,1278501180000,true,
"Windsor Terrace, Hoxton",BikePoints_30,false,false,001029,1278501420000,true,
"Fanshaw Street, Hoxton",BikePoints_31,false,false,003427,1278501600000,true,
"Leonard Circus , Shoreditch",BikePoints_32,false,false,001020,1278506700000,true,
"Central House, Aldgate",BikePoints_33,false,false,003430,1278506940000,true,
"Pancras Road, King's Cross",BikePoints_34,false,false,003428,1278507060000,true,
"De Vere Gardens, Kensington",BikePoints_36,false,false,003446,1278519900000,true,
"Penywern Road, Earl's Court",BikePoints_37,false,false,003444,1278520020000,true,
"Abingdon Villas, Kensington",BikePoints_38,false,false,003442,1278584880000,true,
"Shoreditch High Street, Shoreditch",BikePoints_39,false,false,003445,1278601740000,true,
"Commercial Street, Shoreditch",BikePoints_40,false,false,001083,1278601980000,true,
"Pindar Street, Liverpool Street",BikePoints_41,false,false,001084,1278602280000,true,
"Wenlock Road , Hoxton",BikePoints_42,false,false,000979,1278602700000,true,
"Crawford Street, Marylebone",BikePoints_43,false,false,001036,1278687720000,true,
"Bruton Street, Mayfair",BikePoints_44,false,false,001034,1278687900000,true,
"Boston Place, Marylebone",BikePoints_45,false,false,001035,1278691320000,true,
"Nesham Street, Wapping",BikePoints_46,false,false,001031,1278691800000,true,
"Warwick Avenue Station, Maida Vale",BikePoints_47,false,false,001027,1278749160000,true,
"Godliman Street, St. Paul's",BikePoints_48,false,false,000971,1278749460000,true,
"Curzon Street, Mayfair",BikePoints_49,false,false,003437,1278749940000,true,
"East Road, Hoxton",BikePoints_50,false,false,001054,1278750240000,true,
"Finsbury Library , Finsbury",BikePoints_51,false,false,000986,1278750540000,true,
"Roscoe Street, St. Luke's",BikePoints_52,false,false,001026,1278750840000,true,
"Grafton Street, Mayfair",BikePoints_53,false,false,003431,1278752580000,true,
"Golden Lane, Barbican",BikePoints_54,false,false,000967,1278766740000,true,
"Finsbury Circus, Liverpool Street",BikePoints_55,false,false,000984,1278766980000,true,
"Paddington Street, Marylebone",BikePoints_56,false,false,001033,1278767220000,true,
"Guilford Street , Bloomsbury",BikePoints_57,false,false,000974,1278767460000,true,
"New Inn Yard, Shoreditch",BikePoints_58,false,false,001032,1278767700000,true,
"Lisson Grove, St. John's Wood",BikePoints_60,false,false,001030,1278769140000,true,
"Great Dover Street, The Borough",BikePoints_61,false,false,001017,1278773820000,true,
"Cotton Garden Estate, Kennington",BikePoints_62,false,false,000990,1278773940000,true,
"Murray Grove , Hoxton",BikePoints_63,false,false,000989,1278774120000,true,
"William IV Street, Strand",BikePoints_64,false,false,001028,1278774300000,true,
"Holborn Circus, Holborn",BikePoints_66,false,false,000982,1278845280000,true,
"Hatton Garden, Holborn",BikePoints_67,false,false,000985,1278847440000,true,
"Theobald's Road , Holborn",BikePoints_68,false,false,000975,1278857040000,true,
"Euston Road, Euston",BikePoints_69,false,false,000983,1278861540000,true,
"Calshot Street , King's Cross",BikePoints_70,false,false,001066,1278863340000,true,
"Newgate Street , St. Paul's",BikePoints_71,false,false,001074,1278924900000,true,
"Farringdon Lane, Clerkenwell",BikePoints_72,false,false,003432,1276948860000,true,
"Old Street Station, St. Luke's",BikePoints_73,false,false,001064,1278941040000,true,
"Vauxhall Cross, Vauxhall",BikePoints_74,false,false,001000,1278941160000,true,
"Torrens Street, Angel",BikePoints_75,false,false,001060,1278945180000,true,
"Longford Street, The Regent's Park",BikePoints_76,false,false,000976,1278946560000,true,
"Russell Square Station, Bloomsbury",BikePoints_77,false,false,000978,1278946860000,true,
"Sadlers Sports Centre, Finsbury",BikePoints_78,false,false,003433,1278948480000,true,
"Arundel Street, Temple",BikePoints_79,false,false,003455,1509018360000,true,
"Webber Street , Southwark",BikePoints_80,false,false,003448,1278952440000,true,
"Great Titchfield Street, Fitzrovia",BikePoints_81,false,false,003450,1279012980000,true,
"Chancery Lane, Holborn",BikePoints_82,false,false,003453,1279015680000,true,
"Panton Street, West End",BikePoints_83,false,false,003452,1279015800000,true,
"Breams Buildings, Holborn",BikePoints_84,false,false,003449,1279020240000,true,
"Concert Hall Approach 2, South Bank",BikePoints_336,false,false,001212,1280152800000,true,
"Pembridge Villas, Notting Hill",BikePoints_337,false,false,002589,1280153100000,true,
"Wellington Street , Strand",BikePoints_338,false,false,001202,1280158740000,true,
"Risinghill Street, Angel",BikePoints_339,false,false,001127,1280160600000,true,
"Bank of England Museum, Bank",BikePoints_340,false,false,001201,1280248620000,true,
