terminal_name,installed,common_name,place_id,install_date,removal_date,temporary,locked
300225,true,"Normandy Road, Stockwell",BikePoints_828,1517788800000,,false,false
300230,true,"Wynne Road, Stockwell",BikePoints_829,1517443200000,,false,false
300229,true,"Sidney Road, Stockwell",BikePoints_830,1517961600000,,false,false
300215,true,"St John's Crescent, Brixton",BikePoints_831,1517961600000,,false,false
200240,true,"Ferndale Road, Brixton",BikePoints_832,1517961600000,,false,false
300206,true,"Saltoun Road, Brixton",BikePoints_833,1517875200000,,false,false
300216,true,"Gas Holders, Battersea Park",BikePoints_834,1529449200000,,false,false
300220,true,"Farringdon Street, Holborn",BikePoints_835,,,false,false
300235,true,"York Way, Kings Cross",BikePoints_836,,,false,false
300222,true,"Fore Street Avenue, Guildhall",BikePoints_838,1539254700000,,false,false
200144,true,"Sea Containers, South Bank",BikePoints_839,1544611140000,,false,false
002679,true,"George Row, Bermondsey",BikePoints_840,1599752640000,,false,false
002667,true,"Tower Wharf, Bermondsey",BikePoints_841,,,false,false
300250,true,"Temple Gardens, Temple",BikePoints_842,1600856400000,,false,false
300252,true,"Canada Water Station, Rotherhithe",BikePoints_844,1608298140000,,false,false
300253,true,"Bermondsey Station, Bermondsey",BikePoints_845,1608303660000,,false,false
001023,true,"River Street , Clerkenwell",BikePoints_1,1278947280000,,false,false
001018,true,"Phillimore Gardens, Kensington",BikePoints_2,1278585780000,,false,false
001012,true,"Christopher Street, Liverpool Street",BikePoints_3,1278240360000,,false,false
001013,true,"St. Chad's Street, King's Cross",BikePoints_4,1278241080000,,false,false
003420,true,"Sedding Street, Sloane Square",BikePoints_5,1278241440000,,false,false
003424,true,"Broadcasting House, Marylebone",BikePoints_6,1278241680000,,false,false
003422,true,"Charlbert Street, St. John's Wood",BikePoints_7,1278241800000,,false,false
003423,true,"Maida Vale, Maida Vale",BikePoints_8,1540984560000,,false,false
001015,true,"New Globe Walk, Bankside",BikePoints_9,1278242340000,,false,false
001024,true,"Park Street, Bankside",BikePoints_10,1278242460000,,false,false
001022,true,"Brunswick Square, Bloomsbury",BikePoints_11,1278340440000,,false,false
000980,true,"Malet Street, Bloomsbury",BikePoints_12,1278340620000,,false,false
000970,true,"Scala Street, Fitzrovia",BikePoints_13,1278340800000,,false,false
001011,true,"Belgrove Street , King's Cross",BikePoints_14,1278341040000,,false,false
000988,true,"Great Russell Street, Bloomsbury",BikePoints_15,1278341220000,,false,false
001010,true,"Cartwright Gardens , Bloomsbury",BikePoints_16,1278341400000,,false,false
001008,true,"Hatton Wall, Holborn",BikePoints_17,1278423720000,,false,false
001007,true,"Drury Lane, Covent Garden",BikePoints_18,1278426300000,,false,false
001009,true,"Taviton Street, Bloomsbury",BikePoints_19,1278426720000,,false,false
000993,true,"Drummond Street , Euston",BikePoints_20,1544659200000,,false,false
003426,true,"Lansdowne Drive, Hackney Central",BikePoints_21,1278427740000,,false,false
003425,true,"Northington Street , Holborn",BikePoints_22,1278428880000,,false,false
003421,true,"Red Lion Square, Holborn",BikePoints_23,1278429300000,,false,false
000981,true,"British Museum, Bloomsbury",BikePoints_24,1278430140000,,false,false
001004,true,"Doric Way , Somers Town",BikePoints_25,1278433200000,,false,false
001019,true,"Ampton Street , Clerkenwell",BikePoints_26,1278434160000,,false,false
001021,true,"Bouverie Street, Temple",BikePoints_27,1278500160000,,false,false
001025,true,"Bolsover Street, Fitzrovia",BikePoints_28,1278500460000,,false,false
001016,true,"Hereford Road, Bayswater",BikePoints_29,1278501180000,,false,false
001029,true,"Windsor Terrace, Hoxton",BikePoints_30,1278501420000,,false,false
003427,true,"Fanshaw Street, Hoxton",BikePoints_31,1278501600000,,false,false
001020,true,"Leonard Circus , Shoreditch",BikePoints_32,1278506700000,,false,false
003430,true,"Central House, Aldgate",BikePoints_33,1278506940000,,false,false
003428,true,"Pancras Road, King's Cross",BikePoints_34,1278507060000,,false,false
003446,true,"De Vere Gardens, Kensington",BikePoints_36,1278519900000,,false,false
003444,true,"Penywern Road, Earl's Court",BikePoints_37,1278520020000,,false,false
003442,true,"Abingdon Villas, Kensington",BikePoints_38,1278584880000,,false,false
003445,true,"Shoreditch High Street, Shoreditch",BikePoints_39,1278601740000,,false,false
001083,true,"Commercial Street, Shoreditch",BikePoints_40,1278601980000,,false,false
001084,true,"Pindar Street, Liverpool Street",BikePoints_41,1278602280000,,false,false
000979,true,"Wenlock Road , Hoxton",BikePoints_42,1278602700000,,false,false
001036,true,"Crawford Street, Marylebone",BikePoints_43,1278687720000,,false,false
001034,true,"Bruton Street, Mayfair",BikePoints_44,1278687900000,,false,false
001035,true,"Boston Place, Marylebone",BikePoints_45,1278691320000,,false,false
001031,true,"Nesham Street, Wapping",BikePoints_46,1278691800000,,false,false
001027,true,"Warwick Avenue Station, Maida Vale",BikePoints_47,1278749160000,,false,false
000971,true,"Godliman Street, St. Paul's",BikePoints_48,1278749460000,,false,false
003437,true,"Curzon Street, Mayfair",BikePoints_49,1278749940000,,false,false
001054,true,"East Road, Hoxton",BikePoints_50,1278750240000,,false,false
000986,true,"Finsbury Library , Finsbury",BikePoints_51,1278750540000,,false,false
001026,true,"Roscoe Street, St. Luke's",BikePoints_52,1278750840000,,false,false
003431,true,"Grafton Street, Mayfair",BikePoints_53,1278752580000,,false,false
000967,true,"Golden Lane, Barbican",BikePoints_54,1278766740000,,false,false
000984,true,"Finsbury Circus, Liverpool Street",BikePoints_55,1278766980000,,false,false
000974,true,"Guilford Street , Bloomsbury",BikePoints_57,1278767460000,,false,false
001032,true,"New Inn Yard, Shoreditch",BikePoints_58,1278767700000,,false,false
001030,true,"Lisson Grove, St. John's Wood",BikePoints_60,1278769140000,,false,false
001017,true,"Great Dover Street, The Borough",BikePoints_61,1278773820000,,false,false
000990,true,"Cotton Garden Estate, Kennington",BikePoints_62,1278773940000,,false,false
000989,true,"Murray Grove , Hoxton",BikePoints_63,1278774120000,,false,false
001028,true,"William IV Street, Strand",BikePoints_64,1278774300000,,false,false
000969,true,"Gower Place , Euston",BikePoints_65,1278840660000,,false,false
000982,true,"Holborn Circus, Holborn",BikePoints_66,1278845280000,,false,false
000985,true,"Hatton Garden, Holborn",BikePoints_67,1278847440000,,false,false
000975,true,"Theobald's Road , Holborn",BikePoints_68,1278857040000,,false,false
000983,true,"Euston Road, Euston",BikePoints_69,1278861540000,,false,false
001066,true,"Calshot Street , King's Cross",BikePoints_70,1278863340000,,false,false
001074,true,"Newgate Street , St. Paul's",BikePoints_71,1278924900000,,false,false
003432,true,"Farringdon Lane, Clerkenwell",BikePoints_72,1276948860000,,false,false
001064,true,"Old Street Station, St. Luke's",BikePoints_73,1278941040000,,false,false
001000,true,"Vauxhall Cross, Vauxhall",BikePoints_74,1278941160000,,false,false
001060,true,"Torrens Street, Angel",BikePoints_75,1278945180000,,false,false
000976,true,"Longford Street, The Regent's Park",BikePoints_76,1278946560000,,false,false
000978,true,"Russell Square Station, Bloomsbury",BikePoints_77,1278946860000,,false,false
003433,true,"Sadlers Sports Centre, Finsbury",BikePoints_78,1278948480000,,false,false
003455,true,"Arundel Street, Temple",BikePoints_79,1509018360000,,false,false
003448,true,"Webber Street , Southwark",BikePoints_80,1278952440000,,false,false
003450,true,"Great Titchfield Street, Fitzrovia",BikePoints_81,1279012980000,,false,false
003453,true,"Chancery Lane, Holborn",BikePoints_82,1279015680000,,false,false
003452,true,"Panton Street, West End",BikePoints_83,1279015800000,,false,false
003449,true,"Breams Buildings, Holborn",BikePoints_84,1279020240000,,false,false
000994,true,"Tanner Street, Bermondsey",BikePoints_85,1279026060000,,false,false
002589,true,"Pembridge Villas, Notting Hill",BikePoints_337,1280153100000,,false,false
001202,true,"Wellington Street , Strand",BikePoints_338,1280158740000,,false,false
001127,true,"Risinghill Street, Angel",BikePoints_339,1280160600000,,false,false
001201,true,"Bank of England Museum, Bank",BikePoints_340,1280248620000,,false,false
001160,true,"Craven Street, Strand",BikePoints_341,1280222160000,,false,false
001188,true,"London Zoo Car Park, The Regent's Park",BikePoints_343,1280224260000,,false,false
001222,true,"Goswell Road (City Uni), Finsbury",BikePoints_344,1280226120000,,false,false
001218,true,"Flood Street, Chelsea",BikePoints_345,1280229720000,,false,false
001219,true,"Lower Marsh, Waterloo",BikePoints_347,1283762460000,,false,false
010627,true,"Grosvenor Square, Mayfair",BikePoints_348,1284540540000,,false,false
001221,true,"St. George Street, Mayfair",BikePoints_349,1284543120000,,false,false
001231,true,"Queen's Gate, Kensington Gardens",BikePoints_350,1285756260000,,false,false
001226,true,"Macclesfield Rd, St Lukes",BikePoints_351,1286790480000,,false,false
001224,true,"Vauxhall Street, Vauxhall",BikePoints_352,1286796360000,,false,false
010623,true,"Greycoat Street , Westminster",BikePoints_353,1287652080000,,false,false
001097,true,"Northumberland Avenue, Strand",BikePoints_354,,,false,false
002694,true,"Clapham Common Station, Clapham Common",BikePoints_355,1287752460000,,false,false
002685,true,"South Kensington Station, South Kensington",BikePoints_356,1288009080000,,false,false
002691,true,"Howland Street, Fitzrovia",BikePoints_357,1288092420000,,false,false
001229,true,"High Holborn , Covent Garden",BikePoints_358,1290079860000,,false,false
002662,true,"Butler Place, Westminster",BikePoints_359,1288950960000,,false,false
002666,true,"Howick Place, Westminster",BikePoints_360,1288958160000,,false,false
002692,true,"Waterloo Station 2, Waterloo",BikePoints_361,1291902600000,,false,false
002686,true,"Royal College Street, Camden Town",BikePoints_362,1290080220000,,false,false
