place_id,temporary,installed,removal_date,terminal_name,common_name,install_date,locked
BikePoints_26,false,true,,001019,"Ampton Street , Clerkenwell",1278434160000,false
BikePoints_27,false,true,,001021,"Bouverie Street, Temple",1278500160000,false
BikePoints_28,false,true,,001025,"Bolsover Street, Fitzrovia",1278500460000,false
BikePoints_29,false,true,,001016,"Hereford Road, Bayswater",1278501180000,false
BikePoints_30,false,true,,001029,"Windsor Terrace, Hoxton",1278501420000,false
BikePoints_31,false,true,,003427,"Fanshaw Street, Hoxton",1278501600000,false
BikePoints_32,false,true,,001020,"Leonard Circus , Shoreditch",1278506700000,false
BikePoints_33,false,true,,003430,"Central House, Aldgate",1278506940000,false
BikePoints_34,false,true,,003428,"Pancras Road, King's Cross",1278507060000,false
BikePoints_36,false,true,,003446,"De Vere Gardens, Kensington",1278519900000,false
BikePoints_37,false,true,,003444,"Penywern Road, Earl's Court",1278520020000,false
BikePoints_38,false,true,,003442,"Abingdon Villas, Kensington",1278584880000,false
BikePoints_39,false,true,,003445,"Shoreditch High Street, Shoreditch",1278601740000,false
BikePoints_40,false,true,,001083,"Commercial Street, Shoreditch",1278601980000,false
BikePoints_41,false,true,,001084,"Pindar Street, Liverpool Street",1278602280000,false
BikePoints_42,false,true,,000979,"Wenlock Road , Hoxton",1278602700000,false
BikePoints_43,false,true,,001036,"Crawford Street, Marylebone",1278687720000,false
BikePoints_44,false,true,,001034,"Bruton Street, Mayfair",1278687900000,false
BikePoints_45,false,true,,001035,"Boston Place, Marylebone",1278691320000,false
BikePoints_46,false,true,,001031,"Nesham Street, Wapping",1278691800000,false
BikePoints_47,false,true,,001027,"Warwick Avenue Station, Maida Vale",1278749160000,false
BikePoints_48,false,true,,000971,"Godliman Street, St. Paul's",1278749460000,false
BikePoints_49,false,true,,003437,"Curzon Street, Mayfair",1278749940000,false
BikePoints_50,false,true,,001054,"East Road, Hoxton",1278750240000,false
BikePoints_51,false,true,,000986,"Finsbury Library , Finsbury",1278750540000,false
BikePoints_52,false,true,,001026,"Roscoe Street, St. Luke's",1278750840000,false
BikePoints_53,false,true,,003431,"Grafton Street, Mayfair",1278752580000,false
BikePoints_54,false,true,,000967,"Golden Lane, Barbican",1278766740000,false
BikePoints_55,false,true,,000984,"Finsbury Circus, Liverpool Street",1278766980000,false
BikePoints_56,false,true,,001033,"Paddington Street, Marylebone",1278767220000,false
BikePoints_57,false,true,,000974,"Guilford Street , Bloomsbury",1278767460000,false
BikePoints_58,false,true,,001032,"New Inn Yard, Shoreditch",1278767700000,false
BikePoints_60,false,true,,001030,"Lisson Grove, St. John's Wood",1278769140000,false
BikePoints_61,false,true,,001017,"Great Dover Street, The Borough",1278773820000,false
BikePoints_62,false,true,,000990,"Cotton Garden Estate, Kennington",1278773940000,false
BikePoints_63,false,true,,000989,"Murray Grove , Hoxton",1278774120000,false
BikePoints_64,false,true,,001028,"William IV Street, Strand",1278774300000,false
BikePoints_66,false,true,,000982,"Holborn Circus, Holborn",1278845280000,false
BikePoints_67,false,true,,000985,"Hatton Garden, Holborn",1278847440000,false
BikePoints_68,false,true,,000975,"Theobald's Road , Holborn",1278857040000,false
BikePoints_69,false,true,,000983,"Euston Road, Euston",1278861540000,false
BikePoints_70,false,true,,001066,"Calshot Street , King's Cross",1278863340000,false
BikePoints_71,false,true,,001074,"Newgate Street , St. Paul's",1278924900000,false
BikePoints_72,false,true,,003432,"Farringdon Lane, Clerkenwell",1276948860000,false
BikePoints_73,false,true,,001064,"Old Street Station, St. Luke's",1278941040000,false
BikePoints_74,false,true,,001000,"Vauxhall Cross, Vauxhall",1278941160000,false
BikePoints_75,false,true,,001060,"Torrens Street, Angel",1278945180000,false
