place_id,temporary,installed,locked,removal_date,common_name,install_date,terminal_name
BikePoints_785,false,true,false,,"Aquatic Centre, Queen Elizabeth Olympic Park",1451908440000,300233
BikePoints_786,false,true,false,,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1451918160000,300029
BikePoints_787,false,true,false,,"Timber Lodge, Queen Elizabeth Olympic Park",1451900700000,300227
BikePoints_788,false,true,false,,"Copper Box Arena, Queen Elizabeth Olympic Park",1451906880000,300226
BikePoints_789,false,true,false,,"Podium, Queen Elizabeth Olympic Park",1452507000000,300021
BikePoints_790,false,true,false,,"Stratford Station, Stratford",1452687420000,300234
BikePoints_792,false,true,false,,"Blackfriars Road, Southwark",1454926380000,300214
BikePoints_793,false,true,false,,"Cromer Street, Bloomsbury",1459424760000,300205
BikePoints_794,false,true,false,,"Victoria Rise, Clapham Common",1456404240000,300204
BikePoints_795,false,true,false,,"Euston Square Gardens, Euston",1456744740000,300203
BikePoints_796,false,true,false,,"Coram Street, Bloomsbury",1456746420000,300201
BikePoints_797,false,true,false,,"Ossulston Street, Somers Town",1456839540000,300211
BikePoints_798,false,true,false,,"Birkenhead Street, King's Cross",1464787980000,300212
BikePoints_799,false,true,false,,"Kings Gate House, Westminster",1464876480000,300202
BikePoints_800,false,true,false,,"Sopwith Way, Battersea Park",1457107140000,300248
BikePoints_801,false,true,false,,"Lavington Street, Bankside",1458824640000,300208
BikePoints_802,false,true,false,,"Albert Square, Stockwell",1464865500000,300209
BikePoints_803,false,true,false,,"Southwark Street, Bankside",1464787860000,300238
BikePoints_804,false,true,false,,"Good's Way, King's Cross",1459410960000,300243
BikePoints_805,false,true,false,,"The Metropolitan, Portobello",1467626400000,300244
BikePoints_806,false,true,false,,"Handyside Street, King's Cross",1472723460000,300241
BikePoints_807,false,true,false,,"Bevington Road West, North Kensington",1466715600000,300236
BikePoints_808,false,true,false,,"Gauden Road, Clapham",1461753540000,300207
BikePoints_809,false,true,false,,"Lincoln's Inn Fields, Holborn",1467640800000,300240
BikePoints_810,false,true,false,,"Tate Modern, Bankside",1464943200000,300237
BikePoints_811,false,true,false,,"Westferry Circus, Canary Wharf",1469538960000,300228
BikePoints_812,false,true,false,,"Here East North, Queen Elizabeth Olympic Park",1469005200000,300217
BikePoints_813,false,true,false,,"New Spring Gardens Walk, Vauxhall",1467627120000,300224
BikePoints_814,false,true,false,,"Clapham Road, Lingham Street, Stockwell",1464870060000,300245
BikePoints_815,false,true,false,,"Lambeth Palace Road, Waterloo",1462357680000,300231
BikePoints_816,false,true,false,,"Here East South, Queen Elizabeth Olympic Park",1489065360000,300219
BikePoints_817,false,true,false,,"Riverlight South, Nine Elms",1464949140000,300232
BikePoints_818,false,true,false,,"Westminster Pier, Westminster",1563958740000,300249
BikePoints_819,false,true,false,,"Belvedere Road 2, South Bank",1476360120000,300246
BikePoints_820,false,true,false,,"Victory Place, Walworth",1481807940000,300239
BikePoints_821,false,true,false,,"Battersea Power Station, Battersea Park",1487335920000,300221
BikePoints_826,false,true,false,,"Allington Street, Victoria",1500554880000,300242
BikePoints_827,false,true,false,,"Cranmer Road, Stockwell",1517788800000,300247
BikePoints_828,false,true,false,,"Normandy Road, Stockwell",1517788800000,300225
BikePoints_829,false,true,false,,"Wynne Road, Stockwell",1517443200000,300230
BikePoints_830,false,true,false,,"Sidney Road, Stockwell",1517961600000,300229
BikePoints_831,false,true,false,,"St John's Crescent, Brixton",1517961600000,300215
BikePoints_832,false,true,false,,"Ferndale Road, Brixton",1517961600000,200240
BikePoints_833,false,true,false,,"Saltoun Road, Brixton",1517875200000,300206
BikePoints_834,false,true,false,,"Gas Holders, Battersea Park",1529449200000,300216
BikePoints_835,false,true,false,,"Farringdon Street, Holborn",,300220
BikePoints_836,false,true,false,,"York Way, Kings Cross",,300235
BikePoints_838,false,true,false,,"Fore Street Avenue, Guildhall",1539254700000,300222
BikePoints_839,false,true,false,,"Sea Containers, South Bank",1544611140000,200144
BikePoints_840,false,true,false,,"George Row, Bermondsey",1599752640000,002679
BikePoints_841,false,true,false,,"Tower Wharf, Bermondsey",,002667
BikePoints_842,false,true,false,,"Temple Gardens, Temple",1600856400000,300250
BikePoints_844,false,true,false,,"Canada Water Station, Rotherhithe",1608298140000,300252
BikePoints_845,false,true,false,,"Bermondsey Station, Bermondsey",1608303660000,300253
BikePoints_1,false,true,false,,"River Street , Clerkenwell",1278947280000,001023
BikePoints_2,false,true,false,,"Phillimore Gardens, Kensington",1278585780000,001018
BikePoints_3,false,true,false,,"Christopher Street, Liverpool Street",1278240360000,001012
BikePoints_4,false,true,false,,"St. Chad's Street, King's Cross",1278241080000,001013
BikePoints_5,false,true,false,,"Sedding Street, Sloane Square",1278241440000,003420
BikePoints_6,false,true,false,,"Broadcasting House, Marylebone",1278241680000,003424
BikePoints_7,false,true,false,,"Charlbert Street, St. John's Wood",1278241800000,003422
BikePoints_8,false,true,false,,"Maida Vale, Maida Vale",1540984560000,003423
BikePoints_9,false,true,false,,"New Globe Walk, Bankside",1278242340000,001015
BikePoints_10,false,true,false,,"Park Street, Bankside",1278242460000,001024
BikePoints_11,false,true,false,,"Brunswick Square, Bloomsbury",1278340440000,001022
BikePoints_12,false,true,false,,"Malet Street, Bloomsbury",1278340620000,000980
BikePoints_13,false,true,false,,"Scala Street, Fitzrovia",1278340800000,000970
BikePoints_14,false,true,false,,"Belgrove Street , King's Cross",1278341040000,001011
BikePoints_15,false,true,false,,"Great Russell Street, Bloomsbury",1278341220000,000988
BikePoints_16,false,true,false,,"Cartwright Gardens , Bloomsbury",1278341400000,001010
BikePoints_17,false,true,false,,"Hatton Wall, Holborn",1278423720000,001008
BikePoints_18,false,true,false,,"Drury Lane, Covent Garden",1278426300000,001007
BikePoints_19,false,true,false,,"Taviton Street, Bloomsbury",1278426720000,001009
BikePoints_20,false,true,false,,"Drummond Street , Euston",1544659200000,000993
BikePoints_21,false,true,false,,"Lansdowne Drive, Hackney Central",1278427740000,003426
BikePoints_22,false,true,false,,"Northington Street , Holborn",1278428880000,003425
BikePoints_23,false,true,false,,"Red Lion Square, Holborn",1278429300000,003421
BikePoints_24,false,true,false,,"British Museum, Bloomsbury",1278430140000,000981
BikePoints_25,false,true,false,,"Doric Way , Somers Town",1278433200000,001004
BikePoints_26,false,true,false,,"Ampton Street , Clerkenwell",1278434160000,001019
BikePoints_27,false,true,false,,"Bouverie Street, Temple",1278500160000,001021
BikePoints_28,false,true,false,,"Bolsover Street, Fitzrovia",1278500460000,001025
BikePoints_29,false,true,false,,"Hereford Road, Bayswater",1278501180000,001016
BikePoints_30,false,true,false,,"Windsor Terrace, Hoxton",1278501420000,001029
BikePoints_31,false,true,false,,"Fanshaw Street, Hoxton",1278501600000,003427
BikePoints_32,false,true,false,,"Leonard Circus , Shoreditch",1278506700000,001020
BikePoints_33,false,true,false,,"Central House, Aldgate",1278506940000,003430
BikePoints_34,false,true,false,,"Pancras Road, King's Cross",1278507060000,003428
BikePoints_36,false,true,false,,"De Vere Gardens, Kensington",1278519900000,003446
BikePoints_37,false,true,false,,"Penywern Road, Earl's Court",1278520020000,003444
BikePoints_38,false,true,false,,"Abingdon Villas, Kensington",1278584880000,003442
BikePoints_39,false,true,false,,"Shoreditch High Street, Shoreditch",1278601740000,003445
BikePoints_40,false,true,false,,"Commercial Street, Shoreditch",1278601980000,001083
BikePoints_41,false,true,false,,"Pindar Street, Liverpool Street",1278602280000,001084
BikePoints_42,false,true,false,,"Wenlock Road , Hoxton",1278602700000,000979
BikePoints_43,false,true,false,,"Crawford Street, Marylebone",1278687720000,001036
BikePoints_44,false,true,false,,"Bruton Street, Mayfair",1278687900000,001034
BikePoints_45,false,true,false,,"Boston Place, Marylebone",1278691320000,001035
BikePoints_46,false,true,false,,"Nesham Street, Wapping",1278691800000,001031
BikePoints_47,false,true,false,,"Warwick Avenue Station, Maida Vale",1278749160000,001027
BikePoints_48,false,true,false,,"Godliman Street, St. Paul's",1278749460000,000971
BikePoints_49,false,true,false,,"Curzon Street, Mayfair",1278749940000,003437
BikePoints_50,false,true,false,,"East Road, Hoxton",1278750240000,001054
BikePoints_51,false,true,false,,"Finsbury Library , Finsbury",1278750540000,000986
BikePoints_52,false,true,false,,"Roscoe Street, St. Luke's",1278750840000,001026
BikePoints_53,false,true,false,,"Grafton Street, Mayfair",1278752580000,003431
BikePoints_54,false,true,false,,"Golden Lane, Barbican",1278766740000,000967
BikePoints_55,false,true,false,,"Finsbury Circus, Liverpool Street",1278766980000,000984
BikePoints_56,false,true,false,,"Paddington Street, Marylebone",1278767220000,001033
BikePoints_57,false,true,false,,"Guilford Street , Bloomsbury",1278767460000,000974
BikePoints_58,false,true,false,,"New Inn Yard, Shoreditch",1278767700000,001032
BikePoints_60,false,true,false,,"Lisson Grove, St. John's Wood",1278769140000,001030
BikePoints_61,false,true,false,,"Great Dover Street, The Borough",1278773820000,001017
BikePoints_62,false,true,false,,"Cotton Garden Estate, Kennington",1278773940000,000990
BikePoints_63,false,true,false,,"Murray Grove , Hoxton",1278774120000,000989
BikePoints_64,false,true,false,,"William IV Street, Strand",1278774300000,001028
BikePoints_66,false,true,false,,"Holborn Circus, Holborn",1278845280000,000982
BikePoints_67,false,true,false,,"Hatton Garden, Holborn",1278847440000,000985
BikePoints_68,false,true,false,,"Theobald's Road , Holborn",1278857040000,000975
BikePoints_69,false,true,false,,"Euston Road, Euston",1278861540000,000983
BikePoints_70,false,true,false,,"Calshot Street , King's Cross",1278863340000,001066
BikePoints_71,false,true,false,,"Newgate Street , St. Paul's",1278924900000,001074
BikePoints_72,false,true,false,,"Farringdon Lane, Clerkenwell",1276948860000,003432
BikePoints_73,false,true,false,,"Old Street Station, St. Luke's",1278941040000,001064
BikePoints_74,false,true,false,,"Vauxhall Cross, Vauxhall",1278941160000,001000
BikePoints_75,false,true,false,,"Torrens Street, Angel",1278945180000,001060
BikePoints_76,false,true,false,,"Longford Street, The Regent's Park",1278946560000,000976
BikePoints_77,false,true,false,,"Russell Square Station, Bloomsbury",1278946860000,000978
BikePoints_78,false,true,false,,"Sadlers Sports Centre, Finsbury",1278948480000,003433
BikePoints_79,false,true,false,,"Arundel Street, Temple",1509018360000,003455
BikePoints_80,false,true,false,,"Webber Street , Southwark",1278952440000,003448
BikePoints_81,false,true,false,,"Great Titchfield Street, Fitzrovia",1279012980000,003450
BikePoints_82,false,true,false,,"Chancery Lane, Holborn",1279015680000,003453
BikePoints_83,false,true,false,,"Panton Street, West End",1279015800000,003452
BikePoints_84,false,true,false,,"Breams Buildings, Holborn",1279020240000,003449
BikePoints_336,false,true,false,,"Concert Hall Approach 2, South Bank",1280152800000,001212
BikePoints_337,false,true,false,,"Pembridge Villas, Notting Hill",1280153100000,002589
BikePoints_338,false,true,false,,"Wellington Street , Strand",1280158740000,001202
BikePoints_339,false,true,false,,"Risinghill Street, Angel",1280160600000,001127
BikePoints_340,false,true,false,,"Bank of England Museum, Bank",1280248620000,001201
BikePoints_341,false,true,false,,"Craven Street, Strand",1280222160000,001160
BikePoints_343,false,true,false,,"London Zoo Car Park, The Regent's Park",1280224260000,001188
BikePoints_344,false,true,false,,"Goswell Road (City Uni), Finsbury",1280226120000,001222
BikePoints_345,false,true,false,,"Flood Street, Chelsea",1280229720000,001218
BikePoints_347,false,true,false,,"Lower Marsh, Waterloo",1283762460000,001219
BikePoints_348,false,true,false,,"Grosvenor Square, Mayfair",1284540540000,010627
BikePoints_349,false,true,false,,"St. George Street, Mayfair",1284543120000,001221
BikePoints_350,false,true,false,,"Queen's Gate, Kensington Gardens",1285756260000,001231
BikePoints_351,false,true,false,,"Macclesfield Rd, St Lukes",1286790480000,001226
BikePoints_352,false,true,false,,"Vauxhall Street, Vauxhall",1286796360000,001224
BikePoints_353,false,true,false,,"Greycoat Street , Westminster",1287652080000,010623
BikePoints_354,false,true,false,,"Northumberland Avenue, Strand",,001097
BikePoints_355,false,true,false,,"Clapham Common Station, Clapham Common",1287752460000,002694
BikePoints_356,false,true,false,,"South Kensington Station, South Kensington",1288009080000,002685
BikePoints_357,false,true,false,,"Howland Street, Fitzrovia",1288092420000,002691
BikePoints_358,false,true,false,,"High Holborn , Covent Garden",1290079860000,001229
BikePoints_359,false,true,false,,"Butler Place, Westminster",1288950960000,002662
BikePoints_360,false,true,false,,"Howick Place, Westminster",1288958160000,002666
BikePoints_361,false,true,false,,"Waterloo Station 2, Waterloo",1291902600000,002692
BikePoints_362,false,true,false,,"Royal College Street, Camden Town",1290080220000,002686
BikePoints_363,false,true,false,,"Lord's, St. John's Wood",1289911800000,002665
BikePoints_364,false,true,false,,"Store Street, Bloomsbury",1290080640000,003507
BikePoints_365,false,true,false,,"City Road, Angel",1290603600000,002690
BikePoints_367,false,true,false,,"Harrowby Street, Marylebone",,002680
BikePoints_368,false,true,false,,"Harriet Street, Knightsbridge",1291201680000,002681
BikePoints_370,false,true,false,,"Paddington Green, Paddington",1291647300000,002670
BikePoints_371,false,true,false,,"King Edward Walk, Waterloo",1291712820000,002639
BikePoints_372,false,true,false,,"Sardinia Street, Holborn",1291713000000,002649
BikePoints_373,false,true,false,,"Prince Consort Road, Knightsbridge",1295428320000,003499
BikePoints_374,false,true,false,,"Waterloo Station 1, Waterloo",1291725720000,002696
BikePoints_375,false,true,false,,"Kensington Town Hall, Kensington",1291805820000,010632
BikePoints_376,false,true,false,,"Millbank Tower, Pimlico",1294660980000,002683
BikePoints_377,false,true,false,,"Waterloo Bridge, South Bank",1295265420000,002648
BikePoints_378,false,true,false,,"Natural History Museum, South Kensington",1296121500000,002677
BikePoints_379,false,true,false,,"Turquoise Island, Notting Hill",1296121680000,002682
BikePoints_380,false,true,false,,"Stanhope Gate, Mayfair",1296125400000,003506
BikePoints_381,false,true,false,,"Charlotte Street, Fitzrovia",1296203760000,002669
BikePoints_382,false,true,false,,"Farm Street, Mayfair",1297159320000,002678
BikePoints_383,false,true,false,,"Frith Street, Soho",1296649200000,002660
BikePoints_384,false,true,false,,"Marloes Road, Kensington",1296731880000,003505
BikePoints_386,false,true,false,,"Moor Street, Soho",1296732540000,003504
BikePoints_387,false,true,false,,"Fire Brigade Pier, Vauxhall",1297077540000,002703
