place_id,removal_date,locked,installed,install_date,temporary,terminal_name,common_name
BikePoints_793,,false,true,1459424760000,false,300205,"Cromer Street, Bloomsbury"
BikePoints_794,,false,true,1456404240000,false,300204,"Victoria Rise, Clapham Common"
BikePoints_795,,false,true,1456744740000,false,300203,"Euston Square Gardens, Euston"
BikePoints_796,,false,true,1456746420000,false,300201,"Coram Street, Bloomsbury"
BikePoints_797,,false,true,1456839540000,false,300211,"Ossulston Street, Somers Town"
BikePoints_798,,false,true,1464787980000,false,300212,"Birkenhead Street, King's Cross"
BikePoints_799,,false,true,1464876480000,false,300202,"Kings Gate House, Westminster"
BikePoints_800,,false,true,1457107140000,false,300248,"Sopwith Way, Battersea Park"
BikePoints_801,,false,true,1458824640000,false,300208,"Lavington Street, Bankside"
BikePoints_802,,false,true,1464865500000,false,300209,"Albert Square, Stockwell"
BikePoints_803,,false,true,1464787860000,false,300238,"Southwark Street, Bankside"
BikePoints_804,,false,true,1459410960000,false,300243,"Good's Way, King's Cross"
BikePoints_805,,false,true,1467626400000,false,300244,"The Metropolitan, Portobello"
BikePoints_806,,false,true,1472723460000,false,300241,"Handyside Street, King's Cross"
BikePoints_807,,false,true,1466715600000,false,300236,"Bevington Road West, North Kensington"
BikePoints_808,,false,true,1461753540000,false,300207,"Gauden Road, Clapham"
BikePoints_809,,false,true,1467640800000,false,300240,"Lincoln's Inn Fields, Holborn"
BikePoints_810,,false,true,1464943200000,false,300237,"Tate Modern, Bankside"
BikePoints_811,,false,true,1469538960000,false,300228,"Westferry Circus, Canary Wharf"
BikePoints_812,,false,true,1469005200000,false,300217,"Here East North, Queen Elizabeth Olympic Park"
BikePoints_813,,false,true,1467627120000,false,300224,"New Spring Gardens Walk, Vauxhall"
BikePoints_814,,false,true,1464870060000,false,300245,"Clapham Road, Lingham Street, Stockwell"
BikePoints_815,,false,true,1462357680000,false,300231,"Lambeth Palace Road, Waterloo"
BikePoints_816,,false,true,1489065360000,false,300219,"Here East South, Queen Elizabeth Olympic Park"
BikePoints_817,,false,true,1464949140000,false,300232,"Riverlight South, Nine Elms"
BikePoints_818,,false,true,1563958740000,false,300249,"Westminster Pier, Westminster"
BikePoints_819,,false,true,1476360120000,false,300246,"Belvedere Road 2, South Bank"
BikePoints_820,,false,true,1481807940000,false,300239,"Victory Place, Walworth"
BikePoints_821,,false,true,1487335920000,false,300221,"Battersea Power Station, Battersea Park"
BikePoints_826,,false,true,1500554880000,false,300242,"Allington Street, Victoria"
BikePoints_827,,false,true,1517788800000,false,300247,"Cranmer Road, Stockwell"
BikePoints_828,,false,true,1517788800000,false,300225,"Normandy Road, Stockwell"
BikePoints_829,,false,true,1517443200000,false,300230,"Wynne Road, Stockwell"
BikePoints_830,,false,true,1517961600000,false,300229,"Sidney Road, Stockwell"
BikePoints_831,,false,true,1517961600000,false,300215,"St John's Crescent, Brixton"
BikePoints_832,,false,true,1517961600000,false,200240,"Ferndale Road, Brixton"
BikePoints_833,,false,true,1517875200000,false,300206,"Saltoun Road, Brixton"
BikePoints_834,,false,true,1529449200000,false,300216,"Gas Holders, Battersea Park"
BikePoints_835,,false,true,,false,300220,"Farringdon Street, Holborn"
BikePoints_836,,false,true,,false,300235,"York Way, Kings Cross"
BikePoints_838,,false,true,1539254700000,false,300222,"Fore Street Avenue, Guildhall"
BikePoints_839,,false,true,1544611140000,false,200144,"Sea Containers, South Bank"
BikePoints_840,,false,true,1599752640000,false,002679,"George Row, Bermondsey"
BikePoints_841,,false,true,,false,002667,"Tower Wharf, Bermondsey"
BikePoints_842,,false,true,1600856400000,false,300250,"Temple Gardens, Temple"
BikePoints_844,,false,true,1608298140000,false,300252,"Canada Water Station, Rotherhithe"
BikePoints_845,,false,true,1608303660000,false,300253,"Bermondsey Station, Bermondsey"
BikePoints_1,,false,true,1278947280000,false,001023,"River Street , Clerkenwell"
BikePoints_2,,false,true,1278585780000,false,001018,"Phillimore Gardens, Kensington"
BikePoints_3,,false,true,1278240360000,false,001012,"Christopher Street, Liverpool Street"
BikePoints_4,,false,true,1278241080000,false,001013,"St. Chad's Street, King's Cross"
BikePoints_5,,false,true,1278241440000,false,003420,"Sedding Street, Sloane Square"
BikePoints_6,,false,true,1278241680000,false,003424,"Broadcasting House, Marylebone"
BikePoints_7,,false,true,1278241800000,false,003422,"Charlbert Street, St. John's Wood"
BikePoints_8,,false,true,1540984560000,false,003423,"Maida Vale, Maida Vale"
BikePoints_9,,false,true,1278242340000,false,001015,"New Globe Walk, Bankside"
BikePoints_10,,false,true,1278242460000,false,001024,"Park Street, Bankside"
BikePoints_11,,false,true,1278340440000,false,001022,"Brunswick Square, Bloomsbury"
BikePoints_12,,false,true,1278340620000,false,000980,"Malet Street, Bloomsbury"
BikePoints_13,,false,true,1278340800000,false,000970,"Scala Street, Fitzrovia"
BikePoints_14,,false,true,1278341040000,false,001011,"Belgrove Street , King's Cross"
BikePoints_15,,false,true,1278341220000,false,000988,"Great Russell Street, Bloomsbury"
BikePoints_16,,false,true,1278341400000,false,001010,"Cartwright Gardens , Bloomsbury"
BikePoints_17,,false,true,1278423720000,false,001008,"Hatton Wall, Holborn"
BikePoints_18,,false,true,1278426300000,false,001007,"Drury Lane, Covent Garden"
BikePoints_19,,false,true,1278426720000,false,001009,"Taviton Street, Bloomsbury"
BikePoints_20,,false,true,1544659200000,false,000993,"Drummond Street , Euston"
BikePoints_21,,false,true,1278427740000,false,003426,"Lansdowne Drive, Hackney Central"
BikePoints_22,,false,true,1278428880000,false,003425,"Northington Street , Holborn"
BikePoints_23,,false,true,1278429300000,false,003421,"Red Lion Square, Holborn"
BikePoints_24,,false,true,1278430140000,false,000981,"British Museum, Bloomsbury"
BikePoints_25,,false,true,1278433200000,false,001004,"Doric Way , Somers Town"
BikePoints_26,,false,true,1278434160000,false,001019,"Ampton Street , Clerkenwell"
BikePoints_27,,false,true,1278500160000,false,001021,"Bouverie Street, Temple"
BikePoints_28,,false,true,1278500460000,false,001025,"Bolsover Street, Fitzrovia"
BikePoints_29,,false,true,1278501180000,false,001016,"Hereford Road, Bayswater"
BikePoints_30,,false,true,1278501420000,false,001029,"Windsor Terrace, Hoxton"
BikePoints_31,,false,true,1278501600000,false,003427,"Fanshaw Street, Hoxton"
BikePoints_32,,false,true,1278506700000,false,001020,"Leonard Circus , Shoreditch"
BikePoints_33,,false,true,1278506940000,false,003430,"Central House, Aldgate"
BikePoints_34,,false,true,1278507060000,false,003428,"Pancras Road, King's Cross"
BikePoints_36,,false,true,1278519900000,false,003446,"De Vere Gardens, Kensington"
BikePoints_37,,false,true,1278520020000,false,003444,"Penywern Road, Earl's Court"
BikePoints_38,,false,true,1278584880000,false,003442,"Abingdon Villas, Kensington"
BikePoints_39,,false,true,1278601740000,false,003445,"Shoreditch High Street, Shoreditch"
BikePoints_40,,false,true,1278601980000,false,001083,"Commercial Street, Shoreditch"
BikePoints_41,,false,true,1278602280000,false,001084,"Pindar Street, Liverpool Street"
BikePoints_42,,false,true,1278602700000,false,000979,"Wenlock Road , Hoxton"
BikePoints_43,,false,true,1278687720000,false,001036,"Crawford Street, Marylebone"
BikePoints_44,,false,true,1278687900000,false,001034,"Bruton Street, Mayfair"
BikePoints_45,,false,true,1278691320000,false,001035,"Boston Place, Marylebone"
BikePoints_46,,false,true,1278691800000,false,001031,"Nesham Street, Wapping"
BikePoints_47,,false,true,1278749160000,false,001027,"Warwick Avenue Station, Maida Vale"
BikePoints_48,,false,true,1278749460000,false,000971,"Godliman Street, St. Paul's"
BikePoints_49,,false,true,1278749940000,false,003437,"Curzon Street, Mayfair"
BikePoints_50,,false,true,1278750240000,false,001054,"East Road, Hoxton"
BikePoints_51,,false,true,1278750540000,false,000986,"Finsbury Library , Finsbury"
BikePoints_52,,false,true,1278750840000,false,001026,"Roscoe Street, St. Luke's"
BikePoints_53,,false,true,1278752580000,false,003431,"Grafton Street, Mayfair"
BikePoints_54,,false,true,1278766740000,false,000967,"Golden Lane, Barbican"
BikePoints_55,,false,true,1278766980000,false,000984,"Finsbury Circus, Liverpool Street"
BikePoints_56,,false,true,1278767220000,false,001033,"Paddington Street, Marylebone"
BikePoints_57,,false,true,1278767460000,false,000974,"Guilford Street , Bloomsbury"
BikePoints_58,,false,true,1278767700000,false,001032,"New Inn Yard, Shoreditch"
BikePoints_60,,false,true,1278769140000,false,001030,"Lisson Grove, St. John's Wood"
BikePoints_61,,false,true,1278773820000,false,001017,"Great Dover Street, The Borough"
BikePoints_62,,false,true,1278773940000,false,000990,"Cotton Garden Estate, Kennington"
BikePoints_63,,false,true,1278774120000,false,000989,"Murray Grove , Hoxton"
BikePoints_64,,false,true,1278774300000,false,001028,"William IV Street, Strand"
BikePoints_66,,false,true,1278845280000,false,000982,"Holborn Circus, Holborn"
BikePoints_67,,false,true,1278847440000,false,000985,"Hatton Garden, Holborn"
BikePoints_68,,false,true,1278857040000,false,000975,"Theobald's Road , Holborn"
BikePoints_69,,false,true,1278861540000,false,000983,"Euston Road, Euston"
BikePoints_70,,false,true,1278863340000,false,001066,"Calshot Street , King's Cross"
BikePoints_71,,false,true,1278924900000,false,001074,"Newgate Street , St. Paul's"
BikePoints_72,,false,true,1276948860000,false,003432,"Farringdon Lane, Clerkenwell"
BikePoints_73,,false,true,1278941040000,false,001064,"Old Street Station, St. Luke's"
BikePoints_74,,false,true,1278941160000,false,001000,"Vauxhall Cross, Vauxhall"
