temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_808,300207,"Gauden Road, Clapham",1461753540000,,false
false,true,BikePoints_809,300240,"Lincoln's Inn Fields, Holborn",1467640800000,,false
false,true,BikePoints_810,300237,"Tate Modern, Bankside",1464943200000,,false
false,true,BikePoints_811,300228,"Westferry Circus, Canary Wharf",1469538960000,,false
false,true,BikePoints_812,300217,"Here East North, Queen Elizabeth Olympic Park",1469005200000,,false
false,true,BikePoints_813,300224,"New Spring Gardens Walk, Vauxhall",1467627120000,,false
false,true,BikePoints_814,300245,"Clapham Road, Lingham Street, Stockwell",1464870060000,,false
false,true,BikePoints_815,300231,"Lambeth Palace Road, Waterloo",1462357680000,,false
false,true,BikePoints_816,300219,"Here East South, Queen Elizabeth Olympic Park",1489065360000,,false
false,true,BikePoints_817,300232,"Riverlight South, Nine Elms",1464949140000,,false
false,true,BikePoints_818,300249,"Westminster Pier, Westminster",1563958740000,,false
false,true,BikePoints_819,300246,"Belvedere Road 2, South Bank",1476360120000,,false
false,true,BikePoints_820,300239,"Victory Place, Walworth",1481807940000,,false
false,true,BikePoints_821,300221,"Battersea Power Station, Battersea Park",1487335920000,,false
false,true,BikePoints_826,300242,"Allington Street, Victoria",1500554880000,,false
false,true,BikePoints_827,300247,"Cranmer Road, Stockwell",1517788800000,,false
false,true,BikePoints_828,300225,"Normandy Road, Stockwell",1517788800000,,false
false,true,BikePoints_829,300230,"Wynne Road, Stockwell",1517443200000,,false
false,true,BikePoints_830,300229,"Sidney Road, Stockwell",1517961600000,,false
false,true,BikePoints_831,300215,"St John's Crescent, Brixton",1517961600000,,false
false,true,BikePoints_832,200240,"Ferndale Road, Brixton",1517961600000,,false
false,true,BikePoints_833,300206,"Saltoun Road, Brixton",1517875200000,,false
false,true,BikePoints_834,300216,"Gas Holders, Battersea Park",1529449200000,,false
false,true,BikePoints_835,300220,"Farringdon Street, Holborn",,,false
false,true,BikePoints_836,300235,"York Way, Kings Cross",,,false
false,true,BikePoints_838,300222,"Fore Street Avenue, Guildhall",1539254700000,,false
false,true,BikePoints_839,200144,"Sea Containers, South Bank",1544611140000,,false
false,true,BikePoints_840,002679,"George Row, Bermondsey",1599752640000,,false
false,true,BikePoints_841,002667,"Tower Wharf, Bermondsey",,,false
false,true,BikePoints_842,300250,"Temple Gardens, Temple",1600856400000,,false
false,true,BikePoints_844,300252,"Canada Water Station, Rotherhithe",1608298140000,,false
false,true,BikePoints_845,300253,"Bermondsey Station, Bermondsey",1608303660000,,false
false,true,BikePoints_1,001023,"River Street , Clerkenwell",1278947280000,,false
false,true,BikePoints_2,001018,"Phillimore Gardens, Kensington",1278585780000,,false
false,true,BikePoints_3,001012,"Christopher Street, Liverpool Street",1278240360000,,false
false,true,BikePoints_4,001013,"St. Chad's Street, King's Cross",1278241080000,,false
false,true,BikePoints_5,003420,"Sedding Street, Sloane Square",1278241440000,,false
false,true,BikePoints_6,003424,"Broadcasting House, Marylebone",1278241680000,,false
false,true,BikePoints_7,003422,"Charlbert Street, St. John's Wood",1278241800000,,false
false,true,BikePoints_8,003423,"Maida Vale, Maida Vale",1540984560000,,false
false,true,BikePoints_9,001015,"New Globe Walk, Bankside",1278242340000,,false
false,true,BikePoints_10,001024,"Park Street, Bankside",1278242460000,,false
false,true,BikePoints_11,001022,"Brunswick Square, Bloomsbury",1278340440000,,false
false,true,BikePoints_12,000980,"Malet Street, Bloomsbury",1278340620000,,false
false,true,BikePoints_13,000970,"Scala Street, Fitzrovia",1278340800000,,false
false,true,BikePoints_14,001011,"Belgrove Street , King's Cross",1278341040000,,false
false,true,BikePoints_15,000988,"Great Russell Street, Bloomsbury",1278341220000,,false
false,true,BikePoints_16,001010,"Cartwright Gardens , Bloomsbury",1278341400000,,false
false,true,BikePoints_17,001008,"Hatton Wall, Holborn",1278423720000,,false
false,true,BikePoints_18,001007,"Drury Lane, Covent Garden",1278426300000,,false
false,true,BikePoints_19,001009,"Taviton Street, Bloomsbury",1278426720000,,false
false,true,BikePoints_20,000993,"Drummond Street , Euston",1544659200000,,false
false,true,BikePoints_21,003426,"Lansdowne Drive, Hackney Central",1278427740000,,false
false,true,BikePoints_22,003425,"Northington Street , Holborn",1278428880000,,false
false,true,BikePoints_23,003421,"Red Lion Square, Holborn",1278429300000,,false
false,true,BikePoints_24,000981,"British Museum, Bloomsbury",1278430140000,,false
false,true,BikePoints_25,001004,"Doric Way , Somers Town",1278433200000,,false
false,true,BikePoints_26,001019,"Ampton Street , Clerkenwell",1278434160000,,false
false,true,BikePoints_27,001021,"Bouverie Street, Temple",1278500160000,,false
false,true,BikePoints_28,001025,"Bolsover Street, Fitzrovia",1278500460000,,false
false,true,BikePoints_29,001016,"Hereford Road, Bayswater",1278501180000,,false
false,true,BikePoints_30,001029,"Windsor Terrace, Hoxton",1278501420000,,false
false,true,BikePoints_31,003427,"Fanshaw Street, Hoxton",1278501600000,,false
false,true,BikePoints_32,001020,"Leonard Circus , Shoreditch",1278506700000,,false
false,true,BikePoints_33,003430,"Central House, Aldgate",1278506940000,,false
false,true,BikePoints_34,003428,"Pancras Road, King's Cross",1278507060000,,false
false,true,BikePoints_36,003446,"De Vere Gardens, Kensington",1278519900000,,false
