common_name,locked,removal_date,install_date,place_id,temporary,terminal_name,installed
"Mexfield Road, East Putney",false,,1384443480000,BikePoints_704,false,200063,true
"Upper Richmond Road, Putney",false,1539845700000,1384453020000,BikePoints_705,true,300042,true
"Snowsfields, London Bridge",false,,1384420920000,BikePoints_706,false,200193,true
"Barons Court Station, West Kensington",false,,1384435680000,BikePoints_707,false,200197,true
"Disraeli Road, Putney",false,,1384530180000,BikePoints_708,false,200217,true
"Montserrat Road , Putney",false,,1384510140000,BikePoints_709,false,200205,true
"Albert Bridge Road, Battersea Park",false,,1384520580000,BikePoints_710,false,300045,true
"Everington Street, Fulham",false,,1384791540000,BikePoints_711,false,300028,true
"Mile End Stadium, Mile End",false,,1384797120000,BikePoints_712,false,300056,true
"Hawley Crescent, Camden Town",false,,1384774620000,BikePoints_713,false,200122,true
"Stewart's Road, Wandsworth Road",false,,1384865400000,BikePoints_714,false,300055,true
"Aylward Street, Stepney",false,,1384868460000,BikePoints_715,false,300049,true
"Dunston Road , Haggerston",false,,1384952400000,BikePoints_717,false,300024,true
"Ada Street, Hackney Central",false,,1384962840000,BikePoints_718,false,300040,true
"Victoria Park Road, Hackney Central",false,,1384968480000,BikePoints_719,false,300011,true
"Star Road, West Kensington",false,,1385025840000,BikePoints_720,false,300038,true
"Wendon Street, Old Ford",false,,1385028480000,BikePoints_721,false,300039,true
"Finnis Street, Bethnal Green",false,,1385028600000,BikePoints_722,false,300041,true
"Stephendale Road, Sands End",false,,1385035380000,BikePoints_723,false,300053,true
"Alma Road, Wandsworth",false,,1385125380000,BikePoints_724,false,300046,true
"Walworth Square, Walworth",false,,1563352500000,BikePoints_725,false,300050,true
"Alfreda Street, Battersea Park",false,,1385128740000,BikePoints_726,false,300047,true
"Chesilton Road, Fulham",false,,1385132160000,BikePoints_727,false,300054,true
"Putney Bridge Road, East Putney",false,,1385466780000,BikePoints_728,false,300044,true
"St. Peter's Terrace, Fulham",false,,1385391300000,BikePoints_729,false,300043,true
"Bridge Avenue, Hammersmith",false,,1385132580000,BikePoints_730,false,300082,true
"Michael Road, Walham Green",false,,1385394720000,BikePoints_731,false,300095,true
"Duke Street Hill, London Bridge",false,,1385458020000,BikePoints_732,false,300083,true
"Park Lane, Mayfair",false,,1385460840000,BikePoints_733,false,300093,true
"Plough Terrace, Clapham Junction",false,,1385464500000,BikePoints_734,false,300094,true
