common_name,locked,place_id,install_date,removal_date,terminal_name,temporary,installed
"Hermitage Court, Wapping",false,BikePoints_451,1325501400000,,200021,false,true
"St. Katharine's Way, Tower",false,BikePoints_452,1326109140000,,200049,false,true
"Garnet Street, Shadwell",false,BikePoints_453,1326111060000,,200045,false,true
"Napier Avenue, Millwall",false,BikePoints_454,1326115380000,,200046,false,true
"East Ferry Road, Cubitt Town",false,BikePoints_455,1326117780000,,200031,false,true
"Parkway, Camden Town",false,BikePoints_456,1326197580000,,200118,false,true
"Castlehaven Road, Camden Town",false,BikePoints_457,1326203280000,,200016,false,true
"Wapping Lane, Wapping",false,BikePoints_458,1326294780000,,200034,false,true
"Gunmakers Lane, Old Ford",false,BikePoints_459,,,200014,false,true
"Burdett Road, Mile End",false,BikePoints_460,1326284820000,,200123,false,true
"Aston Street, Stepney",false,BikePoints_461,1326293640000,,200013,true,true
"Bonny Street, Camden Town",false,BikePoints_462,1326294600000,,200105,false,true
"Thurtle Road, Haggerston",false,BikePoints_463,,,200093,false,true
"St. Mary & St. Michael Church, Stepney",false,BikePoints_464,1326304980000,,200082,false,true
"Pitfield Street North,Hoxton",false,BikePoints_465,1333613280000,,200152,false,true
"Whiston Road, Haggerston",false,BikePoints_466,1326360000000,,200158,false,true
"Southern Grove, Bow",false,BikePoints_467,1326374040000,,200168,false,true
"Cantrell Road, Bow",false,BikePoints_468,1326375720000,,200150,false,true
"Lindfield Street, Poplar",false,BikePoints_469,1326381060000,,022178,false,true
"Mostyn Grove, Bow",false,BikePoints_470,1326790620000,,200174,false,true
"Hewison Street, Old Ford",false,BikePoints_471,1326790860000,,200006,false,true
