removal_date,installed,locked,place_id,common_name,terminal_name,install_date,temporary
,true,false,BikePoints_702,"Durant Street, Bethnal Green",200213,1384345860000,false
,true,false,BikePoints_703,"St. Bride Street, Holborn",200094,1384357800000,false
,true,false,BikePoints_704,"Mexfield Road, East Putney",200063,1384443480000,false
1539845700000,true,false,BikePoints_705,"Upper Richmond Road, Putney",300042,1384453020000,true
,true,false,BikePoints_706,"Snowsfields, London Bridge",200193,1384420920000,false
,true,false,BikePoints_707,"Barons Court Station, West Kensington",200197,1384435680000,false
,true,false,BikePoints_708,"Disraeli Road, Putney",200217,1384530180000,false
,true,false,BikePoints_709,"Montserrat Road , Putney",200205,1384510140000,false
,true,false,BikePoints_710,"Albert Bridge Road, Battersea Park",300045,1384520580000,false
,true,false,BikePoints_711,"Everington Street, Fulham",300028,1384791540000,false
,true,false,BikePoints_712,"Mile End Stadium, Mile End",300056,1384797120000,false
,true,false,BikePoints_714,"Stewart's Road, Wandsworth Road",300055,1384865400000,false
,true,false,BikePoints_715,"Aylward Street, Stepney",300049,1384868460000,false
,true,false,BikePoints_717,"Dunston Road , Haggerston",300024,1384952400000,false
,true,false,BikePoints_718,"Ada Street, Hackney Central",300040,1384962840000,false
,true,false,BikePoints_719,"Victoria Park Road, Hackney Central",300011,1384968480000,false
,true,false,BikePoints_720,"Star Road, West Kensington",300038,1385025840000,false
,true,false,BikePoints_721,"Wendon Street, Old Ford",300039,1385028480000,false
,true,false,BikePoints_722,"Finnis Street, Bethnal Green",300041,1385028600000,false
,true,false,BikePoints_723,"Stephendale Road, Sands End",300053,1385035380000,false
,true,false,BikePoints_724,"Alma Road, Wandsworth",300046,1385125380000,false
,true,false,BikePoints_725,"Walworth Square, Walworth",300050,1563352500000,false
,true,false,BikePoints_726,"Alfreda Street, Battersea Park",300047,1385128740000,false
,true,false,BikePoints_727,"Chesilton Road, Fulham",300054,1385132160000,false
,true,false,BikePoints_728,"Putney Bridge Road, East Putney",300044,1385466780000,false
,true,false,BikePoints_729,"St. Peter's Terrace, Fulham",300043,1385391300000,false
,true,false,BikePoints_730,"Bridge Avenue, Hammersmith",300082,1385132580000,false
,true,false,BikePoints_731,"Michael Road, Walham Green",300095,1385394720000,false
,true,false,BikePoints_732,"Duke Street Hill, London Bridge",300083,1385458020000,false
,true,false,BikePoints_733,"Park Lane, Mayfair",300093,1385460840000,false
,true,false,BikePoints_734,"Plough Terrace, Clapham Junction",300094,1385464500000,false
,true,false,BikePoints_735,"Grant Road East, Clapham Junction",200120,1385383080000,false
,true,false,BikePoints_736,"Queensdale Road, Shepherd's Bush",300088,1385472900000,false
,true,false,BikePoints_737,"Fulham Broadway, Walham Green",300086,1385554620000,false
,true,false,BikePoints_738,"Imperial Road, Sands End",300087,1385563380000,false
,true,false,BikePoints_739,"Hortensia Road, West Brompton",300091,1385631000000,false
,true,false,BikePoints_740,"Sirdar Road, Avondale",300084,1385635440000,false
,true,false,BikePoints_741,"Freston Road, Avondale",300085,1385640120000,false
,true,false,BikePoints_742,"Blenheim Crescent, Ladbroke Grove",300090,1385649540000,false
,true,false,BikePoints_743,"Oxford Road, Putney",300078,1385723700000,false
,true,false,BikePoints_744,"Ingrave Street, Clapham Junction",300077,1385729760000,false
,true,false,BikePoints_745,"Upcerne Road, West Chelsea",300075,1385740020000,false
