terminal_name,place_id,install_date,removal_date,temporary,installed,locked,common_name
300042,BikePoints_705,1384453020000,1539845700000,true,true,false,"Upper Richmond Road, Putney"
200193,BikePoints_706,1384420920000,,false,true,false,"Snowsfields, London Bridge"
200197,BikePoints_707,1384435680000,,false,true,false,"Barons Court Station, West Kensington"
200217,BikePoints_708,1384530180000,,false,true,false,"Disraeli Road, Putney"
200205,BikePoints_709,1384510140000,,false,true,false,"Montserrat Road , Putney"
300045,BikePoints_710,1384520580000,,false,true,false,"Albert Bridge Road, Battersea Park"
300028,BikePoints_711,1384791540000,,false,true,false,"Everington Street, Fulham"
300056,BikePoints_712,1384797120000,,false,true,false,"Mile End Stadium, Mile End"
300055,BikePoints_714,1384865400000,,false,true,false,"Stewart's Road, Wandsworth Road"
300049,BikePoints_715,1384868460000,,false,true,false,"Aylward Street, Stepney"
300024,BikePoints_717,1384952400000,,false,true,false,"Dunston Road , Haggerston"
300040,BikePoints_718,1384962840000,,false,true,false,"Ada Street, Hackney Central"
300011,BikePoints_719,1384968480000,,false,true,false,"Victoria Park Road, Hackney Central"
300038,BikePoints_720,1385025840000,,false,true,false,"Star Road, West Kensington"
300039,BikePoints_721,1385028480000,,false,true,false,"Wendon Street, Old Ford"
300041,BikePoints_722,1385028600000,,false,true,false,"Finnis Street, Bethnal Green"
300053,BikePoints_723,1385035380000,,false,true,false,"Stephendale Road, Sands End"
300046,BikePoints_724,1385125380000,,false,true,false,"Alma Road, Wandsworth"
300050,BikePoints_725,1563352500000,,false,true,false,"Walworth Square, Walworth"
300047,BikePoints_726,1385128740000,,false,true,false,"Alfreda Street, Battersea Park"
300054,BikePoints_727,1385132160000,,false,true,false,"Chesilton Road, Fulham"
300044,BikePoints_728,1385466780000,,false,true,false,"Putney Bridge Road, East Putney"
300043,BikePoints_729,1385391300000,,false,true,false,"St. Peter's Terrace, Fulham"
300082,BikePoints_730,1385132580000,,false,true,false,"Bridge Avenue, Hammersmith"
300095,BikePoints_731,1385394720000,,false,true,false,"Michael Road, Walham Green"
300083,BikePoints_732,1385458020000,,false,true,false,"Duke Street Hill, London Bridge"
300093,BikePoints_733,1385460840000,,false,true,false,"Park Lane, Mayfair"
300094,BikePoints_734,1385464500000,,false,true,false,"Plough Terrace, Clapham Junction"
200120,BikePoints_735,1385383080000,,false,true,false,"Grant Road East, Clapham Junction"
300088,BikePoints_736,1385472900000,,false,true,false,"Queensdale Road, Shepherd's Bush"
300086,BikePoints_737,1385554620000,,false,true,false,"Fulham Broadway, Walham Green"
300087,BikePoints_738,1385563380000,,false,true,false,"Imperial Road, Sands End"
300091,BikePoints_739,1385631000000,,false,true,false,"Hortensia Road, West Brompton"
300084,BikePoints_740,1385635440000,,false,true,false,"Sirdar Road, Avondale"
300085,BikePoints_741,1385640120000,,false,true,false,"Freston Road, Avondale"
300090,BikePoints_742,1385649540000,,false,true,false,"Blenheim Crescent, Ladbroke Grove"
300078,BikePoints_743,1385723700000,,false,true,false,"Oxford Road, Putney"
300077,BikePoints_744,1385729760000,,false,true,false,"Ingrave Street, Clapham Junction"
