place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_842,true,1600856400000,false,300250,false,,"Temple Gardens, Temple"
BikePoints_844,true,1608298140000,false,300252,false,,"Canada Water Station, Rotherhithe"
BikePoints_845,true,1608303660000,false,300253,false,,"Bermondsey Station, Bermondsey"
BikePoints_1,true,1278947280000,false,001023,false,,"River Street , Clerkenwell"
BikePoints_2,true,1278585780000,false,001018,false,,"Phillimore Gardens, Kensington"
BikePoints_3,true,1278240360000,false,001012,false,,"Christopher Street, Liverpool Street"
BikePoints_4,true,1278241080000,false,001013,false,,"St. Chad's Street, King's Cross"
BikePoints_5,true,1278241440000,false,003420,false,,"Sedding Street, Sloane Square"
BikePoints_6,true,1278241680000,false,003424,false,,"Broadcasting House, Marylebone"
BikePoints_7,true,1278241800000,false,003422,false,,"Charlbert Street, St. John's Wood"
BikePoints_8,true,1540984560000,false,003423,false,,"Maida Vale, Maida Vale"
BikePoints_9,true,1278242340000,false,001015,false,,"New Globe Walk, Bankside"
BikePoints_10,true,1278242460000,false,001024,false,,"Park Street, Bankside"
BikePoints_11,true,1278340440000,false,001022,false,,"Brunswick Square, Bloomsbury"
BikePoints_12,true,1278340620000,false,000980,false,,"Malet Street, Bloomsbury"
BikePoints_13,true,1278340800000,false,000970,false,,"Scala Street, Fitzrovia"
BikePoints_14,true,1278341040000,false,001011,false,,"Belgrove Street , King's Cross"
BikePoints_15,true,1278341220000,false,000988,false,,"Great Russell Street, Bloomsbury"
BikePoints_16,true,1278341400000,false,001010,false,,"Cartwright Gardens , Bloomsbury"
BikePoints_17,true,1278423720000,false,001008,false,,"Hatton Wall, Holborn"
BikePoints_18,true,1278426300000,false,001007,false,,"Drury Lane, Covent Garden"
BikePoints_19,true,1278426720000,false,001009,false,,"Taviton Street, Bloomsbury"
BikePoints_20,true,1544659200000,false,000993,false,,"Drummond Street , Euston"
BikePoints_21,true,1278427740000,false,003426,false,,"Lansdowne Drive, Hackney Central"
