locked,place_id,installed,common_name,install_date,terminal_name,removal_date,temporary
false,BikePoints_15,true,"Great Russell Street, Bloomsbury",1278341220000,000988,,false
false,BikePoints_16,true,"Cartwright Gardens , Bloomsbury",1278341400000,001010,,false
false,BikePoints_17,true,"Hatton Wall, Holborn",1278423720000,001008,,false
false,BikePoints_18,true,"Drury Lane, Covent Garden",1278426300000,001007,,false
false,BikePoints_19,true,"Taviton Street, Bloomsbury",1278426720000,001009,,false
false,BikePoints_20,true,"Drummond Street , Euston",1544659200000,000993,,false
false,BikePoints_21,true,"Lansdowne Drive, Hackney Central",1278427740000,003426,,false
false,BikePoints_22,true,"Northington Street , Holborn",1278428880000,003425,,false
false,BikePoints_23,true,"Red Lion Square, Holborn",1278429300000,003421,,false
false,BikePoints_24,true,"British Museum, Bloomsbury",1278430140000,000981,,false
false,BikePoints_25,true,"Doric Way , Somers Town",1278433200000,001004,,false
false,BikePoints_26,true,"Ampton Street , Clerkenwell",1278434160000,001019,,false
false,BikePoints_27,true,"Bouverie Street, Temple",1278500160000,001021,,false
false,BikePoints_28,true,"Bolsover Street, Fitzrovia",1278500460000,001025,,false
false,BikePoints_29,true,"Hereford Road, Bayswater",1278501180000,001016,,false
false,BikePoints_30,true,"Windsor Terrace, Hoxton",1278501420000,001029,,false
false,BikePoints_31,true,"Fanshaw Street, Hoxton",1278501600000,003427,,false
false,BikePoints_32,true,"Leonard Circus , Shoreditch",1278506700000,001020,,false
false,BikePoints_33,true,"Central House, Aldgate",1278506940000,003430,,false
false,BikePoints_34,true,"Pancras Road, King's Cross",1278507060000,003428,,false
false,BikePoints_36,true,"De Vere Gardens, Kensington",1278519900000,003446,,false
false,BikePoints_37,true,"Penywern Road, Earl's Court",1278520020000,003444,,false
false,BikePoints_38,true,"Abingdon Villas, Kensington",1278584880000,003442,,false
false,BikePoints_39,true,"Shoreditch High Street, Shoreditch",1278601740000,003445,,false
false,BikePoints_40,true,"Commercial Street, Shoreditch",1278601980000,001083,,false
false,BikePoints_41,true,"Pindar Street, Liverpool Street",1278602280000,001084,,false
false,BikePoints_42,true,"Wenlock Road , Hoxton",1278602700000,000979,,false
false,BikePoints_43,true,"Crawford Street, Marylebone",1278687720000,001036,,false
false,BikePoints_44,true,"Bruton Street, Mayfair",1278687900000,001034,,false
false,BikePoints_45,true,"Boston Place, Marylebone",1278691320000,001035,,false
false,BikePoints_46,true,"Nesham Street, Wapping",1278691800000,001031,,false
false,BikePoints_47,true,"Warwick Avenue Station, Maida Vale",1278749160000,001027,,false
false,BikePoints_48,true,"Godliman Street, St. Paul's",1278749460000,000971,,false
false,BikePoints_49,true,"Curzon Street, Mayfair",1278749940000,003437,,false
false,BikePoints_50,true,"East Road, Hoxton",1278750240000,001054,,false
false,BikePoints_51,true,"Finsbury Library , Finsbury",1278750540000,000986,,false
false,BikePoints_52,true,"Roscoe Street, St. Luke's",1278750840000,001026,,false
false,BikePoints_53,true,"Grafton Street, Mayfair",1278752580000,003431,,false
false,BikePoints_54,true,"Golden Lane, Barbican",1278766740000,000967,,false
false,BikePoints_55,true,"Finsbury Circus, Liverpool Street",1278766980000,000984,,false
false,BikePoints_56,true,"Paddington Street, Marylebone",1278767220000,001033,,false
false,BikePoints_57,true,"Guilford Street , Bloomsbury",1278767460000,000974,,false
false,BikePoints_58,true,"New Inn Yard, Shoreditch",1278767700000,001032,,false
false,BikePoints_60,true,"Lisson Grove, St. John's Wood",1278769140000,001030,,false
false,BikePoints_61,true,"Great Dover Street, The Borough",1278773820000,001017,,false
false,BikePoints_62,true,"Cotton Garden Estate, Kennington",1278773940000,000990,,false
false,BikePoints_63,true,"Murray Grove , Hoxton",1278774120000,000989,,false
false,BikePoints_64,true,"William IV Street, Strand",1278774300000,001028,,false
false,BikePoints_65,true,"Gower Place , Euston",1278840660000,000969,,false
false,BikePoints_66,true,"Holborn Circus, Holborn",1278845280000,000982,,false
false,BikePoints_67,true,"Hatton Garden, Holborn",1278847440000,000985,,false
false,BikePoints_68,true,"Theobald's Road , Holborn",1278857040000,000975,,false
false,BikePoints_69,true,"Euston Road, Euston",1278861540000,000983,,false
false,BikePoints_70,true,"Calshot Street , King's Cross",1278863340000,001066,,false
false,BikePoints_71,true,"Newgate Street , St. Paul's",1278924900000,001074,,false
false,BikePoints_72,true,"Farringdon Lane, Clerkenwell",1276948860000,003432,,false
false,BikePoints_73,true,"Old Street Station, St. Luke's",1278941040000,001064,,false
false,BikePoints_74,true,"Vauxhall Cross, Vauxhall",1278941160000,001000,,false
false,BikePoints_75,true,"Torrens Street, Angel",1278945180000,001060,,false
false,BikePoints_76,true,"Longford Street, The Regent's Park",1278946560000,000976,,false
false,BikePoints_77,true,"Russell Square Station, Bloomsbury",1278946860000,000978,,false
false,BikePoints_78,true,"Sadlers Sports Centre, Finsbury",1278948480000,003433,,false
false,BikePoints_79,true,"Arundel Street, Temple",1509018360000,003455,,false
false,BikePoints_80,true,"Webber Street , Southwark",1278952440000,003448,,false
false,BikePoints_81,true,"Great Titchfield Street, Fitzrovia",1279012980000,003450,,false
false,BikePoints_82,true,"Chancery Lane, Holborn",1279015680000,003453,,false
false,BikePoints_83,true,"Panton Street, West End",1279015800000,003452,,false
false,BikePoints_334,true,"Concert Hall Approach 1, South Bank",1280147580000,002635,,false
false,BikePoints_335,true,"Tavistock Street, Covent Garden",1280152560000,001207,,false
false,BikePoints_336,true,"Concert Hall Approach 2, South Bank",1280152800000,001212,,false
false,BikePoints_337,true,"Pembridge Villas, Notting Hill",1280153100000,002589,,false
false,BikePoints_338,true,"Wellington Street , Strand",1280158740000,001202,,false
false,BikePoints_339,true,"Risinghill Street, Angel",1280160600000,001127,,false
false,BikePoints_340,true,"Bank of England Museum, Bank",1280248620000,001201,,false
false,BikePoints_341,true,"Craven Street, Strand",1280222160000,001160,,false
false,BikePoints_343,true,"London Zoo Car Park, The Regent's Park",1280224260000,001188,,false
false,BikePoints_344,true,"Goswell Road (City Uni), Finsbury",1280226120000,001222,,false
false,BikePoints_345,true,"Flood Street, Chelsea",1280229720000,001218,,false
false,BikePoints_347,true,"Lower Marsh, Waterloo",1283762460000,001219,,false
false,BikePoints_348,true,"Grosvenor Square, Mayfair",1284540540000,010627,,false
false,BikePoints_349,true,"St. George Street, Mayfair",1284543120000,001221,,false
false,BikePoints_350,true,"Queen's Gate, Kensington Gardens",1285756260000,001231,,false
false,BikePoints_351,true,"Macclesfield Rd, St Lukes",1286790480000,001226,,false
false,BikePoints_352,true,"Vauxhall Street, Vauxhall",1286796360000,001224,,false
false,BikePoints_353,true,"Greycoat Street , Westminster",1287652080000,010623,,false
false,BikePoints_354,true,"Northumberland Avenue, Strand",,001097,,false
false,BikePoints_355,true,"Clapham Common Station, Clapham Common",1287752460000,002694,,false
false,BikePoints_356,true,"South Kensington Station, South Kensington",1288009080000,002685,,false
false,BikePoints_357,true,"Howland Street, Fitzrovia",1288092420000,002691,,false
false,BikePoints_358,true,"High Holborn , Covent Garden",1290079860000,001229,,false
false,BikePoints_359,true,"Butler Place, Westminster",1288950960000,002662,,false
false,BikePoints_360,true,"Howick Place, Westminster",1288958160000,002666,,false
false,BikePoints_361,true,"Waterloo Station 2, Waterloo",1291902600000,002692,,false
false,BikePoints_362,true,"Royal College Street, Camden Town",1290080220000,002686,,false
false,BikePoints_363,true,"Lord's, St. John's Wood",1289911800000,002665,,false
