terminal_name,place_id,installed,install_date,removal_date,common_name,temporary,locked
001073,BikePoints_149,true,1279215360000,,"Kennington Road Post Office, Oval",false,false
001002,BikePoints_150,true,1279215540000,,"Holy Trinity Brompton, Knightsbridge",false,false
001120,BikePoints_151,true,1279215720000,,"Chepstow Villas, Notting Hill",false,false
001118,BikePoints_152,true,1279215900000,,"Hampton Street, Walworth",false,false
001096,BikePoints_153,true,1279216080000,,"Bayswater Road, Hyde Park",false,false
001072,BikePoints_154,true,,,"Waterloo Station 3, Waterloo",false,false
001121,BikePoints_155,true,1279272660000,,"Lexham Gardens, Kensington",false,false
000966,BikePoints_156,true,1279273080000,,"New Kent Road, The Borough",false,false
001094,BikePoints_157,true,1279273200000,,"Wright's Lane, Kensington",false,false
001113,BikePoints_158,true,1279273320000,,"Trebovir Road, Earl's Court",false,false
003458,BikePoints_160,true,1279274280000,,"Waterloo Place, St. James's",false,false
003478,BikePoints_161,true,1279286940000,,"Guildhouse Street, Victoria",false,false
001123,BikePoints_162,true,1279287120000,,"Southampton Place, Holborn",false,false
003461,BikePoints_163,true,1279287300000,,"Sloane Avenue, Knightsbridge",false,false
001178,BikePoints_164,true,1279287600000,,"Cleveland Gardens, Bayswater",false,false
002585,BikePoints_165,true,1279287960000,,"Orsett Terrace, Bayswater",false,false
001177,BikePoints_166,true,1279288140000,,"Seville Street, Knightsbridge",false,false
003465,BikePoints_167,true,,,"Eccleston Place, Victoria",false,false
003463,BikePoints_168,true,1279289400000,,"Argyll Road, Kensington",false,false
022158,BikePoints_432,true,1319448720000,,"Exhibition Road Museums 1, South Kensington",false,false
022169,BikePoints_433,true,1323361560000,,"Wren Street, Holborn",false,false
022170,BikePoints_435,true,1323346020000,,"Kennington Station, Kennington",false,false
022171,BikePoints_436,true,1323350220000,,"Red Lion Street, Holborn",false,false
200056,BikePoints_437,true,1325746380000,,"Vauxhall Walk, Vauxhall",false,false
200053,BikePoints_439,true,1325705460000,,"Killick Street, King's Cross",false,false
200032,BikePoints_440,true,1325708160000,,"Kennington Oval, Oval",false,false
200039,BikePoints_441,true,1325711220000,,"Sail Street, Vauxhall",false,false
200035,BikePoints_442,true,1325940420000,,"Walmer Road, Avondale",false,false
200033,BikePoints_443,true,1325941800000,,"Philpot Street, Whitechapel",false,false
200047,BikePoints_444,true,1325944680000,,"Bethnal Green Garden, Bethnal Green",false,false
200003,BikePoints_445,true,1325945820000,,"Cheshire Street, Bethnal Green",false,false
200042,BikePoints_446,true,1325948880000,,"York Hall, Bethnal Green",false,false
200054,BikePoints_447,true,1325949000000,,"Jubilee Crescent, Cubitt Town",false,false
022165,BikePoints_448,true,1325952660000,,"Fisherman's Walk West, Canary Wharf",false,false
200020,BikePoints_449,true,1325952900000,,"Shadwell Station, Shadwell",false,false
200002,BikePoints_450,true,1326105240000,,"Jubilee Street, Stepney",false,false
200021,BikePoints_451,true,1325501400000,,"Hermitage Court, Wapping",false,false
200049,BikePoints_452,true,1326109140000,,"St. Katharine's Way, Tower",false,false
200045,BikePoints_453,true,1326111060000,,"Garnet Street, Shadwell",false,false
200046,BikePoints_454,true,1326115380000,,"Napier Avenue, Millwall",false,false
200031,BikePoints_455,true,1326117780000,,"East Ferry Road, Cubitt Town",false,false
200118,BikePoints_456,true,1326197580000,,"Parkway, Camden Town",false,false
200016,BikePoints_457,true,1326203280000,,"Castlehaven Road, Camden Town",false,false
200034,BikePoints_458,true,1326294780000,,"Wapping Lane, Wapping",false,false
200014,BikePoints_459,true,,,"Gunmakers Lane, Old Ford",false,false
200123,BikePoints_460,true,1326284820000,,"Burdett Road, Mile End",false,false
200013,BikePoints_461,true,1326293640000,,"Aston Street, Stepney",true,false
200105,BikePoints_462,true,1326294600000,,"Bonny Street, Camden Town",false,false
200093,BikePoints_463,true,,,"Thurtle Road, Haggerston",false,false
200082,BikePoints_464,true,1326304980000,,"St. Mary & St. Michael Church, Stepney",false,false
200152,BikePoints_465,true,1333613280000,,"Pitfield Street North,Hoxton",false,false
200158,BikePoints_466,true,1326360000000,,"Whiston Road, Haggerston",false,false
200168,BikePoints_467,true,1326374040000,,"Southern Grove, Bow",false,false
200150,BikePoints_468,true,1326375720000,,"Cantrell Road, Bow",false,false
