removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"Southwark Station 2, Southwark",false,true,022163,1309258440000,false,BikePoints_421
,"Eaton Square (South), Belgravia",false,true,022164,1309860240000,false,BikePoints_423
,"Ebury Bridge, Pimlico",false,true,022159,1324551120000,false,BikePoints_424
,"Vincent Street, Pimlico",false,true,022161,1310463720000,false,BikePoints_426
,"Cheapside, Bank",false,true,022180,1310725680000,false,BikePoints_427
,"Exhibition Road, Knightsbridge",false,true,022179,1318496100000,false,BikePoints_428
,"South Parade, Chelsea",false,true,022182,1324549980000,false,BikePoints_430
,"Crinan Street, King's Cross",false,true,022183,1323355020000,false,BikePoints_431
,"Exhibition Road Museums 1, South Kensington",false,true,022158,1319448720000,false,BikePoints_432
,"Wren Street, Holborn",false,true,022169,1323361560000,false,BikePoints_433
,"Shoreditch Court, Haggerston",false,true,200121,1384254300000,false,BikePoints_698
,"Belford House, Haggerston",false,true,200057,1384256040000,false,BikePoints_699
,"Battersea Church Road, Battersea",false,true,200201,1384343280000,false,BikePoints_700
,"Vicarage Crescent, Battersea",false,true,200077,1384345080000,false,BikePoints_701
,"Durant Street, Bethnal Green",false,true,200213,1384345860000,false,BikePoints_702
,"St. Bride Street, Holborn",false,true,200094,1384357800000,false,BikePoints_703
,"Mexfield Road, East Putney",false,true,200063,1384443480000,false,BikePoints_704
1539845700000,"Upper Richmond Road, Putney",false,true,300042,1384453020000,true,BikePoints_705
,"Snowsfields, London Bridge",false,true,200193,1384420920000,false,BikePoints_706
,"Barons Court Station, West Kensington",false,true,200197,1384435680000,false,BikePoints_707
,"Disraeli Road, Putney",false,true,200217,1384530180000,false,BikePoints_708
,"Montserrat Road , Putney",false,true,200205,1384510140000,false,BikePoints_709
,"Albert Bridge Road, Battersea Park",false,true,300045,1384520580000,false,BikePoints_710
,"Everington Street, Fulham",false,true,300028,1384791540000,false,BikePoints_711
,"Mile End Stadium, Mile End",false,true,300056,1384797120000,false,BikePoints_712
,"Stewart's Road, Wandsworth Road",false,true,300055,1384865400000,false,BikePoints_714
,"Aylward Street, Stepney",false,true,300049,1384868460000,false,BikePoints_715
,"Dunston Road , Haggerston",false,true,300024,1384952400000,false,BikePoints_717
,"Ada Street, Hackney Central",false,true,300040,1384962840000,false,BikePoints_718
,"Victoria Park Road, Hackney Central",false,true,300011,1384968480000,false,BikePoints_719
,"Star Road, West Kensington",false,true,300038,1385025840000,false,BikePoints_720
,"Wendon Street, Old Ford",false,true,300039,1385028480000,false,BikePoints_721
,"Finnis Street, Bethnal Green",false,true,300041,1385028600000,false,BikePoints_722
,"Stephendale Road, Sands End",false,true,300053,1385035380000,false,BikePoints_723
,"Alma Road, Wandsworth",false,true,300046,1385125380000,false,BikePoints_724
,"Walworth Square, Walworth",false,true,300050,1563352500000,false,BikePoints_725
,"Alfreda Street, Battersea Park",false,true,300047,1385128740000,false,BikePoints_726
,"Chesilton Road, Fulham",false,true,300054,1385132160000,false,BikePoints_727
,"Putney Bridge Road, East Putney",false,true,300044,1385466780000,false,BikePoints_728
,"St. Peter's Terrace, Fulham",false,true,300043,1385391300000,false,BikePoints_729
,"Bridge Avenue, Hammersmith",false,true,300082,1385132580000,false,BikePoints_730
