locked,install_date,terminal_name,common_name,temporary,place_id,installed,removal_date
false,1279105320000,001041,"Westbourne Grove, Bayswater",false,BikePoints_105,true,
false,1279106880000,001042,"Woodstock Street, Mayfair",false,BikePoints_106,true,
false,1279107480000,001049,"Finsbury Leisure Centre, St. Luke's",false,BikePoints_107,true,
false,1279107720000,003429,"Abbey Orchard Street, Westminster",false,BikePoints_108,true,
false,1279108320000,001052,"Soho Square , Soho",false,BikePoints_109,true,
false,1279108920000,001055,"Wellington Road, St. John's Wood",false,BikePoints_110,true,
false,1279109160000,001037,"Park Lane , Hyde Park",false,BikePoints_111,true,
false,1279116600000,003435,"Gloucester Road (Central), South Kensington",false,BikePoints_113,true,
false,1279119900000,001050,"Park Road (Baker Street), The Regent's Park",false,BikePoints_114,true,
false,1279120680000,001062,"Braham Street, Aldgate",false,BikePoints_115,true,
false,1279122360000,000995,"Little Argyll Street, West End",false,BikePoints_116,true,
false,1279124220000,000998,"Lollard Street, Vauxhall",false,BikePoints_117,true,
false,1279124520000,003457,"Rochester Row, Westminster",false,BikePoints_118,true,
false,1279124760000,000964,"Bath Street, St. Luke's",false,BikePoints_119,true,
false,1279187040000,001044,"The Guildhall, Guildhall",false,BikePoints_120,true,
false,1279189200000,001086,"Baker Street, Marylebone",false,BikePoints_121,true,
false,1279190040000,001068,"Norton Folgate, Liverpool Street",false,BikePoints_122,true,
false,1279191300000,000992,"St. John Street, Finsbury",false,BikePoints_123,true,
false,1279191540000,001069,"Eaton Square, Belgravia",false,BikePoints_124,true,
false,1279192200000,000996,"Borough High Street, The Borough",false,BikePoints_125,true,
false,1279193340000,001043,"Museum of London, Barbican",false,BikePoints_126,true,
false,1279193520000,001063,"Wood Street, Guildhall",false,BikePoints_127,true,
false,1279194060000,001116,"Emperor's Gate, South Kensington",false,BikePoints_128,true,
false,1279198500000,003451,"Golden Square, Soho",false,BikePoints_129,true,
false,1279198800000,001071,"Tower Gardens , Tower",false,BikePoints_130,true,
false,1279199280000,001005,"Eversholt Street , Camden Town",false,BikePoints_131,true,
false,1279199520000,000973,"Bethnal Green Road, Shoreditch",false,BikePoints_132,true,
false,1279200240000,003436,"Derry Street, Kensington",false,BikePoints_133,true,
false,1279200900000,001039,"Wapping High Street, Wapping",false,BikePoints_134,true,
false,1279201080000,001053,"Clerkenwell Green, Clerkenwell",false,BikePoints_135,true,
false,1279201200000,001048,"Queen Victoria Street, St. Paul's",false,BikePoints_136,true,
false,1279205220000,003464,"Green Street, Mayfair",false,BikePoints_138,true,
false,1279205460000,001078,"Lambeth Road, Vauxhall",false,BikePoints_139,true,
false,1279205580000,001056,"Finsbury Square , Moorgate",false,BikePoints_140,true,
false,1279210980000,001003,"Chapel Place, Marylebone",false,BikePoints_141,true,
false,1279211220000,001001,"West Cromwell Road, Earl's Court",false,BikePoints_142,true,
false,1279211400000,001114,"Pont Street, Knightsbridge",false,BikePoints_143,true,
false,1279211580000,001093,"Kennington Cross, Kennington",false,BikePoints_144,true,
false,1279212180000,001115,"Ilchester Place, Kensington",false,BikePoints_145,true,
false,1279212360000,001046,"Vauxhall Bridge , Pimlico",false,BikePoints_146,true,
false,,000965,"Tachbrook Street, Victoria",false,BikePoints_148,true,
false,1279215360000,001073,"Kennington Road Post Office, Oval",false,BikePoints_149,true,
false,1279215540000,001002,"Holy Trinity Brompton, Knightsbridge",false,BikePoints_150,true,
false,1279215720000,001120,"Chepstow Villas, Notting Hill",false,BikePoints_151,true,
false,1279215900000,001118,"Hampton Street, Walworth",false,BikePoints_152,true,
false,1279216080000,001096,"Bayswater Road, Hyde Park",false,BikePoints_153,true,
false,,001072,"Waterloo Station 3, Waterloo",false,BikePoints_154,true,
false,1279272660000,001121,"Lexham Gardens, Kensington",false,BikePoints_155,true,
false,1279273080000,000966,"New Kent Road, The Borough",false,BikePoints_156,true,
false,1279273200000,001094,"Wright's Lane, Kensington",false,BikePoints_157,true,
false,1279273320000,001113,"Trebovir Road, Earl's Court",false,BikePoints_158,true,
false,1279274280000,003458,"Waterloo Place, St. James's",false,BikePoints_160,true,
false,1279286940000,003478,"Guildhouse Street, Victoria",false,BikePoints_161,true,
false,1279287120000,001123,"Southampton Place, Holborn",false,BikePoints_162,true,
false,1279287300000,003461,"Sloane Avenue, Knightsbridge",false,BikePoints_163,true,
false,1279287600000,001178,"Cleveland Gardens, Bayswater",false,BikePoints_164,true,
false,1279287960000,002585,"Orsett Terrace, Bayswater",false,BikePoints_165,true,
false,1279288140000,001177,"Seville Street, Knightsbridge",false,BikePoints_166,true,
false,,003465,"Eccleston Place, Victoria",false,BikePoints_167,true,
false,1279289400000,003463,"Argyll Road, Kensington",false,BikePoints_168,true,
false,1323350220000,022171,"Red Lion Street, Holborn",false,BikePoints_436,true,
false,1325746380000,200056,"Vauxhall Walk, Vauxhall",false,BikePoints_437,true,
false,1325705460000,200053,"Killick Street, King's Cross",false,BikePoints_439,true,
false,1325708160000,200032,"Kennington Oval, Oval",false,BikePoints_440,true,
false,1325711220000,200039,"Sail Street, Vauxhall",false,BikePoints_441,true,
false,1325940420000,200035,"Walmer Road, Avondale",false,BikePoints_442,true,
false,1325941800000,200033,"Philpot Street, Whitechapel",false,BikePoints_443,true,
false,1325944680000,200047,"Bethnal Green Garden, Bethnal Green",false,BikePoints_444,true,
false,1325945820000,200003,"Cheshire Street, Bethnal Green",false,BikePoints_445,true,
false,1325948880000,200042,"York Hall, Bethnal Green",false,BikePoints_446,true,
false,1325949000000,200054,"Jubilee Crescent, Cubitt Town",false,BikePoints_447,true,
false,1325952660000,022165,"Fisherman's Walk West, Canary Wharf",false,BikePoints_448,true,
false,1325952900000,200020,"Shadwell Station, Shadwell",false,BikePoints_449,true,
false,1326105240000,200002,"Jubilee Street, Stepney",false,BikePoints_450,true,
false,1325501400000,200021,"Hermitage Court, Wapping",false,BikePoints_451,true,
false,1326109140000,200049,"St. Katharine's Way, Tower",false,BikePoints_452,true,
false,1326111060000,200045,"Garnet Street, Shadwell",false,BikePoints_453,true,
false,1326115380000,200046,"Napier Avenue, Millwall",false,BikePoints_454,true,
false,1326117780000,200031,"East Ferry Road, Cubitt Town",false,BikePoints_455,true,
false,1326197580000,200118,"Parkway, Camden Town",false,BikePoints_456,true,
false,1326203280000,200016,"Castlehaven Road, Camden Town",false,BikePoints_457,true,
false,1326294780000,200034,"Wapping Lane, Wapping",false,BikePoints_458,true,
false,,200014,"Gunmakers Lane, Old Ford",false,BikePoints_459,true,
false,1326284820000,200123,"Burdett Road, Mile End",false,BikePoints_460,true,
false,1326293640000,200013,"Aston Street, Stepney",true,BikePoints_461,true,
false,1326294600000,200105,"Bonny Street, Camden Town",false,BikePoints_462,true,
false,,200093,"Thurtle Road, Haggerston",false,BikePoints_463,true,
false,1326304980000,200082,"St. Mary & St. Michael Church, Stepney",false,BikePoints_464,true,
false,1333613280000,200152,"Pitfield Street North,Hoxton",false,BikePoints_465,true,
false,1326360000000,200158,"Whiston Road, Haggerston",false,BikePoints_466,true,
false,1326374040000,200168,"Southern Grove, Bow",false,BikePoints_467,true,
false,1326375720000,200150,"Cantrell Road, Bow",false,BikePoints_468,true,
false,1326381060000,022178,"Lindfield Street, Poplar",false,BikePoints_469,true,
false,1326790620000,200174,"Mostyn Grove, Bow",false,BikePoints_470,true,
false,1326790860000,200006,"Hewison Street, Old Ford",false,BikePoints_471,true,
