installed,terminal_name,removal_date,common_name,locked,place_id,temporary,install_date
true,300101,,"Little Brook Green, Brook Green",false,BikePoints_775,false,1396270320000
true,300099,,"Abyssinia Close, Clapham Junction",false,BikePoints_776,false,1396273320000
true,300100,,"Limburg Road, Clapham Junction",false,BikePoints_777,false,1406282940000
true,200072,,"Houndsditch, Aldgate",false,BikePoints_779,false,1435313700000
true,300070,,"Imperial Wharf Station, Sands End",false,BikePoints_780,false,1439455200000
true,000994,,"Tanner Street, Bermondsey",false,BikePoints_85,false,1279026060000
true,003434,,"Sancroft Street, Vauxhall",false,BikePoints_86,false,1279027140000
true,003438,,"Devonshire Square, Liverpool Street",false,BikePoints_87,false,1279027680000
true,001006,,"Bayley Street , Bloomsbury",false,BikePoints_88,false,1279028280000
true,003439,,"Tavistock Place, Bloomsbury",false,BikePoints_89,false,1279029360000
true,001038,,"Harrington Square 1, Camden Town",false,BikePoints_90,false,1279030020000
true,001076,,"Walnut Tree Walk, Vauxhall",false,BikePoints_91,false,1279036740000
true,001082,,"Borough Road, Elephant & Castle",false,BikePoints_92,false,1279037040000
true,002586,,"Cloudesley Road, Angel",false,BikePoints_93,false,1279037760000
true,001070,,"Bricklayers Arms, Borough",false,BikePoints_94,false,1279038420000
true,001065,,"Aldersgate Street, Barbican",false,BikePoints_95,false,1279096560000
true,001047,,"Falkirk Street, Hoxton",false,BikePoints_96,false,1279096980000
true,003447,,"Gloucester Road (North), Kensington",false,BikePoints_97,false,1279097580000
true,000972,,"Hampstead Road, Euston",false,BikePoints_98,false,1279099080000
true,001085,,"Old Quebec Street, Marylebone",false,BikePoints_99,false,1279099680000
true,001059,,"Albert Embankment, Vauxhall",false,BikePoints_100,false,1279099860000
true,000999,,"Queen Street 1, Bank",false,BikePoints_101,false,1279102680000
true,001045,,"Jewry Street, Aldgate",false,BikePoints_102,false,1279102860000
true,003441,,"Vicarage Gate, Kensington",false,BikePoints_103,false,1279103520000
true,000991,,"Crosswall, Tower",false,BikePoints_104,false,1279103760000
true,001041,,"Westbourne Grove, Bayswater",false,BikePoints_105,false,1279105320000
true,001042,,"Woodstock Street, Mayfair",false,BikePoints_106,false,1279106880000
true,001049,,"Finsbury Leisure Centre, St. Luke's",false,BikePoints_107,false,1279107480000
true,003429,,"Abbey Orchard Street, Westminster",false,BikePoints_108,false,1279107720000
true,001052,,"Soho Square , Soho",false,BikePoints_109,false,1279108320000
true,001055,,"Wellington Road, St. John's Wood",false,BikePoints_110,false,1279108920000
true,001037,,"Park Lane , Hyde Park",false,BikePoints_111,false,1279109160000
true,003435,,"Gloucester Road (Central), South Kensington",false,BikePoints_113,false,1279116600000
true,001050,,"Park Road (Baker Street), The Regent's Park",false,BikePoints_114,false,1279119900000
true,001062,,"Braham Street, Aldgate",false,BikePoints_115,false,1279120680000
true,000995,,"Little Argyll Street, West End",false,BikePoints_116,false,1279122360000
true,000998,,"Lollard Street, Vauxhall",false,BikePoints_117,false,1279124220000
true,003457,,"Rochester Row, Westminster",false,BikePoints_118,false,1279124520000
true,000964,,"Bath Street, St. Luke's",false,BikePoints_119,false,1279124760000
true,001044,,"The Guildhall, Guildhall",false,BikePoints_120,false,1279187040000
true,001086,,"Baker Street, Marylebone",false,BikePoints_121,false,1279189200000
true,001068,,"Norton Folgate, Liverpool Street",false,BikePoints_122,false,1279190040000
true,000992,,"St. John Street, Finsbury",false,BikePoints_123,false,1279191300000
true,001069,,"Eaton Square, Belgravia",false,BikePoints_124,false,1279191540000
true,000996,,"Borough High Street, The Borough",false,BikePoints_125,false,1279192200000
true,001043,,"Museum of London, Barbican",false,BikePoints_126,false,1279193340000
true,001063,,"Wood Street, Guildhall",false,BikePoints_127,false,1279193520000
true,001116,,"Emperor's Gate, South Kensington",false,BikePoints_128,false,1279194060000
true,003451,,"Golden Square, Soho",false,BikePoints_129,false,1279198500000
true,001071,,"Tower Gardens , Tower",false,BikePoints_130,false,1279198800000
true,001005,,"Eversholt Street , Camden Town",false,BikePoints_131,false,1279199280000
true,000973,,"Bethnal Green Road, Shoreditch",false,BikePoints_132,false,1279199520000
true,003436,,"Derry Street, Kensington",false,BikePoints_133,false,1279200240000
true,001039,,"Wapping High Street, Wapping",false,BikePoints_134,false,1279200900000
true,001053,,"Clerkenwell Green, Clerkenwell",false,BikePoints_135,false,1279201080000
true,001048,,"Queen Victoria Street, St. Paul's",false,BikePoints_136,false,1279201200000
true,003464,,"Green Street, Mayfair",false,BikePoints_138,false,1279205220000
true,001078,,"Lambeth Road, Vauxhall",false,BikePoints_139,false,1279205460000
true,001056,,"Finsbury Square , Moorgate",false,BikePoints_140,false,1279205580000
true,001003,,"Chapel Place, Marylebone",false,BikePoints_141,false,1279210980000
true,001001,,"West Cromwell Road, Earl's Court",false,BikePoints_142,false,1279211220000
true,001114,,"Pont Street, Knightsbridge",false,BikePoints_143,false,1279211400000
true,001093,,"Kennington Cross, Kennington",false,BikePoints_144,false,1279211580000
true,001115,,"Ilchester Place, Kensington",false,BikePoints_145,false,1279212180000
true,001046,,"Vauxhall Bridge , Pimlico",false,BikePoints_146,false,1279212360000
true,000965,,"Tachbrook Street, Victoria",false,BikePoints_148,false,
true,001073,,"Kennington Road Post Office, Oval",false,BikePoints_149,false,1279215360000
true,001002,,"Holy Trinity Brompton, Knightsbridge",false,BikePoints_150,false,1279215540000
true,001118,,"Hampton Street, Walworth",false,BikePoints_152,false,1279215900000
true,001096,,"Bayswater Road, Hyde Park",false,BikePoints_153,false,1279216080000
true,001072,,"Waterloo Station 3, Waterloo",false,BikePoints_154,false,
true,001121,,"Lexham Gardens, Kensington",false,BikePoints_155,false,1279272660000
true,000966,,"New Kent Road, The Borough",false,BikePoints_156,false,1279273080000
