installed,temporary,terminal_name,removal_date,place_id,locked,install_date,common_name
true,false,200131,,BikePoints_507,false,1327938420000,"Clarkson Street, Bethnal Green"
true,false,200157,,BikePoints_508,false,1327938180000,"Fournier Street, Whitechapel"
true,false,200253,,BikePoints_509,false,1327938120000,"Fore Street, Guildhall"
true,false,200238,,BikePoints_510,false,,"Westferry DLR, Limehouse"
true,false,200256,,BikePoints_511,false,1327937940000,"Sutton Street, Shadwell"
true,false,200083,,BikePoints_512,false,1328112600000,"Pritchard's Road, Bethnal Green"
true,false,200162,,BikePoints_513,false,,"Watney Market, Stepney"
true,false,200008,,BikePoints_514,false,1328201520000,"Portman Square, Marylebone"
true,false,200080,,BikePoints_515,false,,"Russell Gardens, Olympia"
true,false,200089,,BikePoints_516,false,1328202420000,"Chrisp Street Market, Poplar"
true,false,200027,,BikePoints_517,false,1326790860000,"Ford Road, Old Ford"
true,false,200041,,BikePoints_518,false,,"Antill Road, Mile End"
true,false,200254,,BikePoints_519,false,,"Teviot Street, Poplar"
true,false,200234,,BikePoints_520,false,,"Bancroft Road, Bethnal Green"
true,false,200030,,BikePoints_521,false,,"Driffield Road, Old Ford"
true,false,300210,,BikePoints_782,false,1446485820000,"Halford Road, West Kensington"
true,false,300213,,BikePoints_783,false,1448529660000,"Monier Road, Hackney Wick"
true,false,300200,,BikePoints_784,false,1452789240000,"East Village, Queen Elizabeth Olympic Park"
true,false,300233,,BikePoints_785,false,1451908440000,"Aquatic Centre, Queen Elizabeth Olympic Park"
true,false,300029,,BikePoints_786,false,1451918160000,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
true,false,300227,,BikePoints_787,false,1451900700000,"Timber Lodge, Queen Elizabeth Olympic Park"
true,false,300226,,BikePoints_788,false,1451906880000,"Copper Box Arena, Queen Elizabeth Olympic Park"
true,false,300021,,BikePoints_789,false,1452507000000,"Podium, Queen Elizabeth Olympic Park"
true,false,300234,,BikePoints_790,false,1452687420000,"Stratford Station, Stratford"
true,false,300214,,BikePoints_792,false,1454926380000,"Blackfriars Road, Southwark"
true,false,300205,,BikePoints_793,false,1459424760000,"Cromer Street, Bloomsbury"
true,false,300204,,BikePoints_794,false,1456404240000,"Victoria Rise, Clapham Common"
true,false,300203,,BikePoints_795,false,1456744740000,"Euston Square Gardens, Euston"
true,false,300201,,BikePoints_796,false,1456746420000,"Coram Street, Bloomsbury"
true,false,300211,,BikePoints_797,false,1456839540000,"Ossulston Street, Somers Town"
true,false,300212,,BikePoints_798,false,1464787980000,"Birkenhead Street, King's Cross"
true,false,300202,,BikePoints_799,false,1464876480000,"Kings Gate House, Westminster"
true,false,300248,,BikePoints_800,false,1457107140000,"Sopwith Way, Battersea Park"
true,false,300208,,BikePoints_801,false,1458824640000,"Lavington Street, Bankside"
true,false,300209,,BikePoints_802,false,1464865500000,"Albert Square, Stockwell"
true,false,300238,,BikePoints_803,false,1464787860000,"Southwark Street, Bankside"
true,false,300243,,BikePoints_804,false,1459410960000,"Good's Way, King's Cross"
true,false,300244,,BikePoints_805,false,1467626400000,"The Metropolitan, Portobello"
true,false,300241,,BikePoints_806,false,1472723460000,"Handyside Street, King's Cross"
true,false,300236,,BikePoints_807,false,1466715600000,"Bevington Road West, North Kensington"
true,false,300207,,BikePoints_808,false,1461753540000,"Gauden Road, Clapham"
true,false,300240,,BikePoints_809,false,1467640800000,"Lincoln's Inn Fields, Holborn"
true,false,300237,,BikePoints_810,false,1464943200000,"Tate Modern, Bankside"
true,false,300228,,BikePoints_811,false,1469538960000,"Westferry Circus, Canary Wharf"
true,false,300217,,BikePoints_812,false,1469005200000,"Here East North, Queen Elizabeth Olympic Park"
true,false,300224,,BikePoints_813,false,1467627120000,"New Spring Gardens Walk, Vauxhall"
true,false,300245,,BikePoints_814,false,1464870060000,"Clapham Road, Lingham Street, Stockwell"
true,false,300231,,BikePoints_815,false,1462357680000,"Lambeth Palace Road, Waterloo"
true,false,300219,,BikePoints_816,false,1489065360000,"Here East South, Queen Elizabeth Olympic Park"
true,false,300232,,BikePoints_817,false,1464949140000,"Riverlight South, Nine Elms"
true,false,300249,,BikePoints_818,false,1563958740000,"Westminster Pier, Westminster"
true,false,300246,,BikePoints_819,false,1476360120000,"Belvedere Road 2, South Bank"
true,false,300239,,BikePoints_820,false,1481807940000,"Victory Place, Walworth"
true,false,300221,,BikePoints_821,false,1487335920000,"Battersea Power Station, Battersea Park"
true,false,300242,,BikePoints_826,false,1500554880000,"Allington Street, Victoria"
true,false,300247,,BikePoints_827,false,1517788800000,"Cranmer Road, Stockwell"
true,false,300225,,BikePoints_828,false,1517788800000,"Normandy Road, Stockwell"
true,false,300230,,BikePoints_829,false,1517443200000,"Wynne Road, Stockwell"
true,false,300229,,BikePoints_830,false,1517961600000,"Sidney Road, Stockwell"
true,false,300215,,BikePoints_831,false,1517961600000,"St John's Crescent, Brixton"
true,false,200240,,BikePoints_832,false,1517961600000,"Ferndale Road, Brixton"
true,false,300206,,BikePoints_833,false,1517875200000,"Saltoun Road, Brixton"
true,false,300216,,BikePoints_834,false,1529449200000,"Gas Holders, Battersea Park"
true,false,300220,,BikePoints_835,false,,"Farringdon Street, Holborn"
true,false,300235,,BikePoints_836,false,,"York Way, Kings Cross"
true,false,300222,,BikePoints_838,false,1539254700000,"Fore Street Avenue, Guildhall"
true,false,200144,,BikePoints_839,false,1544611140000,"Sea Containers, South Bank"
true,false,002679,,BikePoints_840,false,1599752640000,"George Row, Bermondsey"
true,false,002667,,BikePoints_841,false,,"Tower Wharf, Bermondsey"
true,false,300252,,BikePoints_844,false,1608298140000,"Canada Water Station, Rotherhithe"
true,false,300253,,BikePoints_845,false,1608303660000,"Bermondsey Station, Bermondsey"
true,false,001023,,BikePoints_1,false,1278947280000,"River Street , Clerkenwell"
true,false,001018,,BikePoints_2,false,1278585780000,"Phillimore Gardens, Kensington"
true,false,001012,,BikePoints_3,false,1278240360000,"Christopher Street, Liverpool Street"
true,false,001013,,BikePoints_4,false,1278241080000,"St. Chad's Street, King's Cross"
true,false,003420,,BikePoints_5,false,1278241440000,"Sedding Street, Sloane Square"
true,false,003424,,BikePoints_6,false,1278241680000,"Broadcasting House, Marylebone"
true,false,003422,,BikePoints_7,false,1278241800000,"Charlbert Street, St. John's Wood"
true,false,003423,,BikePoints_8,false,1540984560000,"Maida Vale, Maida Vale"
true,false,001015,,BikePoints_9,false,1278242340000,"New Globe Walk, Bankside"
true,false,001024,,BikePoints_10,false,1278242460000,"Park Street, Bankside"
true,false,001022,,BikePoints_11,false,1278340440000,"Brunswick Square, Bloomsbury"
true,false,000980,,BikePoints_12,false,1278340620000,"Malet Street, Bloomsbury"
true,false,000970,,BikePoints_13,false,1278340800000,"Scala Street, Fitzrovia"
true,false,001011,,BikePoints_14,false,1278341040000,"Belgrove Street , King's Cross"
true,false,000988,,BikePoints_15,false,1278341220000,"Great Russell Street, Bloomsbury"
true,false,001010,,BikePoints_16,false,1278341400000,"Cartwright Gardens , Bloomsbury"
true,false,001008,,BikePoints_17,false,1278423720000,"Hatton Wall, Holborn"
true,false,001007,,BikePoints_18,false,1278426300000,"Drury Lane, Covent Garden"
true,false,001009,,BikePoints_19,false,1278426720000,"Taviton Street, Bloomsbury"
true,false,000993,,BikePoints_20,false,1544659200000,"Drummond Street , Euston"
true,false,003426,,BikePoints_21,false,1278427740000,"Lansdowne Drive, Hackney Central"
true,false,003425,,BikePoints_22,false,1278428880000,"Northington Street , Holborn"
true,false,003421,,BikePoints_23,false,1278429300000,"Red Lion Square, Holborn"
true,false,000981,,BikePoints_24,false,1278430140000,"British Museum, Bloomsbury"
true,false,001004,,BikePoints_25,false,1278433200000,"Doric Way , Somers Town"
true,false,001019,,BikePoints_26,false,1278434160000,"Ampton Street , Clerkenwell"
true,false,001021,,BikePoints_27,false,1278500160000,"Bouverie Street, Temple"
true,false,001025,,BikePoints_28,false,1278500460000,"Bolsover Street, Fitzrovia"
true,false,001016,,BikePoints_29,false,1278501180000,"Hereford Road, Bayswater"
true,false,001029,,BikePoints_30,false,1278501420000,"Windsor Terrace, Hoxton"
true,false,003427,,BikePoints_31,false,1278501600000,"Fanshaw Street, Hoxton"
true,false,001020,,BikePoints_32,false,1278506700000,"Leonard Circus , Shoreditch"
true,false,003430,,BikePoints_33,false,1278506940000,"Central House, Aldgate"
true,false,003428,,BikePoints_34,false,1278507060000,"Pancras Road, King's Cross"
true,false,003446,,BikePoints_36,false,1278519900000,"De Vere Gardens, Kensington"
