common_name,removal_date,temporary,terminal_name,place_id,installed,locked,install_date
"Finsbury Library , Finsbury",,false,000986,BikePoints_51,true,false,1278750540000
"Roscoe Street, St. Luke's",,false,001026,BikePoints_52,true,false,1278750840000
"Grafton Street, Mayfair",,false,003431,BikePoints_53,true,false,1278752580000
"Golden Lane, Barbican",,false,000967,BikePoints_54,true,false,1278766740000
"Finsbury Circus, Liverpool Street",,false,000984,BikePoints_55,true,false,1278766980000
"Paddington Street, Marylebone",,false,001033,BikePoints_56,true,false,1278767220000
"Guilford Street , Bloomsbury",,false,000974,BikePoints_57,true,false,1278767460000
"New Inn Yard, Shoreditch",,false,001032,BikePoints_58,true,false,1278767700000
"Lisson Grove, St. John's Wood",,false,001030,BikePoints_60,true,false,1278769140000
"Great Dover Street, The Borough",,false,001017,BikePoints_61,true,false,1278773820000
"Cotton Garden Estate, Kennington",,false,000990,BikePoints_62,true,false,1278773940000
"Murray Grove , Hoxton",,false,000989,BikePoints_63,true,false,1278774120000
"William IV Street, Strand",,false,001028,BikePoints_64,true,false,1278774300000
"Holborn Circus, Holborn",,false,000982,BikePoints_66,true,false,1278845280000
"Hatton Garden, Holborn",,false,000985,BikePoints_67,true,false,1278847440000
"Theobald's Road , Holborn",,false,000975,BikePoints_68,true,false,1278857040000
"Euston Road, Euston",,false,000983,BikePoints_69,true,false,1278861540000
"Calshot Street , King's Cross",,false,001066,BikePoints_70,true,false,1278863340000
"Newgate Street , St. Paul's",,false,001074,BikePoints_71,true,false,1278924900000
"Farringdon Lane, Clerkenwell",,false,003432,BikePoints_72,true,false,1276948860000
"Old Street Station, St. Luke's",,false,001064,BikePoints_73,true,false,1278941040000
"Vauxhall Cross, Vauxhall",,false,001000,BikePoints_74,true,false,1278941160000
"Torrens Street, Angel",,false,001060,BikePoints_75,true,false,1278945180000
"Longford Street, The Regent's Park",,false,000976,BikePoints_76,true,false,1278946560000
"Russell Square Station, Bloomsbury",,false,000978,BikePoints_77,true,false,1278946860000
"Sadlers Sports Centre, Finsbury",,false,003433,BikePoints_78,true,false,1278948480000
"Arundel Street, Temple",,false,003455,BikePoints_79,true,false,1509018360000
"Webber Street , Southwark",,false,003448,BikePoints_80,true,false,1278952440000
"Great Titchfield Street, Fitzrovia",,false,003450,BikePoints_81,true,false,1279012980000
"Chancery Lane, Holborn",,false,003453,BikePoints_82,true,false,1279015680000
"Panton Street, West End",,false,003452,BikePoints_83,true,false,1279015800000
"Wellington Street , Strand",,false,001202,BikePoints_338,true,false,1280158740000
"Risinghill Street, Angel",,false,001127,BikePoints_339,true,false,1280160600000
"Bank of England Museum, Bank",,false,001201,BikePoints_340,true,false,1280248620000
"Craven Street, Strand",,false,001160,BikePoints_341,true,false,1280222160000
"London Zoo Car Park, The Regent's Park",,false,001188,BikePoints_343,true,false,1280224260000
"Goswell Road (City Uni), Finsbury",,false,001222,BikePoints_344,true,false,1280226120000
"Flood Street, Chelsea",,false,001218,BikePoints_345,true,false,1280229720000
"Lower Marsh, Waterloo",,false,001219,BikePoints_347,true,false,1283762460000
"Grosvenor Square, Mayfair",,false,010627,BikePoints_348,true,false,1284540540000
"St. George Street, Mayfair",,false,001221,BikePoints_349,true,false,1284543120000
"Queen's Gate, Kensington Gardens",,false,001231,BikePoints_350,true,false,1285756260000
"Macclesfield Rd, St Lukes",,false,001226,BikePoints_351,true,false,1286790480000
