temporary,place_id,install_date,removal_date,common_name,terminal_name,installed,locked
false,BikePoints_375,1291805820000,,"Kensington Town Hall, Kensington",010632,true,false
false,BikePoints_376,1294660980000,,"Millbank Tower, Pimlico",002683,true,false
false,BikePoints_377,1295265420000,,"Waterloo Bridge, South Bank",002648,true,false
false,BikePoints_378,1296121500000,,"Natural History Museum, South Kensington",002677,true,false
false,BikePoints_379,1296121680000,,"Turquoise Island, Notting Hill",002682,true,false
false,BikePoints_380,1296125400000,,"Stanhope Gate, Mayfair",003506,true,false
false,BikePoints_381,1296203760000,,"Charlotte Street, Fitzrovia",002669,true,false
false,BikePoints_382,1297159320000,,"Farm Street, Mayfair",002678,true,false
false,BikePoints_383,1296649200000,,"Frith Street, Soho",002660,true,false
false,BikePoints_384,1296731880000,,"Marloes Road, Kensington",003505,true,false
false,BikePoints_386,1296732540000,,"Moor Street, Soho",003504,true,false
false,BikePoints_387,1297077540000,,"Fire Brigade Pier, Vauxhall",002703,true,false
false,BikePoints_388,1297182180000,,"Southampton Street, Strand",001228,true,false
false,BikePoints_389,1297347960000,,"Upper Grosvenor Street, Mayfair",010621,true,false
false,BikePoints_390,1297764360000,,"Buxton Street 1, Shoreditch",001223,true,false
false,BikePoints_391,1297956480000,1539846000000,"Clifford Street, Mayfair",002688,true,false
false,BikePoints_392,1297958700000,,"Imperial College, Knightsbridge",001220,true,false
false,BikePoints_393,1298545440000,,"Snow Hill, Farringdon",002699,true,false
false,BikePoints_394,,,"Aberdeen Place, St. John's Wood",002698,true,false
false,BikePoints_395,1298908800000,,"Cadogan Gardens, Chelsea",002695,true,false
false,BikePoints_396,1299075120000,,"Shouldham Street, Marylebone",002693,true,false
false,BikePoints_397,1299075900000,,"Devonshire Terrace, Bayswater",001227,true,false
false,BikePoints_398,1299076440000,,"Holland Park, Kensington",010631,true,false
false,BikePoints_399,1299582900000,,"Brick Lane Market, Shoreditch",002687,true,false
false,BikePoints_400,1299583260000,,"George Street, Marylebone",001225,true,false
false,BikePoints_401,1299592500000,,"Columbia Road, Shoreditch",002701,true,false
false,BikePoints_402,1299592860000,,"Penfold Street, Marylebone",010625,true,false
false,BikePoints_403,1299593640000,,"George Place Mews, Marylebone",010630,true,false
false,BikePoints_404,1299669180000,,"Palace Gate, Kensington Gardens",001110,true,false
false,BikePoints_405,1299669300000,,"Gloucester Road Station, South Kensington",001107,true,false
false,BikePoints_408,,,"Sun Street, Liverpool Street",001129,true,false
false,BikePoints_409,,,"Strata, Elephant & Castle",010624,true,false
false,BikePoints_410,,,"Edgware Road Station, Marylebone",001058,true,false
false,BikePoints_411,,,"Rotherhithe Roundabout, Rotherhithe",010629,true,false
false,BikePoints_412,1302006180000,,"Cleaver Street, Kennington",010628,true,false
false,BikePoints_419,1308735300000,,"Chelsea Bridge, Pimlico",022160,true,false
false,BikePoints_420,1309258380000,,"Southwark Station 1, Southwark",022162,true,false
false,BikePoints_421,1309258440000,,"Southwark Station 2, Southwark",022163,true,false
false,BikePoints_423,1309860240000,,"Eaton Square (South), Belgravia",022164,true,false
false,BikePoints_424,1324551120000,,"Ebury Bridge, Pimlico",022159,true,false
false,BikePoints_426,1310463720000,,"Vincent Street, Pimlico",022161,true,false
false,BikePoints_427,1310725680000,,"Cheapside, Bank",022180,true,false
false,BikePoints_428,1318496100000,,"Exhibition Road, Knightsbridge",022179,true,false
false,BikePoints_430,1324549980000,,"South Parade, Chelsea",022182,true,false
false,BikePoints_431,1323355020000,,"Crinan Street, King's Cross",022183,true,false
false,BikePoints_432,1319448720000,,"Exhibition Road Museums 1, South Kensington",022158,true,false
false,BikePoints_433,1323361560000,,"Wren Street, Holborn",022169,true,false
false,BikePoints_698,1384254300000,,"Shoreditch Court, Haggerston",200121,true,false
false,BikePoints_699,1384256040000,,"Belford House, Haggerston",200057,true,false
false,BikePoints_700,1384343280000,,"Battersea Church Road, Battersea",200201,true,false
false,BikePoints_701,1384345080000,,"Vicarage Crescent, Battersea",200077,true,false
false,BikePoints_702,1384345860000,,"Durant Street, Bethnal Green",200213,true,false
false,BikePoints_703,1384357800000,,"St. Bride Street, Holborn",200094,true,false
false,BikePoints_704,1384443480000,,"Mexfield Road, East Putney",200063,true,false
true,BikePoints_705,1384453020000,1539845700000,"Upper Richmond Road, Putney",300042,true,false
false,BikePoints_706,1384420920000,,"Snowsfields, London Bridge",200193,true,false
false,BikePoints_707,1384435680000,,"Barons Court Station, West Kensington",200197,true,false
false,BikePoints_708,1384530180000,,"Disraeli Road, Putney",200217,true,false
false,BikePoints_709,1384510140000,,"Montserrat Road , Putney",200205,true,false
false,BikePoints_710,1384520580000,,"Albert Bridge Road, Battersea Park",300045,true,false
false,BikePoints_711,1384791540000,,"Everington Street, Fulham",300028,true,false
false,BikePoints_712,1384797120000,,"Mile End Stadium, Mile End",300056,true,false
false,BikePoints_713,1384774620000,,"Hawley Crescent, Camden Town",200122,true,false
false,BikePoints_714,1384865400000,,"Stewart's Road, Wandsworth Road",300055,true,false
false,BikePoints_715,1384868460000,,"Aylward Street, Stepney",300049,true,false
false,BikePoints_717,1384952400000,,"Dunston Road , Haggerston",300024,true,false
false,BikePoints_718,1384962840000,,"Ada Street, Hackney Central",300040,true,false
false,BikePoints_719,1384968480000,,"Victoria Park Road, Hackney Central",300011,true,false
false,BikePoints_720,1385025840000,,"Star Road, West Kensington",300038,true,false
false,BikePoints_721,1385028480000,,"Wendon Street, Old Ford",300039,true,false
false,BikePoints_722,1385028600000,,"Finnis Street, Bethnal Green",300041,true,false
false,BikePoints_723,1385035380000,,"Stephendale Road, Sands End",300053,true,false
false,BikePoints_724,1385125380000,,"Alma Road, Wandsworth",300046,true,false
false,BikePoints_725,1563352500000,,"Walworth Square, Walworth",300050,true,false
false,BikePoints_726,1385128740000,,"Alfreda Street, Battersea Park",300047,true,false
false,BikePoints_727,1385132160000,,"Chesilton Road, Fulham",300054,true,false
false,BikePoints_728,1385466780000,,"Putney Bridge Road, East Putney",300044,true,false
