install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1384962840000,BikePoints_718,true,"Ada Street, Hackney Central",false,false,300040,
1384968480000,BikePoints_719,true,"Victoria Park Road, Hackney Central",false,false,300011,
1385025840000,BikePoints_720,true,"Star Road, West Kensington",false,false,300038,
1385028480000,BikePoints_721,true,"Wendon Street, Old Ford",false,false,300039,
1385028600000,BikePoints_722,true,"Finnis Street, Bethnal Green",false,false,300041,
1385035380000,BikePoints_723,true,"Stephendale Road, Sands End",false,false,300053,
1385125380000,BikePoints_724,true,"Alma Road, Wandsworth",false,false,300046,
1563352500000,BikePoints_725,true,"Walworth Square, Walworth",false,false,300050,
1385128740000,BikePoints_726,true,"Alfreda Street, Battersea Park",false,false,300047,
1385132160000,BikePoints_727,true,"Chesilton Road, Fulham",false,false,300054,
1385466780000,BikePoints_728,true,"Putney Bridge Road, East Putney",false,false,300044,
1385391300000,BikePoints_729,true,"St. Peter's Terrace, Fulham",false,false,300043,
1385132580000,BikePoints_730,true,"Bridge Avenue, Hammersmith",false,false,300082,
1385394720000,BikePoints_731,true,"Michael Road, Walham Green",false,false,300095,
1385458020000,BikePoints_732,true,"Duke Street Hill, London Bridge",false,false,300083,
1385460840000,BikePoints_733,true,"Park Lane, Mayfair",false,false,300093,
1385464500000,BikePoints_734,true,"Plough Terrace, Clapham Junction",false,false,300094,
1385383080000,BikePoints_735,true,"Grant Road East, Clapham Junction",false,false,200120,
1385472900000,BikePoints_736,true,"Queensdale Road, Shepherd's Bush",false,false,300088,
1385554620000,BikePoints_737,true,"Fulham Broadway, Walham Green",false,false,300086,
1385563380000,BikePoints_738,true,"Imperial Road, Sands End",false,false,300087,
1385631000000,BikePoints_739,true,"Hortensia Road, West Brompton",false,false,300091,
1385635440000,BikePoints_740,true,"Sirdar Road, Avondale",false,false,300084,
1385640120000,BikePoints_741,true,"Freston Road, Avondale",false,false,300085,
1385649540000,BikePoints_742,true,"Blenheim Crescent, Ladbroke Grove",false,false,300090,
1385723700000,BikePoints_743,true,"Oxford Road, Putney",false,false,300078,
1385729760000,BikePoints_744,true,"Ingrave Street, Clapham Junction",false,false,300077,
1385740020000,BikePoints_745,true,"Upcerne Road, West Chelsea",false,false,300075,
1385985720000,BikePoints_746,true,"Lots Road, West Chelsea",false,false,300076,
1385997240000,BikePoints_747,true,"Ormonde Gate, Chelsea",false,false,300089,
1386159900000,BikePoints_748,true,"Hertford Road, De Beauvoir Town",false,false,300092,
1386172440000,BikePoints_749,true,"Haggerston Road, Haggerston",false,false,300081,
1386240360000,BikePoints_750,true,"Culvert Road, Battersea",false,false,300080,
1386250800000,BikePoints_751,true,"Newton Street, Covent Garden",false,false,300074,
1650364320000,BikePoints_752,true,"London Street, Paddington",false,false,300079,
1389003540000,BikePoints_754,true,"Grenfell Road, Avondale",false,false,300067,
1389008580000,BikePoints_755,true,"The Vale, Chelsea",false,false,300058,
1390223040000,BikePoints_756,true,"Prince of Wales Drive, Battersea Park",false,false,300073,
1389094260000,BikePoints_757,true,"Harcourt Terrace, West Brompton",false,false,300069,
