removal_date,temporary,install_date,locked,place_id,common_name,installed,terminal_name
,false,1278501180000,false,BikePoints_29,"Hereford Road, Bayswater",true,001016
,false,1278501420000,false,BikePoints_30,"Windsor Terrace, Hoxton",true,001029
,false,1278501600000,false,BikePoints_31,"Fanshaw Street, Hoxton",true,003427
,false,1278506700000,false,BikePoints_32,"Leonard Circus , Shoreditch",true,001020
,false,1278506940000,false,BikePoints_33,"Central House, Aldgate",true,003430
,false,1278507060000,false,BikePoints_34,"Pancras Road, King's Cross",true,003428
,false,1278519900000,false,BikePoints_36,"De Vere Gardens, Kensington",true,003446
,false,1278520020000,false,BikePoints_37,"Penywern Road, Earl's Court",true,003444
,false,1278584880000,false,BikePoints_38,"Abingdon Villas, Kensington",true,003442
,false,1278601740000,false,BikePoints_39,"Shoreditch High Street, Shoreditch",true,003445
,false,1278601980000,false,BikePoints_40,"Commercial Street, Shoreditch",true,001083
,false,1278602280000,false,BikePoints_41,"Pindar Street, Liverpool Street",true,001084
,false,1278602700000,false,BikePoints_42,"Wenlock Road , Hoxton",true,000979
,false,1278687720000,false,BikePoints_43,"Crawford Street, Marylebone",true,001036
,false,1278687900000,false,BikePoints_44,"Bruton Street, Mayfair",true,001034
,false,1278691320000,false,BikePoints_45,"Boston Place, Marylebone",true,001035
,false,1278691800000,false,BikePoints_46,"Nesham Street, Wapping",true,001031
,false,1278749160000,false,BikePoints_47,"Warwick Avenue Station, Maida Vale",true,001027
,false,1278749460000,false,BikePoints_48,"Godliman Street, St. Paul's",true,000971
,false,1278749940000,false,BikePoints_49,"Curzon Street, Mayfair",true,003437
,false,1278750240000,false,BikePoints_50,"East Road, Hoxton",true,001054
,false,1278750540000,false,BikePoints_51,"Finsbury Library , Finsbury",true,000986
,false,1278750840000,false,BikePoints_52,"Roscoe Street, St. Luke's",true,001026
,false,1278752580000,false,BikePoints_53,"Grafton Street, Mayfair",true,003431
,false,1278766740000,false,BikePoints_54,"Golden Lane, Barbican",true,000967
,false,1278766980000,false,BikePoints_55,"Finsbury Circus, Liverpool Street",true,000984
,false,1278767220000,false,BikePoints_56,"Paddington Street, Marylebone",true,001033
,false,1278767460000,false,BikePoints_57,"Guilford Street , Bloomsbury",true,000974
,false,1278767700000,false,BikePoints_58,"New Inn Yard, Shoreditch",true,001032
,false,1278769140000,false,BikePoints_60,"Lisson Grove, St. John's Wood",true,001030
,false,1278773820000,false,BikePoints_61,"Great Dover Street, The Borough",true,001017
,false,1278773940000,false,BikePoints_62,"Cotton Garden Estate, Kennington",true,000990
,false,1278774120000,false,BikePoints_63,"Murray Grove , Hoxton",true,000989
,false,1278774300000,false,BikePoints_64,"William IV Street, Strand",true,001028
,false,1278840660000,false,BikePoints_65,"Gower Place , Euston",true,000969
,false,1278845280000,false,BikePoints_66,"Holborn Circus, Holborn",true,000982
,false,1278847440000,false,BikePoints_67,"Hatton Garden, Holborn",true,000985
,false,1278857040000,false,BikePoints_68,"Theobald's Road , Holborn",true,000975
,false,1278861540000,false,BikePoints_69,"Euston Road, Euston",true,000983
,false,1278863340000,false,BikePoints_70,"Calshot Street , King's Cross",true,001066
,false,1278924900000,false,BikePoints_71,"Newgate Street , St. Paul's",true,001074
,false,1276948860000,false,BikePoints_72,"Farringdon Lane, Clerkenwell",true,003432
,false,1278941040000,false,BikePoints_73,"Old Street Station, St. Luke's",true,001064
,false,1278941160000,false,BikePoints_74,"Vauxhall Cross, Vauxhall",true,001000
,false,1278945180000,false,BikePoints_75,"Torrens Street, Angel",true,001060
,false,1278946560000,false,BikePoints_76,"Longford Street, The Regent's Park",true,000976
,false,1278946860000,false,BikePoints_77,"Russell Square Station, Bloomsbury",true,000978
,false,1278948480000,false,BikePoints_78,"Sadlers Sports Centre, Finsbury",true,003433
,false,1509018360000,false,BikePoints_79,"Arundel Street, Temple",true,003455
,false,1278952440000,false,BikePoints_80,"Webber Street , Southwark",true,003448
,false,1279012980000,false,BikePoints_81,"Great Titchfield Street, Fitzrovia",true,003450
,false,1279015680000,false,BikePoints_82,"Chancery Lane, Holborn",true,003453
,false,1279015800000,false,BikePoints_83,"Panton Street, West End",true,003452
,false,1280147580000,false,BikePoints_334,"Concert Hall Approach 1, South Bank",true,002635
,false,1280152560000,false,BikePoints_335,"Tavistock Street, Covent Garden",true,001207
,false,1280152800000,false,BikePoints_336,"Concert Hall Approach 2, South Bank",true,001212
,false,1280153100000,false,BikePoints_337,"Pembridge Villas, Notting Hill",true,002589
,false,1280158740000,false,BikePoints_338,"Wellington Street , Strand",true,001202
,false,1280160600000,false,BikePoints_339,"Risinghill Street, Angel",true,001127
,false,1280248620000,false,BikePoints_340,"Bank of England Museum, Bank",true,001201
,false,1280222160000,false,BikePoints_341,"Craven Street, Strand",true,001160
,false,1280224260000,false,BikePoints_343,"London Zoo Car Park, The Regent's Park",true,001188
,false,1280226120000,false,BikePoints_344,"Goswell Road (City Uni), Finsbury",true,001222
,false,1280229720000,false,BikePoints_345,"Flood Street, Chelsea",true,001218
,false,1283762460000,false,BikePoints_347,"Lower Marsh, Waterloo",true,001219
,false,1284540540000,false,BikePoints_348,"Grosvenor Square, Mayfair",true,010627
,false,1284543120000,false,BikePoints_349,"St. George Street, Mayfair",true,001221
,false,1285756260000,false,BikePoints_350,"Queen's Gate, Kensington Gardens",true,001231
,false,1286790480000,false,BikePoints_351,"Macclesfield Rd, St Lukes",true,001226
,false,1286796360000,false,BikePoints_352,"Vauxhall Street, Vauxhall",true,001224
,false,1287652080000,false,BikePoints_353,"Greycoat Street , Westminster",true,010623
,false,,false,BikePoints_354,"Northumberland Avenue, Strand",true,001097
,false,1287752460000,false,BikePoints_355,"Clapham Common Station, Clapham Common",true,002694
,false,1288009080000,false,BikePoints_356,"South Kensington Station, South Kensington",true,002685
,false,1288092420000,false,BikePoints_357,"Howland Street, Fitzrovia",true,002691
,false,1290079860000,false,BikePoints_358,"High Holborn , Covent Garden",true,001229
,false,1288950960000,false,BikePoints_359,"Butler Place, Westminster",true,002662
,false,1288958160000,false,BikePoints_360,"Howick Place, Westminster",true,002666
,false,1291902600000,false,BikePoints_361,"Waterloo Station 2, Waterloo",true,002692
,false,1290080220000,false,BikePoints_362,"Royal College Street, Camden Town",true,002686
,false,1289911800000,false,BikePoints_363,"Lord's, St. John's Wood",true,002665
,false,1290080640000,false,BikePoints_364,"Store Street, Bloomsbury",true,003507
,false,1290603600000,false,BikePoints_365,"City Road, Angel",true,002690
,false,,false,BikePoints_367,"Harrowby Street, Marylebone",true,002680
,false,1291201680000,false,BikePoints_368,"Harriet Street, Knightsbridge",true,002681
,false,1291647300000,false,BikePoints_370,"Paddington Green, Paddington",true,002670
,false,1291712820000,false,BikePoints_371,"King Edward Walk, Waterloo",true,002639
,false,1291713000000,false,BikePoints_372,"Sardinia Street, Holborn",true,002649
,false,1295428320000,false,BikePoints_373,"Prince Consort Road, Knightsbridge",true,003499
,false,1291725720000,false,BikePoints_374,"Waterloo Station 1, Waterloo",true,002696
,false,1291805820000,false,BikePoints_375,"Kensington Town Hall, Kensington",true,010632
,false,1294660980000,false,BikePoints_376,"Millbank Tower, Pimlico",true,002683
,false,1295265420000,false,BikePoints_377,"Waterloo Bridge, South Bank",true,002648
,false,1296121500000,false,BikePoints_378,"Natural History Museum, South Kensington",true,002677
,false,1296121680000,false,BikePoints_379,"Turquoise Island, Notting Hill",true,002682
,false,1296125400000,false,BikePoints_380,"Stanhope Gate, Mayfair",true,003506
,false,1296203760000,false,BikePoints_381,"Charlotte Street, Fitzrovia",true,002669
,false,1297159320000,false,BikePoints_382,"Farm Street, Mayfair",true,002678
,false,1296649200000,false,BikePoints_383,"Frith Street, Soho",true,002660
,false,1296731880000,false,BikePoints_384,"Marloes Road, Kensington",true,003505
,false,1296732540000,false,BikePoints_386,"Moor Street, Soho",true,003504
,false,1297077540000,false,BikePoints_387,"Fire Brigade Pier, Vauxhall",true,002703
,false,1297182180000,false,BikePoints_388,"Southampton Street, Strand",true,001228
,false,1297347960000,false,BikePoints_389,"Upper Grosvenor Street, Mayfair",true,010621
,false,1297764360000,false,BikePoints_390,"Buxton Street 1, Shoreditch",true,001223
