place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_735,,false,"Grant Road East, Clapham Junction",200120,1385383080000,false,true
BikePoints_736,,false,"Queensdale Road, Shepherd's Bush",300088,1385472900000,false,true
BikePoints_737,,false,"Fulham Broadway, Walham Green",300086,1385554620000,false,true
BikePoints_738,,false,"Imperial Road, Sands End",300087,1385563380000,false,true
BikePoints_739,,false,"Hortensia Road, West Brompton",300091,1385631000000,false,true
BikePoints_740,,false,"Sirdar Road, Avondale",300084,1385635440000,false,true
BikePoints_741,,false,"Freston Road, Avondale",300085,1385640120000,false,true
BikePoints_742,,false,"Blenheim Crescent, Ladbroke Grove",300090,1385649540000,false,true
BikePoints_743,,false,"Oxford Road, Putney",300078,1385723700000,false,true
BikePoints_744,,false,"Ingrave Street, Clapham Junction",300077,1385729760000,false,true
BikePoints_745,,false,"Upcerne Road, West Chelsea",300075,1385740020000,false,true
BikePoints_746,,false,"Lots Road, West Chelsea",300076,1385985720000,false,true
BikePoints_747,,false,"Ormonde Gate, Chelsea",300089,1385997240000,false,true
BikePoints_748,,false,"Hertford Road, De Beauvoir Town",300092,1386159900000,false,true
BikePoints_749,,false,"Haggerston Road, Haggerston",300081,1386172440000,false,true
BikePoints_750,,false,"Culvert Road, Battersea",300080,1386240360000,false,true
BikePoints_751,,false,"Newton Street, Covent Garden",300074,1386250800000,false,true
BikePoints_752,,false,"London Street, Paddington",300079,1650364320000,false,true
BikePoints_754,,false,"Grenfell Road, Avondale",300067,1389003540000,false,true
BikePoints_755,,false,"The Vale, Chelsea",300058,1389008580000,false,true
BikePoints_756,,false,"Prince of Wales Drive, Battersea Park",300073,1390223040000,false,true
BikePoints_757,,false,"Harcourt Terrace, West Brompton",300069,1389094260000,false,true
BikePoints_758,,false,"Westbourne Park Road, Portobello",300057,1389178020000,false,true
BikePoints_759,,false,"Broadley Terrace, Marylebone",300072,1389627480000,false,true
BikePoints_761,,false,"Humbolt Road, Fulham",300068,1389781800000,false,true
BikePoints_762,,false,"Storey's Gate, Westminster",200202,1392039000000,false,true
BikePoints_763,,false,"Mile End Park Leisure Centre, Mile End",300027,1392043020000,false,true
BikePoints_764,,false,"St. John's Road, Clapham Junction",200185,1392633480000,false,true
BikePoints_765,,false,"Ranelagh Gardens, Fulham",300064,1392986940000,false,true
BikePoints_766,,false,"Ram Street, Wandsworth",200079,1392894840000,false,true
BikePoints_767,,false,"Santos Road, Wandsworth",200177,1393406280000,false,true
BikePoints_768,,false,"Clapham Common North Side, Clapham Common",300065,1393494060000,false,true
BikePoints_769,,false,"Sandilands Road, Walham Green",300001,1393939560000,false,true
BikePoints_770,,false,"Gwendwr Road, West Kensington",300097,1394099280000,false,true
BikePoints_771,,false,"Rifle Place, Avondale",300007,1394018400000,false,true
BikePoints_772,,false,"Binfield Road, Stockwell",300015,1396442100000,false,true
BikePoints_773,,false,"Tallis Street, Temple",300096,1396262520000,false,true
BikePoints_774,,false,"Hurlingham Park, Parsons Green",300098,1396265880000,false,true
BikePoints_775,,false,"Little Brook Green, Brook Green",300101,1396270320000,false,true
BikePoints_776,,false,"Abyssinia Close, Clapham Junction",300099,1396273320000,false,true
BikePoints_777,,false,"Limburg Road, Clapham Junction",300100,1406282940000,false,true
BikePoints_779,,false,"Houndsditch, Aldgate",200072,1435313700000,false,true
BikePoints_780,,false,"Imperial Wharf Station, Sands End",300070,1439455200000,false,true
BikePoints_85,,false,"Tanner Street, Bermondsey",000994,1279026060000,false,true
BikePoints_86,,false,"Sancroft Street, Vauxhall",003434,1279027140000,false,true
BikePoints_87,,false,"Devonshire Square, Liverpool Street",003438,1279027680000,false,true
BikePoints_88,,false,"Bayley Street , Bloomsbury",001006,1279028280000,false,true
BikePoints_89,,false,"Tavistock Place, Bloomsbury",003439,1279029360000,false,true
BikePoints_90,,false,"Harrington Square 1, Camden Town",001038,1279030020000,false,true
BikePoints_91,,false,"Walnut Tree Walk, Vauxhall",001076,1279036740000,false,true
