terminal_name,common_name,locked,removal_date,temporary,installed,place_id,install_date
001045,"Jewry Street, Aldgate",false,,false,true,BikePoints_102,1279102860000
003441,"Vicarage Gate, Kensington",false,,false,true,BikePoints_103,1279103520000
000991,"Crosswall, Tower",false,,false,true,BikePoints_104,1279103760000
001041,"Westbourne Grove, Bayswater",false,,false,true,BikePoints_105,1279105320000
001042,"Woodstock Street, Mayfair",false,,false,true,BikePoints_106,1279106880000
001049,"Finsbury Leisure Centre, St. Luke's",false,,false,true,BikePoints_107,1279107480000
003429,"Abbey Orchard Street, Westminster",false,,false,true,BikePoints_108,1279107720000
001052,"Soho Square , Soho",false,,false,true,BikePoints_109,1279108320000
001055,"Wellington Road, St. John's Wood",false,,false,true,BikePoints_110,1279108920000
001037,"Park Lane , Hyde Park",false,,false,true,BikePoints_111,1279109160000
003435,"Gloucester Road (Central), South Kensington",false,,false,true,BikePoints_113,1279116600000
001050,"Park Road (Baker Street), The Regent's Park",false,,false,true,BikePoints_114,1279119900000
001062,"Braham Street, Aldgate",false,,false,true,BikePoints_115,1279120680000
000995,"Little Argyll Street, West End",false,,false,true,BikePoints_116,1279122360000
000998,"Lollard Street, Vauxhall",false,,false,true,BikePoints_117,1279124220000
003457,"Rochester Row, Westminster",false,,false,true,BikePoints_118,1279124520000
000964,"Bath Street, St. Luke's",false,,false,true,BikePoints_119,1279124760000
001044,"The Guildhall, Guildhall",false,,false,true,BikePoints_120,1279187040000
001086,"Baker Street, Marylebone",false,,false,true,BikePoints_121,1279189200000
001068,"Norton Folgate, Liverpool Street",false,,false,true,BikePoints_122,1279190040000
000992,"St. John Street, Finsbury",false,,false,true,BikePoints_123,1279191300000
001069,"Eaton Square, Belgravia",false,,false,true,BikePoints_124,1279191540000
000996,"Borough High Street, The Borough",false,,false,true,BikePoints_125,1279192200000
001043,"Museum of London, Barbican",false,,false,true,BikePoints_126,1279193340000
001063,"Wood Street, Guildhall",false,,false,true,BikePoints_127,1279193520000
001116,"Emperor's Gate, South Kensington",false,,false,true,BikePoints_128,1279194060000
003451,"Golden Square, Soho",false,,false,true,BikePoints_129,1279198500000
001071,"Tower Gardens , Tower",false,,false,true,BikePoints_130,1279198800000
001005,"Eversholt Street , Camden Town",false,,false,true,BikePoints_131,1279199280000
000973,"Bethnal Green Road, Shoreditch",false,,false,true,BikePoints_132,1279199520000
003436,"Derry Street, Kensington",false,,false,true,BikePoints_133,1279200240000
001039,"Wapping High Street, Wapping",false,,false,true,BikePoints_134,1279200900000
001053,"Clerkenwell Green, Clerkenwell",false,,false,true,BikePoints_135,1279201080000
001048,"Queen Victoria Street, St. Paul's",false,,false,true,BikePoints_136,1279201200000
003464,"Green Street, Mayfair",false,,false,true,BikePoints_138,1279205220000
001078,"Lambeth Road, Vauxhall",false,,false,true,BikePoints_139,1279205460000
001056,"Finsbury Square , Moorgate",false,,false,true,BikePoints_140,1279205580000
001003,"Chapel Place, Marylebone",false,,false,true,BikePoints_141,1279210980000
001001,"West Cromwell Road, Earl's Court",false,,false,true,BikePoints_142,1279211220000
001114,"Pont Street, Knightsbridge",false,,false,true,BikePoints_143,1279211400000
001093,"Kennington Cross, Kennington",false,,false,true,BikePoints_144,1279211580000
001115,"Ilchester Place, Kensington",false,,false,true,BikePoints_145,1279212180000
001046,"Vauxhall Bridge , Pimlico",false,,false,true,BikePoints_146,1279212360000
000965,"Tachbrook Street, Victoria",false,,false,true,BikePoints_148,
001073,"Kennington Road Post Office, Oval",false,,false,true,BikePoints_149,1279215360000
001002,"Holy Trinity Brompton, Knightsbridge",false,,false,true,BikePoints_150,1279215540000
001118,"Hampton Street, Walworth",false,,false,true,BikePoints_152,1279215900000
001096,"Bayswater Road, Hyde Park",false,,false,true,BikePoints_153,1279216080000
001072,"Waterloo Station 3, Waterloo",false,,false,true,BikePoints_154,
001121,"Lexham Gardens, Kensington",false,,false,true,BikePoints_155,1279272660000
